vendor_slug,vendor_name,target_id,target_type,coverage,maturity,evidence_url,evidence_quote,citation_keys,notes
cyberark-pam,CyberArk,UC-P-001,UC-F,NATIVE,5,https://docs.cyberark.com/privilege-cloud-standard/latest/en/content/privilege%20cloud/privcloud-introduction.htm,"securely store, rotate and isolate credentials",cyberark-privcloud-intro-2025,"Privilege Cloud + PAM Self-Hosted Digital Vault; SRS replaces legacy CPM for SaaS rotation. Both human and non-human identities covered."
cyberark-pam,CyberArk,UC-P-002,UC-F,NATIVE,5,https://docs.cyberark.com/pam-self-hosted/latest/en/content/pasimp/privileged-session%20manager-introduction.htm,"sessions are fully isolated and credentials never exposed",cyberark-psm-docs-2025,"PSM proxies RDP/SSH/web sessions; credential never touches end-user device. PSM for SSH covers Unix/Linux."
cyberark-pam,CyberArk,UC-P-003,UC-F,NATIVE,5,https://docs.cyberark.com/pam-self-hosted/latest/en/content/pasimp/monitoring-privileged-sessions.htm,"activities in each privileged session recorded in text and/or video",cyberark-psm-monitor-2025,"Full video and keystroke recording stored in Vault; tamper-resistant; searchable. Applies to Privilege Cloud and Self-Hosted."
cyberark-pam,CyberArk,UC-P-004,UC-F,NATIVE,5,https://docs.cyberark.com/epm/latest/en/content/policies/jitelevationadmin-newui.htm,"temporary elevation of privileges on a by-request, timed basis",cyberark-jit-epm-docs-2025,"JIT via EPM (endpoint), Secure Infrastructure Access ephemeral accounts, and short-lived SSH certs. Zero-standing-privilege model documented across product line."
cyberark-pam,CyberArk,UC-P-005,UC-F,NATIVE,4,https://docs.cyberark.com/privilege-cloud-standard/latest/en/content/privilege%20cloud/discovery-discover-accounts.htm,"CPM Scanner scans Windows and Unix machines for new accounts",cyberark-discovery-docs-2025,"Account Discovery covers Windows/Unix/macOS local admin, AWS IAM, AD service accounts. New SaaS Discovery Service added in 2024-25. Onboarding rules auto-remediate."
cyberark-pam,CyberArk,UC-P-006,UC-F,NATIVE,5,https://docs.cyberark.com/secrets-manager-sh/latest/en/content/references/providers/scl_dap.htm,"apps connect to Secretless Broker without credentials",cyberark-conjur-secrets-docs-2025,"Conjur/Secrets Manager + Application Access Manager (AAM) broker credentials to apps/pipelines/containers. Secretless Broker eliminates hard-coded secrets. CCP/AIM SDK paths also available."
cyberark-pam,CyberArk,UC-P-007,UC-F,NATIVE,5,https://docs.cyberark.com/identity/latest/en/content/coreservices/authenticate/authentication.htm,"multi-factor authentication to authenticate users for privileged access",cyberark-identity-mfa-docs-2025,"CyberArk Identity MFA (TOTP, push, biometric, FIDO2) enforced at PSM session launch and portal login. Adaptive MFA rules based on risk signals."
cyberark-pam,CyberArk,UC-P-008,UC-F,NATIVE,4,https://docs.cyberark.com/manage/latest/en/content/sca/dpaforcloud/breakglass.htm,"offline access via CyberArk mobile app can be used",cyberark-breakglass-docs-2025,"Break-glass documented: dedicated safe, dual-control optional, offline mobile retrieval, root/admin accounts. CRDR adds regional resilience. Not a separate SKU—built into vault design."
cyberark-pam,CyberArk,UC-P-009,UC-F,NATIVE,5,https://docs.cyberark.com/epm/latest/en/content/intro/introduction.htm,"enforces least privilege and adaptive application controls",cyberark-epm-docs-2025,"EPM is a dedicated product line (Windows/macOS/Linux). Removes local admin, JIT elevation, application allowlist/blocklist, credential theft blocking, ransomware protection."
cyberark-pam,CyberArk,UC-P-010,UC-F,NATIVE,4,https://www.cyberark.com/products/endpoint-privilege-manager/,"users and applications only have permissions necessary for their roles",cyberark-epm-product-2025,"EPM enforces least-privilege at endpoint layer. Secure Cloud Access adds least-privilege scoping for cloud sessions. CIEM/Cloud Entitlements Manager handles cloud entitlement right-sizing. Cross-product coverage; no single unified entitlement analytics console."
