vendor_slug,vendor_name,target_id,target_type,coverage,maturity,evidence_url,evidence_quote,citation_keys,notes
gcp-secret-manager,Google Cloud Secret Manager,NHI-001,NHI,NATIVE,4,https://cloud.google.com/secret-manager/docs/access-control,"roles/secretmanager.secretAccessor … Allows accessing the payload of secrets … can grant this role at secret level",gcp-sm-access-2025,Service accounts receive ADC from metadata server; no JSON key files required on GCE/GKE/Cloud Run
gcp-secret-manager,Google Cloud Secret Manager,NHI-002,NHI,NATIVE,4,https://cloud.google.com/kubernetes-engine/docs/concepts/workload-identity,"GKE metadata server … exchanges the JWT for a short-lived federated access token … references the identity of the Kubernetes workload",gcp-gke-wi-2025,Secrets Store CSI Driver (GCP provider) enables file/env mount; no exported key files required
gcp-secret-manager,Google Cloud Secret Manager,NHI-003,NHI,NATIVE,4,https://cloud.google.com/iam/docs/workload-identity-federation,"federate workloads … OIDC … upload OIDC JSON Web Key Sets … common if you have Terraform or GitHub Enterprise",gcp-wif-2025,Supports GitHub Actions; GitLab CI; Terraform Cloud; CircleCI; any OIDC IDP; short-lived token exchange
gcp-secret-manager,Google Cloud Secret Manager,NHI-004,NHI,ADD-ON,2,https://cloud.google.com/secret-manager/docs/using-other-products,"Use Secret Manager with other products",gcp-sm-integrations-2025,Container image-pull creds stored as opaque secrets; no imagePullSecret auto-sync; Artifact Registry uses IAM SA tokens directly
gcp-secret-manager,Google Cloud Secret Manager,NHI-005,NHI,ADD-ON,2,https://cloud.google.com/secret-manager/docs/best-practices,"Use Secret Manager to store secrets … applications retrieve secrets at runtime",gcp-sm-best-practices-2025,No native dynamic DB credential engine; Cloud SQL IAM auth + Secret Manager is pattern; no lease/TTL engine
gcp-secret-manager,Google Cloud Secret Manager,NHI-006,NHI,ADD-ON,2,https://cloud.google.com/certificate-authority-service/docs/ca-service-overview,"Certificate Authority Service … issue and manage X.509 certificates",gcp-cas-2025,CAS + Cloud HSM for cert issuance; Secret Manager stores static TLS assets; not integrated with cert lifecycle automation
gcp-secret-manager,Google Cloud Secret Manager,NHI-007,NHI,NATIVE,4,https://cloud.google.com/secret-manager/docs/access-control,"Allows accessing the payload of secrets",gcp-sm-access-2025,Third-party SaaS API keys stored as versioned secrets; IAM SA access; rotation via Pub/Sub notifications
gcp-secret-manager,Google Cloud Secret Manager,NHI-008,NHI,NATIVE,3,https://cloud.google.com/secret-manager/docs/access-control,"roles/secretmanager.secretAccessor … secretmanager.versions.access",gcp-sm-access-2025,Git PATs/SSH keys stored as secrets; access scoped per-secret; rotation notifications supported
gcp-secret-manager,Google Cloud Secret Manager,NHI-009,NHI,NATIVE,3,https://cloud.google.com/secret-manager/docs/using-other-products,"Use Secret Manager with other products",gcp-sm-integrations-2025,Terraform / Ansible can call SM API or use Workload Identity Federation; Config Connector and Deployment Manager supported
gcp-secret-manager,Google Cloud Secret Manager,NHI-010,NHI,NATIVE,3,https://cloud.google.com/secret-manager/docs/access-control,"roles/secretmanager.secretAccessor … can grant this role at secret level",gcp-sm-access-2025,Monitoring agent credentials stored as secrets; IAM SA per agent; scoped access
