framework_slug,framework_role,control_code,control_short_title,uc_ids,nhi_ids,maturity_level,evidence_url,evidence_quote,citation_keys,evidence_item_ids,quote_type
nist-800-53r5,BACK-MAP,AC-2,Account Management (full account lifecycle),UC-I-001;UC-I-002;UC-I-003;UC-I-004;UC-I-005,IGID-001;IGID-002;IGID-003;IGID-004;IGID-010;IGID-011,N/A,https://csf.tools/reference/nist-sp-800-53/r5/ac/ac-2/,"Create, enable, modify, disable, and remove accounts in accordance with [Assignment: organization-defined policy, procedures, prerequisites, and criteria]",nist-sp-800-53-ac2,EV-IGA-JOINER-LOG;EV-IGA-LEAVER-SLA-REPORT,verbatim
nist-800-53r5,BACK-MAP,AC-2(3),Disable Accounts (expired / unassociated / inactive),UC-I-003;UC-I-004;UC-I-005;UC-I-014,IGID-003;IGID-004;IGID-011;IGID-005;IGID-008,N/A,https://csf.tools/reference/nist-sp-800-53/r5/ac/ac-2/ac-2-3/,"Disable accounts within [Assignment: organization-defined time period] when the accounts: Have expired; Are no longer associated with a user or individual; Are in violation of organizational policy; or Have been inactive for [Assignment: organization-defined time period].",nist-sp-800-53-ac2-3,EV-IGA-ORPHAN-SCAN;EV-IGA-CERT-REVOCATION-LOG;EV-IGA-EXPIRY-REGRANT-LOG,verbatim
nist-800-53r5,BACK-MAP,AC-2j,Account review for compliance with management requirements,UC-I-005;UC-I-007;UC-I-014,IGID-005;IGID-010;IGID-004;IGID-006;IGID-008,N/A,https://csf.tools/reference/nist-sp-800-53/r5/ac/ac-2/,"Review accounts for compliance with account management requirements [Assignment: organization-defined frequency]",nist-sp-800-53-ac2j,EV-IGA-CERT-COMPLETION-REPORT;EV-IGA-TIMEBOUND-COVERAGE,verbatim
nist-800-53r5,BACK-MAP,AC-3,Access Enforcement,UC-I-012;UC-I-016,IGID-001;IGID-006;IGID-010;IGID-005,N/A,https://csf.tools/reference/nist-sp-800-53/r5/ac/ac-3/,"Enforce approved authorizations for logical access to information and system resources in accordance with applicable access control policies.",nist-sp-800-53-ac3,EV-IGA-REQUEST-APPROVAL-TRAIL,verbatim
nist-800-53r5,BACK-MAP,AC-5,Separation of Duties,UC-I-008;UC-I-009;UC-I-010;UC-I-015,IGID-007;IGID-008;IGID-005;IGID-006,N/A,https://csf.tools/reference/nist-sp-800-53/r5/ac/ac-5/,"Identify and document [Assignment: organization-defined duties of individuals]; and Define system access authorizations to support separation of duties.",nist-sp-800-53-ac5,EV-IGA-SOD-RULESET;EV-IGA-SOD-VIOLATION-REGISTER;EV-IGA-SOD-BLOCK-LOG;EV-IGA-SELF-APPROVAL-AUDIT,verbatim
nist-800-53r5,BACK-MAP,AC-6,Least Privilege,UC-I-011;UC-I-012;UC-I-013;UC-I-016,IGID-002;IGID-005;IGID-012;IGID-006;IGID-010,N/A,https://csf.tools/reference/nist-sp-800-53/r5/ac/ac-6/,"Employ the principle of least privilege, allowing only authorized accesses for users (or processes acting on behalf of users) that are necessary to accomplish assigned organizational tasks.",nist-sp-800-53-ac6,EV-IGA-ROLE-MODEL;EV-IGA-RIGHTSIZING-REPORT,verbatim
nist-800-53r5,BACK-MAP,AC-6(1),Authorize Access to Security Functions,UC-I-012,IGID-006,N/A,https://csf.tools/reference/nist-sp-800-53/r5/ac/ac-6/ac-6-1/,"Authorize access for [Assignment: organization-defined individuals and roles] to: [Assignment: organization-defined security functions (deployed in hardware, software, and firmware)]; and [Assignment: organization-defined security-relevant information].",nist-sp-800-53-ac6-1,EV-IGA-REQUEST-APPROVAL-TRAIL,verbatim
nist-800-53r5,BACK-MAP,AC-6(5),Privileged Accounts restriction,UC-I-013,IGID-005;IGID-008,N/A,https://csf.tools/reference/nist-sp-800-53/r5/ac/ac-6/,"Restrict privileged accounts on the system to [Assignment: organization-defined personnel or roles].",nist-sp-800-53-ac6-5,EV-IGA-RIGHTSIZING-REPORT,verbatim
nist-800-53r5,BACK-MAP,AC-6(7),Review of User Privileges,UC-I-006,IGID-005;IGID-008,N/A,https://csf.tools/reference/nist-sp-800-53/r5/ac/ac-6/,"Review [Assignment: organization-defined frequency] the privileges assigned to [Assignment: organization-defined roles and classes] to validate the need for such privileges; and Reassign or remove privileges, if necessary, to correctly reflect organizational mission and business needs.",nist-sp-800-53-ac6-7,EV-IGA-CERT-COMPLETION-REPORT;EV-IGA-CERT-REVOCATION-LOG,verbatim
asd-ism,BACK-MAP,ISM-0430,Same-day access removal on loss of business requirement,UC-I-003,IGID-003,N/A,https://www.cyber.gov.au/business-government/asds-cyber-security-frameworks/ism/cyber-security-guidelines/guidelines-for-personnel-security,"Access to systems, applications and data repositories is removed or suspended on the same day personnel no longer have a legitimate requirement for access.",asd-ism-0430,EV-IGA-LEAVER-SLA-REPORT,verbatim
asd-ism,BACK-MAP,ISM-1647,Privileged access revalidate-or-disable at 12 months,UC-I-004;UC-I-006;UC-I-014,IGID-005;IGID-011;IGID-004;IGID-008,N/A,https://www.cyber.gov.au/business-government/asds-cyber-security-frameworks/ism/cyber-security-guidelines/guidelines-for-personnel-security,"Privileged access to systems, applications and data repositories is disabled after 12 months unless revalidated.",asd-ism-1647,EV-IGA-ORPHAN-SCAN;EV-IGA-CERT-COMPLETION-REPORT,verbatim
asd-ism,BACK-MAP,ISM-1404,Unprivileged inactive-account disablement at 45 days,UC-I-004,IGID-011,N/A,https://www.cyber.gov.au/business-government/asds-cyber-security-frameworks/ism/cyber-security-guidelines/guidelines-for-personnel-security,Unprivileged access to systems and applications is disabled after 45 days of inactivity.,asd-ism-1404,EV-IGA-ORPHAN-SCAN,verbatim
asd-ism,BACK-MAP,ISM-0407,Secure access record (including when access was last reviewed),UC-I-005;UC-I-006,IGID-005;IGID-006,N/A,https://www.cyber.gov.au/business-government/asds-cyber-security-frameworks/ism/cyber-security-guidelines/guidelines-for-personnel-security,"A secure record is maintained for the life of each system covering the following for each user: their user identification; their signed agreement to abide by usage policies for the system and its resources; ... when their access, and their level of access, was last reviewed",asd-ism-0407,EV-IGA-CERT-ATTESTATION-EXPORT,verbatim
apra-cps-234,BACK-MAP,CPS234-§21,Implementation of controls (commensurate / risk-tiered),UC-I-001;UC-I-002;UC-I-003;UC-I-004;UC-I-005;UC-I-008;UC-I-009;UC-I-010;UC-I-014,IGID-001;IGID-002;IGID-003;IGID-004;IGID-005;IGID-006;IGID-008,Paragraph-21,https://www.apra.gov.au/sites/default/files/cps_234_july_2019_for_public_release.pdf,"An APRA-regulated entity must have information security controls to protect its information assets, including those managed by related parties and third parties, that are implemented in a timely manner and that are commensurate with: (a) vulnerabilities and threats to the information assets; (b) the criticality and sensitivity of the information assets; (c) the stage at which the information assets are within their life-cycle; and (d) the potential consequences of an information security incident.",apra-cps-234-para21,EV-IGA-JOINER-LOG;EV-IGA-LEAVER-SLA-REPORT;EV-IGA-CERT-COMPLETION-REPORT;EV-IGA-SOD-RULESET;EV-IGA-SOD-VIOLATION-REGISTER,verbatim
apra-cps-234,BACK-MAP,CPS234-§27,Testing control effectiveness (systematic testing program),UC-I-005;UC-I-007;UC-I-010,IGID-005;IGID-008,Paragraph-27,https://www.apra.gov.au/sites/default/files/cps_234_july_2019_for_public_release.pdf,An APRA-regulated entity must test the effectiveness of its information security controls through a systematic testing program.,apra-cps-234-para27,EV-IGA-CERT-COMPLETION-REPORT;EV-IGA-SOD-VIOLATION-REGISTER,verbatim
apra-cps-234,BACK-MAP,CPS234-§14,Roles and responsibilities,UC-I-009;UC-I-015,IGID-007;IGID-006;IGID-008,Paragraph-14,https://www.apra.gov.au/sites/default/files/cps_234_july_2019_for_public_release.pdf,"An APRA-regulated entity must clearly define the information security-related roles and responsibilities of the Board, senior management, governing bodies and individuals with responsibility for decision-making, approval, oversight, operations and other information security functions.",apra-cps-234-para14,EV-IGA-SOD-RULESET,verbatim
apra-cpg-234,BACK-MAP,CPG234-Att-A,Least privilege — Attachment A security principle (b),UC-I-011;UC-I-013;UC-I-016,IGID-002;IGID-005;IGID-006;IGID-010,N/A,https://www.apra.gov.au/sites/default/files/cpg_234_information_security_june_2019_1.pdf,"access to, and configuration of, information assets is restricted to the minimum required to achieve business objectives. This is typically referred to as the principle of 'least privilege' and aims to reduce the number of attack vectors that can be used to compromise information security",apra-cpg-234-least-privilege,EV-IGA-ROLE-MODEL;EV-IGA-RIGHTSIZING-REPORT,verbatim
iso-27001-2022,BACK-MAP,A.5.18,Access rights (provision / review / modify / remove) (quote withheld — secondary mirror; re-verify vs licensed ISO 27001:2022),UC-I-001;UC-I-002;UC-I-003;UC-I-004;UC-I-005;UC-I-006;UC-I-007;UC-I-012;UC-I-013;UC-I-016,IGID-001;IGID-002;IGID-003;IGID-005;IGID-006;IGID-010,N/A,https://www.iso.org/standard/27001,,iso-27001-a5-18-quote-withheld,EV-IGA-CERT-COMPLETION-REPORT;EV-IGA-DATA-REPO-REGISTER,analyst-note
iso-27001-2022,INFORMATIVE,A.5.16,Identity management (by reference — UNVERIFIED against primary ISO),UC-I-001;UC-I-003,IGID-001;IGID-003,N/A,https://www.iso.org/standard/27001,,iso-27001-a5-16-unverified,,analyst-note
iso-27001-2022,INFORMATIVE,A.5.15,Access control (by reference — UNVERIFIED secondary only),UC-I-011;UC-I-016,IGID-007;IGID-010;IGID-005;IGID-006,N/A,https://www.iso.org/standard/27001,,iso-27001-a5-15-unverified,,analyst-note
iso-27001-2022,INFORMATIVE,A.5.3,Segregation of duties (by reference — secondary only; re-verify vs licensed ISO),UC-I-008;UC-I-009;UC-I-010;UC-I-015,IGID-008;IGID-006;IGID-007,N/A,https://www.iso.org/standard/27001,,iso-27001-a5-3-unverified,,analyst-note
sox-icfr,BACK-MAP,17 CFR 240.13a-15(f),ICFR definition (authorizations of management),UC-I-005;UC-I-006;UC-I-008;UC-I-015,IGID-005;IGID-008;IGID-006,N/A,https://www.law.cornell.edu/cfr/text/17/240.13a-15,"Provide reasonable assurance that transactions are recorded as necessary to permit preparation of financial statements in accordance with generally accepted accounting principles, and that receipts and expenditures of the issuer are being made only in accordance with authorizations of management and directors of the issuer",sox-icfr-13a15f,EV-IGA-CERT-ATTESTATION-EXPORT;EV-IGA-SOD-VIOLATION-REGISTER,verbatim
sox,BACK-MAP,PL 107-204 §404(a),Management assessment of internal controls,UC-I-008;UC-I-009;UC-I-010;UC-I-015,IGID-008;IGID-006,N/A,https://www.govinfo.gov/content/pkg/PLAW-107publ204/html/PLAW-107publ204.htm,(1) state the responsibility of management for establishing and maintaining an adequate internal control structure and procedures for financial reporting; and (2) contain an assessment ... of the effectiveness of the internal control structure and procedures of the issuer for financial reporting.,sox-pl107-204-s404,EV-IGA-SOD-RULESET,verbatim
sox,BACK-MAP,PL 107-204 §103,Authorizations-of-management transaction clause (§103 not §404),UC-I-008;UC-I-009;UC-I-010,IGID-008,§103(a)(2)(A)(iii)(II)(bb),https://www.govinfo.gov/content/pkg/PLAW-107publ204/html/PLAW-107publ204.htm,"provide reasonable assurance that transactions are recorded as necessary to permit preparation of financial statements in accordance with generally accepted accounting principles, and that receipts and expenditures of the issuer are being made only in accordance with authorizations of management and directors of the issuer",sox-pl107-204-authorizations,EV-IGA-SOD-VIOLATION-REGISTER,verbatim
mitre-attack,THREAT-CONTEXT,T1078,Valid Accounts,UC-I-003;UC-I-004;UC-I-005;UC-I-006;UC-I-008;UC-I-011;UC-I-013,IGID-003;IGID-004;IGID-011,N/A,https://attack.mitre.org/techniques/T1078/,"Adversaries may obtain and abuse credentials of existing accounts as a means of gaining Initial Access, Persistence, Privilege Escalation, or Defense Evasion.",mitre-t1078-valid-accounts,,verbatim
mitre-attack,THREAT-CONTEXT,T1098,Account Manipulation,UC-I-002;UC-I-004;UC-I-008,IGID-002;IGID-004,N/A,https://attack.mitre.org/techniques/T1098/,Adversaries may manipulate accounts to maintain and/or elevate access to victim systems.,mitre-t1098-account-manipulation,,verbatim
owasp-llm,THREAT-CONTEXT,LLM06:2025,Excessive Agency,UC-I-013,IGID-012,N/A,https://genai.owasp.org/llmrisk/llm062025-excessive-agency/,"Excessive Agency is the vulnerability that enables damaging actions to be performed in response to unexpected, ambiguous or manipulated outputs from an LLM",owasp-llm06-2025,,verbatim
ms-incident,THREAT-CONTEXT,Midnight-Blizzard-OAuth,OAuth over-consent attack pattern,UC-I-004,IGID-013,N/A,https://www.microsoft.com/en-us/security/blog/2024/01/25/midnight-blizzard-guidance-for-responders-on-nation-state-attack/,"The misuse of OAuth also enables threat actors to maintain access to applications, even if they lose access to the initially compromised account.",ms-midnight-blizzard-2024,,verbatim
