vendor_slug,vendor_name,target_id,target_type,coverage,maturity,evidence_url,evidence_quote,citation_keys,notes
beyondtrust,BeyondTrust,UC-P-001,UC-F,NATIVE,5,https://www.beyondtrust.com/products/password-safe,"stores, rotates, and controls access to privileged credentials",beyondtrust-ps-product-2025,Password Safe is BeyondTrust's primary vault; supports automated rotation on check-in or schedule; NIST-based password generation; SSH key management included.
beyondtrust,BeyondTrust,UC-P-002,UC-F,NATIVE,5,https://docs.beyondtrust.com/pra/docs/welcome-to-privileged-remote-access,"securely manages and controls remote access to critical systems",beyondtrust-pra-docs-2025,PRA provides full session proxy/isolation via Jump technology; no direct credential exposure to client; supports RDP/SSH/web-app proxying; Kubernetes proxy added in v25.2.
beyondtrust,BeyondTrust,UC-P-003,UC-F,NATIVE,5,https://docs.beyondtrust.com/pra/docs/welcome-to-privileged-remote-access,"real-time session monitoring, auditing, and recording",beyondtrust-pra-docs-2025,Full RDP/SSH/shell session recording; Session Forensics enables searchable shell recordings; keystroke-level audit trail; available in both Password Safe and PRA.
beyondtrust,BeyondTrust,UC-P-004,UC-F,NATIVE,4,https://docs.beyondtrust.com/epm-wm/docs/jit-access-management,"Elevated permissions provided only when needed, for minimum duration",beyondtrust-epm-jit-docs-2025,"JIT via EPM-WM (JIT Application Access + JIT Admin Access), Password Safe JIT access control, and Entitle JIT for cloud; ZSP model supported; time-bound access with automatic revocation."
beyondtrust,BeyondTrust,UC-P-005,UC-F,NATIVE,5,https://docs.beyondtrust.com/bips/docs/bi-on-prem-discovery-scans,"discovers assets, such as systems, databases, applications, or network devices",beyondtrust-bi-discovery-docs-2025,BeyondInsight Discovery Scanner finds privileged accounts including SSH keys, service accounts, admin rights, stale accounts, and remote access tools. Free standalone discovery tool available.
beyondtrust,BeyondTrust,UC-P-006,UC-F,NATIVE,4,https://www.beyondtrust.com/solutions/application-password-management,"identifying, controlling, and securely storing application credentials",beyondtrust-aapm-solution-2025,"Password Safe API + Secrets Safe covers AAPM; DevOps Secrets Safe serves CI/CD workloads; Secrets Cache ensures local caching for high-performance throughput. No native SPIFFE/SVID workload attestation."
beyondtrust,BeyondTrust,UC-P-007,UC-F,NATIVE,4,https://docs.beyondtrust.com/bips/docs/on-prem-bi-authentication,"multi-factor, smart card, and third-party authentication",beyondtrust-bi-auth-docs-2025,"Per-session MFA enforced at each privileged session start (PRA); SAML 2.0 federation; RADIUS/LDAP/smart card support; Azure MFA integration for Password Safe."
beyondtrust,BeyondTrust,UC-P-008,UC-F,NATIVE,4,https://www.beyondtrust.com/resources/whitepapers/access-privileged-passwords-break-glass-scenarios,"give you access to your critical systems in emergencies",beyondtrust-breakglass-wp-2025,"Dedicated break-glass design guidance and whitepaper; Secrets Cache serves last-known-good credentials during Password Safe outages; cloud DR with geo-redundant storage supports offline/DR retrieval."
beyondtrust,BeyondTrust,UC-P-009,UC-F,NATIVE,5,https://docs.beyondtrust.com/epm-wm/docs/welcome-to-endpoint-privilege-management-for-windows-and-mac,"Removes excessive admin rights while providing controlled, secure access",beyondtrust-epm-wm-docs-2025,"Core BeyondTrust differentiator. EPM-WM covers Windows/Mac; EPM-Linux covers Unix/Linux. Application control, privilege elevation rules, and audit. Formerly PowerBroker/Avecto — deep market history."
beyondtrust,BeyondTrust,UC-P-010,UC-F,NATIVE,5,https://www.beyondtrust.com/solutions/least-privilege,"enforce least privilege across all human/non-human identities and accounts",beyondtrust-leastpriv-solution-2025,"Layered least-privilege approach: EPM removes local admin rights, Password Safe eliminates standing credentials, Entitle right-sizes cloud entitlements; Identity Security Insights surfaces over-privileged accounts."
beyondtrust,BeyondTrust,UC-P-011,UC-F,NATIVE,5,https://www.beyondtrust.com/solutions/remote-access-management,"manage and control remote access for third-party vendors",beyondtrust-pra-vendor-solution-2025,"PRA is explicitly positioned for VPAM (vendor privileged access management). VPN-free; brokered access via single pathway; granular session controls; no agent required on vendor device; audit logging."
beyondtrust,BeyondTrust,UC-P-012,UC-F,NATIVE,3,https://www.beyondtrust.com/products/entitle,"discovers, analyzes, and controls permissions across AWS, Azure, and GCP",beyondtrust-entitle-product-2025,"Entitle (acquired 2024) provides CIEM: cloud entitlement discovery, JIT cloud access, and least-privilege right-sizing across major clouds. Recognized as GigaOm 2026 CIEM Leader & Outperformer. Maturing rapidly post-acquisition; deeper PAM+CIEM integration still in progress."
beyondtrust,BeyondTrust,UC-P-013,UC-F,ADD-ON,2,https://www.beyondtrust.com/resources/datasheets/devops-secrets-safe,"assigns unique identities to machines, applications, services, containers",beyondtrust-devops-ss-ds-2025,"DevOps Secrets Safe assigns machine identities and provides secrets brokering for workloads/containers. No native SPIFFE/SVID workload attestation documented; secretless access (zero credential exposure to workload) is partial — API-pull model still requires credential at call-time. [INDUSTRY-CONSENSUS: secretless/SPIFFE is emerging PAM frontier; most PAM vendors lag]"
beyondtrust,BeyondTrust,UC-P-014,UC-F,NATIVE,3,https://www.beyondtrust.com/products/entitle/features/automated-user-access-reviews,"saves up to 90% of effort spent on user access reviews",beyondtrust-entitle-uar-2025,"Entitle provides automated access review campaigns with audit-ready evidence. Access certification for cloud entitlements is strong. Native PAM-level privileged-account recertification within Password Safe/BeyondInsight is limited; Entitle fills the gap for cloud. Maturity 3 reflects partial coverage."
beyondtrust,BeyondTrust,UC-P-015,UC-N,NATIVE,4,https://www.beyondtrust.com/password-safe/features/threat-analytics,"behavioral analytics teamed with vulnerability data and security intelligence",beyondtrust-ps-threatanalytics-2025,"BeyondInsight Threat Analytics + PUBA: ML-based baseline profiling, risk scoring, anomaly detection across privileged sessions. Identity Security Insights adds AI-powered cross-domain identity threat analytics and attack-path visualization."
beyondtrust,BeyondTrust,UC-P-016,UC-N,NATIVE,4,https://docs.beyondtrust.com/insights/docs/detections,"anomaly-based detections use AI-backed methods to report unusual activity",beyondtrust-insights-detections-2025,"Identity Security Insights provides credential-theft detection with ITDR capabilities; BeyondTrust detected Okta Support breach weeks before Okta acknowledged it. KuppingerCole 2024 ITDR Overall Leader. Detects compromised accounts; can trigger automated responses (rotate, terminate session)."
beyondtrust,BeyondTrust,UC-P-017,UC-N,NATIVE,4,https://docs.beyondtrust.com/bips/docs/hosting-locations-and-disaster-recovery,"automated backups, geo-redundant storage, and Azure availability zones",beyondtrust-ps-dr-docs-2025,"Cloud SaaS uptime SLA 99.9% (consistently exceeded); transactional log backups every 5-10 min; geo-redundant storage across paired Azure regions; Secrets Cache ensures credential availability during PS outage; U-Series on-prem supports clustering and mirroring. ISO 22301-aligned BC/DR plan."
