vendor_slug,vendor_name,target_id,target_type,coverage,maturity,evidence_url,evidence_quote,citation_keys,notes
wallix-bastion,WALLIX,UC-P-001,UC-F,NATIVE,4,https://www.wallix.com/products/privileged-access-management/,"Password Manager manages rotation guaranteeing passwords cannot be stolen",wallix-pam-product-2025,"AES-256 encrypted vault; automatic rotation of privileged/shared credentials, service accounts, and SSH keys. Open architecture supports integration with external vaults."
wallix-bastion,WALLIX,UC-P-002,UC-F,NATIVE,5,https://www.wallix.com/privileged-access-management/session-manager/,"Session isolation restricts access and prevents lateral movement",wallix-session-mgr-2025,"Bastion proxy architecture prevents all direct access to targets; firewall rules enforce all sessions through Session Manager. Supports RDP, SSH, VNC, RLOGIN, TELNET."
wallix-bastion,WALLIX,UC-P-003,UC-F,NATIVE,5,https://www.wallix.com/privileged-access-management/session-manager/,"Audit trail includes full-color video transcript and metadata",wallix-session-mgr-2025,"DVR-like video recordings with OCR-indexed searchable content; MP4 export; live session monitoring; unalterable audit logs. Considered WALLIX core differentiator."
wallix-bastion,WALLIX,UC-P-004,UC-F,NATIVE,4,https://www.wallix.com/just-in-time-privileged-access-its-security-oclock/,"Eliminate excessive privileges and enact Zero Standing Privileges policy",wallix-jit-2025,"PEDM delivers JIT elevation via PAM4ALL; temporary elevation granted per-task and auto-revoked. ZSP reduces always-on accounts to time-limited grants."
wallix-bastion,WALLIX,UC-P-005,UC-F,NATIVE,3,https://www.wallix.com/products/privileged-access-management/,"Discovery module maps network to unveil hidden privileged accounts",wallix-pam-product-2025,"Network-scan Discovery module identifies forgotten/orphaned privileged accounts. Scope limited to on-prem/AD targets; cloud-native discovery depth is moderate."
wallix-bastion,WALLIX,UC-P-006,UC-F,NATIVE,4,https://www.wallix.com/blogpost/the-bastion-secures-your-applications-with-aapm/,"Secured mechanism to authenticate application with another — no exposed passwords",wallix-aapm-2025,"AAPM eliminates hard-coded credentials in scripts/config files via fingerprinting technology for app identity. Removes password exposure from DevOps pipelines."
wallix-bastion,WALLIX,UC-P-007,UC-F,NATIVE,4,https://www.wallix.com/products/multi-factor-authentication-mfa/,"Seamless integration and maintenance for uncompromised security with PAM",wallix-mfa-2025,"WALLIX Authenticator (iOS/Android/desktop) supports push notification and TOTP; native integration with Bastion and Access Manager for privileged session MFA."
wallix-bastion,WALLIX,UC-P-008,UC-F,NATIVE,3,https://pam.wallix.one/documentation/deployment/getting-started/setup/ipsec/high-availability.html,"High availability between different data-centres breaking glass procedure",wallix-ha-docs-2025,"Break-glass documented alongside HA and DR in WALLIX One PAM deployment guide. Approver-based emergency workflow exists in Users & Approvers Guide. Not prominently marketed as standalone feature."
wallix-bastion,WALLIX,UC-P-009,UC-F,NATIVE,4,https://www.wallix.com/news/wallix-launch-bestsafe-endpoint-privilege-management-solution-epm,"BestSafe eliminates risks of overprivileged users preventing malware spread",wallix-bestsafe-2025,"WALLIX BestSafe (EPM) enforces least privilege at process/application level on Windows; removes local admin rights without productivity impact. Packaged as WALLIX EPM within PAM4ALL."
wallix-bastion,WALLIX,UC-P-010,UC-F,NATIVE,4,https://www.wallix.com/privileged-access-management/pedm/,"PEDM removes local administration rights to grant right privileges at right time",wallix-pedm-2025,"PEDM + BestSafe enforce entitlement right-sizing at endpoint and server level; PAM4ALL extends to all user types. IAG module adds access-review remediation path."
