uc_id,category,short_title,story,acceptance_criteria,nhis_in_scope,outcome_lens,backmap_codes,priority_fi,citation_keys
UC-F-001,FUNCTIONAL,Prevent plaintext secrets in source repos,"As an engineer I want to ensure that no plaintext passwords, API keys, certificates, or tokens are committed to source-controlled repositories so that compromise of a developer workstation or repo mirror does not leak production credentials.","Pre-commit and server-side push-protection block known secret patterns; CI fails on new secret-shaped strings; detected leaks auto-create incidents with rotation SLA.",NHI-008;NHI-001;NHI-003;NHI-005;NHI-007;NHI-010,E8-AppControl;E8-RestrictAdminPriv;ZT-Pillar-Identity;ZT-Pillar-Data,CPS234-§21;CPS234-§21(a);CPS234-§23;CPG234-Att-D;ISM-0401;ISM-1173;ISM-1504;ISM-1619;ISM-1796,P0,owasp-sm-cheatsheet-2024;gitguardian-sots-2024;github-push-protection-2024;gitlab-secret-detection-2024
UC-F-002,FUNCTIONAL,Detect and remediate secrets in history,"As a DevSecOps engineer I want a one-time and continuous historical sweep of repos and CI variables so that legacy plaintext secrets are surfaced, rotated, and purged with chain-of-custody evidence.","All branches scanned with full history at least quarterly; findings record NHI bucket and rotation status; P0 findings closed within 30 days.",NHI-008;NHI-001;NHI-005;NHI-007;NHI-010;NHI-037,E8-PatchApps;ZT-Pillar-Visibility-Analytics,CPS234-§21(a);CPS234-§23;CPG234-Att-D;ISM-0401;ISM-1690;ISM-1796,P0,gitguardian-sots-2024;trufflehog-2024;git-filter-repo-2024
UC-F-003,FUNCTIONAL,JIT short-lived cloud credentials via OIDC,"As a platform engineer I want CI/CD jobs to federate to AWS/Azure/GCP via OIDC so that no long-lived cloud access keys exist in pipeline variables.","100% new pipelines use OIDC trust policies scoped by sub/aud; legacy static keys retired with burn-down inventory; mis-scoped trust policies detected.",NHI-003;NHI-001,E8-RestrictAdminPriv;E8-MultiFactorAuth;ZT-Pillar-Identity;ZT-Pillar-Workload,CPS234-§21;ISM-1437;ISM-1504;ISM-1619,P0,github-oidc-2024;gitlab-oidc-2024;aws-iam-oidc-2024
UC-F-004,FUNCTIONAL,Workload-attested ephemeral identity (SPIFFE),"As a platform engineer I want every workload to receive a short-lived attested identity so that service-to-service auth does not rely on long-lived shared secrets.","SPIFFE Workload API reachable from production workloads; SVID TTL <=1h with auto-rotation; trust-domain boundaries reviewed.",NHI-006;NHI-002;NHI-017;NHI-036,E8-RestrictAdminPriv;ZT-Pillar-Workload;ZT-Pillar-Identity,CPS234-§15;CPS234-§21;ISM-0469;ISM-0481;ISM-1139;ISM-1323;ISM-1619,P1,spiffe-spec-2023;nist-sp-800-204d-2024;istio-mtls-2024
UC-F-005,FUNCTIONAL,Dynamic database credentials via broker leases,"As an SRE I want application DB credentials issued on-demand by a broker with TTLs so that compromise of an app instance does not yield a long-lived DB credential.","Dynamic-creds available for in-scope DB engines; max TTL set per data class; static-password exceptions registered with expiry.",NHI-005;NHI-001;NHI-023,E8-RestrictAdminPriv;ZT-Pillar-Data;ZT-Pillar-Identity,CPS234-§15;CPS234-§20;CPS234-§21;CPS234-§21(b);ISM-0457;ISM-0481;ISM-0507;ISM-1173;ISM-1256;ISM-1275;ISM-1619,P0,hashicorp-vault-db-secrets-2024;aws-rds-iam-auth-2024;snowflake-key-pair-2024
UC-F-006,FUNCTIONAL,Automated rotation of long-lived static secrets,"As an SRE I want long-lived shared secrets rotated on schedule and on incident with zero manual transcription so that stale credentials do not accumulate.","Rotation pipelines documented per NHI bucket; >95% rotated within policy interval; failures alert on-call in <15 minutes.",NHI-005;NHI-007;NHI-010;NHI-011;NHI-012;NHI-014;NHI-022;NHI-029;NHI-031,E8-RestrictAdminPriv;ZT-Pillar-Identity,CPS234-§15;CPS234-§17;CPS234-§21;CPS234-§21(c);CPS234-§27;CPG234-Att-C;ISM-1256;ISM-1275;ISM-1619;ISM-1795,P0,owasp-sm-cheatsheet-2024;nist-sp-800-57-2020
UC-F-007,FUNCTIONAL,Immediate revocation on identity compromise,"As an incident responder I want one-click revocation of any NHI's active credentials and sessions so that a confirmed compromise is contained inside regulator-expected windows.","Revocation API callable from SOAR within 1 minute; token-introspection invalidation in <5 minutes; forensic export available to IR.",NHI-001;NHI-003;NHI-007;NHI-008;NHI-019;NHI-027;NHI-035,E8-RestrictAdminPriv;ZT-Pillar-Identity;ZT-Pillar-Visibility-Analytics,CPS234-§15;CPS234-§21(a);CPS234-§21(d);CPS234-§23;CPS234-§24;CPS234-§26;CPS234-§35;ISM-0043;ISM-1401;ISM-1404;ISM-1437;ISM-1611;ISM-1613,P0,csa-nhi-taxonomy-2024;mitre-t1552-2024;cisa-ransomware-2024
UC-F-008,FUNCTIONAL,K8s secret consumption without on-disk plaintext,"As a platform engineer I want pods to consume secrets via CSI / agent-injector / projected SA tokens so that secrets are never written as plaintext K8s Secret objects.","Cluster policy denies plaintext production-credential Secrets; CSI/injector deployed cluster-wide; etcd at-rest encryption with CMK enforced.",NHI-002;NHI-004;NHI-006,E8-AppControl;ZT-Pillar-Workload;ZT-Pillar-Data,CPS234-§21;ISM-0469;ISM-0481;ISM-1139;ISM-1181;ISM-1247;ISM-1619;ISM-1656,P1,k8s-secrets-store-csi-2024;hashicorp-vault-agent-injector-2024;k8s-etcd-encryption-2024
UC-F-009,FUNCTIONAL,Per-workload image-pull credentials,"As a DevSecOps engineer I want image-pull credentials scoped per namespace/workload with short TTLs so that a compromised node cannot pull arbitrary production images.","Per-workload pull creds supported (ECR/ACR/GAR/Harbor); no shared imagePullSecret in prod; pull-credential rotation automated.",NHI-004;NHI-002,E8-AppControl;ZT-Pillar-Workload;ZT-Pillar-Data,CPS234-§21;ISM-1619;ISM-1656,P1,docker-registry-token-2024;harbor-robot-2024;aws-ecr-tokens-2024
UC-F-010,FUNCTIONAL,IaC apply-time secret injection,"As an SRE I want Terraform/Ansible/Pulumi runs to fetch secrets at apply-time from a broker so that secrets never persist in state files, var-files, or runner caches.","State-file scanners enforce zero-plaintext-secret; dynamic-provider integration deployed; runner caches encrypted/short-lived.",NHI-009;NHI-001;NHI-003,E8-AppControl;ZT-Pillar-Workload,CPS234-§21;CPG234-Att-D;ISM-1619;ISM-1796,P1,hashicorp-tfc-2024;ansible-aap-2024;hashicorp-vault-tf-provider-2024
UC-F-011,FUNCTIONAL,Observability-agent token hygiene,"As a platform engineer I want monitoring agents to use scoped rotatable ingest tokens so that a compromised host cannot exfiltrate beyond its own telemetry.","Tokens scoped per env and agent class; rotated >=quarterly without gaps; agent configs forbid embedded application secrets.",NHI-010,ZT-Pillar-Visibility-Analytics;ZT-Pillar-Workload,ISM-1405,P1,datadog-agent-keys-2024;splunk-hec-token-2024;elastic-agent-tokens-2024
