uc_id,category,short_title,story,acceptance_criteria,nhis_in_scope,outcome_lens,backmap_codes,priority_fi,citation_keys
UC-P-001,FUNCTIONAL,Privileged credential vaulting & rotation,"As a security admin I want all privileged account passwords, keys and A2A credentials held in a vault and rotated on policy so that no static shared privileged secret persists outside managed control.","100% of in-scope privileged accounts onboarded to the vault; passwords/keys rotated on schedule and on check-in/release; no plaintext privileged credentials in scripts or config.",PID-001;PID-002;PID-003;PID-004;PID-005;PID-006;PID-008;PID-009;PID-012;PID-016,E8-RestrictAdminPriv;ZT-Pillar-Identity,CPS234-§21;CPS234-§21(b);ISM-1304;ISM-1619;E8-RAP-ML2,P0,cyberark-pam-2025;gartner-pam-mq-2024;nist-sp-800-53-ac2
UC-P-002,FUNCTIONAL,Privileged session isolation / proxy,"As a security admin I want privileged sessions brokered through an isolation proxy so that target credentials are never exposed to the operator endpoint and lateral movement is contained.","Privileged sessions to in-scope targets route through the proxy with credential injection; no direct admin connections bypass the proxy; endpoint never receives the target secret.",PID-001;PID-002;PID-003;PID-008;PID-009;PID-015;PID-018,E8-RestrictAdminPriv;ZT-Pillar-Network;ZT-Pillar-Identity,CPS234-§21;ISM-1304;E8-RAP-ML2,P0,cyberark-pam-2025;beyondtrust-pam-2024;ms-pth-mitigation-2014
UC-P-003,FUNCTIONAL,Privileged session recording & audit,"As an auditor I want privileged sessions recorded with keystroke/command metadata so that every privileged action is attributable and forensically reviewable.","Sessions to in-scope targets recorded with searchable metadata; recordings tamper-evident and retained per policy; high-risk commands flagged for review.",PID-001;PID-003;PID-004;PID-008;PID-009;PID-014;PID-015;PID-018,E8-RestrictAdminPriv;E8-EventLogging;ZT-Pillar-Visibility-Analytics,CPS234-§21;CPS234-§22;ISM-1405;ISM-1304;E8-RAP-LOG,P1,gartner-pam-mq-2024;gsa-privileged-identity-playbook-2024;cyberark-pam-2025
UC-P-004,FUNCTIONAL,Just-in-time elevation / zero standing privilege,"As a security architect I want privileged access granted just-in-time and time-bound so that no account carries always-on standing privilege between tasks.","Standing privileged role memberships reduced to break-glass only; access granted JIT with expiry and approval; ZSP coverage tracked across in-scope targets.",PID-001;PID-003;PID-007;PID-010;PID-014;PID-019,E8-RestrictAdminPriv;ZT-Pillar-Identity,CPS234-§21;CPS234-§21(a);ISM-1247;ISM-1304;E8-RAP-ML3,P0,nist-sp-800-207-2020;gartner-pam-mq-2024;delinea-pam-2024
UC-P-005,FUNCTIONAL,Privileged & local-admin account discovery,"As a security admin I want continuous discovery of privileged and local-admin accounts across the estate so that no privileged account escapes governance.","Recurring discovery across AD, Unix, cloud, DB, network and SaaS; newly found privileged accounts auto-flagged for onboarding; unmanaged-account inventory trends down.",PID-001;PID-002;PID-003;PID-005;PID-007;PID-008;PID-010;PID-012;PID-015,E8-RestrictAdminPriv;ZT-Pillar-Visibility-Analytics,CPS234-§16;CPS234-§21;ISM-1304;E8-RAP-ML1,P1,gartner-pam-mq-2024;cyberark-pam-2025;gsa-privileged-identity-playbook-2024
UC-P-006,FUNCTIONAL,Application-to-application credential brokering,"As a platform engineer I want applications to fetch credentials from a broker at runtime so that no privileged A2A secret is hard-coded in application code or config.","In-scope apps retrieve credentials via API/agent at runtime; hard-coded credentials removed; broker access scoped per-application with audit.",PID-005;PID-006;PID-011;PID-016,E8-RestrictAdminPriv;ZT-Pillar-Workload;ZT-Pillar-Identity,CPS234-§15;CPS234-§21;ISM-1619;E8-RAP-SVC,P1,cyberark-pam-2025;owasp-sm-cheatsheet-2024;beyondtrust-pam-2024
UC-P-007,FUNCTIONAL,MFA for privileged access,"As a security admin I want phishing-resistant MFA enforced on all privileged access so that stolen passwords alone cannot yield privileged control.","MFA required at the PAM proxy/elevation point for all in-scope privileged access; phishing-resistant factors (FIDO2) for tier-0; exceptions registered with expiry.",PID-001;PID-007;PID-010;PID-013;PID-014;PID-015;PID-016,E8-MultiFactorAuth;ZT-Pillar-Identity,CPS234-§21;ISM-1173;ISM-1504;E8-MFA-ML2,P0,nist-sp-800-207-2020;gsa-privileged-identity-playbook-2024;gartner-pam-mq-2024
UC-P-008,FUNCTIONAL,Break-glass / emergency access,"As an incident responder I want a controlled break-glass path to privileged access so that outages and incidents can be handled without weakening day-to-day controls.","Break-glass accounts sealed, monitored and alert-on-use; checkout requires dual control; every use generates an auto-reviewed incident and post-use rotation.",PID-001;PID-007;PID-013;PID-016,E8-RestrictAdminPriv;ZT-Pillar-Identity;ZT-Pillar-Visibility-Analytics,CPS234-§21;CPS234-§22;ISM-1304;E8-RAP-BREAKGLASS,P1,gsa-privileged-identity-playbook-2024;cyberark-pam-2025;beyondtrust-pam-2024
UC-P-009,FUNCTIONAL,Endpoint privilege management (EPM),"As an endpoint security lead I want local-admin rights removed from users and elevation applied per-application so that malware cannot trivially run with admin rights.","Standing local-admin removed from in-scope endpoints; approved apps elevate per-policy; unauthorized elevation attempts blocked and logged.",PID-002;PID-003;PID-014,E8-RestrictAdminPriv;E8-AppControl;ZT-Pillar-Device,CPS234-§21;ISM-1304;E8-RAP-ML2,P1,beyondtrust-pam-2024;gartner-pam-mq-2024;ms-pth-mitigation-2014
UC-P-010,FUNCTIONAL,Least-privilege / entitlement right-sizing,"As a security architect I want privileged entitlements right-sized to actual usage so that accounts hold only the minimum privilege their function requires.","Excess and unused privileged entitlements identified and removed; high-risk combinations flagged; least-privilege baseline reviewed periodically.",PID-001;PID-004;PID-007;PID-014;PID-019,E8-RestrictAdminPriv;ZT-Pillar-Identity,CPS234-§21;ISM-1247;ISM-1304;E8-RAP-ML2,P1,nist-sp-800-53-ac6;gartner-pam-mq-2024;delinea-pam-2024
UC-P-011,FUNCTIONAL,Privileged remote / third-party vendor access,"As a security admin I want vendor and remote privileged access delivered through a controlled, recorded path so that third parties never hold standing or unmanaged privileged access.","Vendor access brokered through the PAM proxy with JIT grants and recording; no standing VPN/admin credentials issued to vendors; per-vendor scope and expiry enforced.",PID-008;PID-009;PID-015;PID-017,E8-RestrictAdminPriv;ZT-Pillar-Network;ZT-Pillar-Identity,CPS234-§21;CPS234-§26;CPS234-§27;ISM-1304;E8-RAP-ML2,P1,beyondtrust-pam-2024;cisa-credential-control-2018;cyberark-pam-2025
UC-P-012,FUNCTIONAL,Cloud entitlement management (CIEM) for privileged cloud identities,"As a cloud security engineer I want privileged cloud entitlements continuously analyzed so that over-permissioned human and workload cloud identities are detected and remediated.","Privileged and unused cloud entitlements detected across AWS/Azure/GCP; remediation recommendations issued; effective-permission drift monitored.",PID-007;PID-011;PID-019;PID-020,E8-RestrictAdminPriv;ZT-Pillar-Workload;ZT-Pillar-Identity,CPS234-§21;ISM-1247;ISM-1304;ISM-1619;E8-RAP-ML2,P1,gartner-pam-mq-2024;nist-sp-800-207-2020;delinea-pam-2024
UC-P-013,FUNCTIONAL,Secretless privileged workload attestation,"As a platform engineer I want privileged workloads to obtain access via attestation rather than stored secrets so that machine privileged access carries zero standing credentials.","In-scope privileged workloads authenticate via attestation/short-lived tokens; stored standing secrets removed; broker grants scoped and time-bound.",PID-006;PID-011;PID-019;PID-020,E8-RestrictAdminPriv;ZT-Pillar-Workload;ZT-Pillar-Identity,CPS234-§15;CPS234-§21;ISM-1619;E8-RAP-SVC,P2,nist-sp-800-207-2020;delinea-pam-2024;cyberark-pam-2025
