vendor_slug,vendor_name,target_id,target_type,coverage,maturity,evidence_url,evidence_quote,citation_keys,notes
teleport,Teleport,UC-P-001,UC-F,GAP,0,,,,"Teleport is NOT a password vault. Its model eliminates static credentials entirely via short-lived X.509 certificates; no credential vaulting, check-out/check-in, or automated rotation of stored passwords. See: goteleport.com/blog/zero-standing-privileges-vs-credential-vaulting/ — 'Teleport was built around identity and verification, not vaults.' Customers needing classical password vaulting must use a separate tool (e.g., HashiCorp Vault, CyberArk)."
teleport,Teleport,UC-P-002,UC-F,NATIVE,5,https://goteleport.com/privileged-access-management/,"Every privileged session proxied through Teleport with full identity context",teleport-pam-2025,"Certificate-based proxy for SSH, RDP/Windows Desktop, Kubernetes, Database, and App access. No direct firewall holes required; all traffic funnelled through Teleport Proxy Service. Strong isolation — market-leading for cloud-native environments."
teleport,Teleport,UC-P-003,UC-F,NATIVE,5,https://goteleport.com/docs/reference/architecture/session-recording/,"Captures entire PTY output; supports BPF-level enhanced recording",teleport-session-recording-2025,"Full session recording (node-sync, node, proxy-sync, proxy modes) for SSH, RDP, Kubernetes, database, and app sessions. Enhanced BPF recording captures syscalls. 1-year default retention; SIEM-exportable structured audit logs."
teleport,Teleport,UC-P-004,UC-F,NATIVE,5,https://goteleport.com/use-cases/just-in-time-access/,"Fine-grained ephemeral privileges eliminate all static standing access",teleport-jit-2025,"Teleport Access Requests via CLI, Web UI, Slack, PagerDuty, Jira, ServiceNow. Automatic expiry enforced by cert TTL. Access Graph surfaces standing-privilege count. Dual-authorisation and session-moderator options. Market-leading JIT for infrastructure."
teleport,Teleport,UC-P-005,UC-F,ADD-ON,2,https://goteleport.com/docs/enroll-resources/auto-discovery/,"Discovery Service scans EC2, EKS, GKE, RDS at 15-minute intervals",teleport-auto-discovery-2025,"Auto-discovery covers cloud-hosted infrastructure resources (EC2, EKS, RDS, GKE, Azure VMs) enrolled into Teleport. Does NOT provide traditional on-prem privileged/local-admin account enumeration or an AD-style privileged account inventory scanner. Requires Teleport Enterprise + Identity Security for AWS IAM user/group sync (ADD-ON). [INDUSTRY-CONSENSUS] for on-prem gap."
teleport,Teleport,UC-P-006,UC-F,NATIVE,4,https://goteleport.com/docs/machine-workload-identity/workload-identity/,"Eliminate long-lived shared secrets within your infrastructure",teleport-workload-identity-2025,"Machine & Workload Identity issues short-lived SPIFFE-compatible X.509 certs / JWTs to services and CI/CD pipelines. tbot agent performs workload attestation (Linux UID/GID, Kubernetes pod). Replaces API keys and shared secrets for app-to-app auth. Not a traditional secrets manager for arbitrary app credentials."
teleport,Teleport,UC-P-007,UC-F,NATIVE,5,https://goteleport.com/docs/zero-trust-access/authentication/hardware-key-support/,"Hardware-based private keys generated on-device; impossible to export",teleport-mfa-2025,"Supports per-session MFA (WebAuthn default on Cloud), hardware security keys (YubiKey, SoloKey, Titan via FIDO2/FIDO U2F), biometric passkeys, TOTP, and SSO-layered MFA. MFA-for-admin-actions enforces hardware key re-challenge on sensitive operations."
teleport,Teleport,UC-P-008,UC-F,NATIVE,4,https://goteleport.com/docs/zero-trust-access/deploy-a-cluster/reliability/breakglass-access/,"Short-lived signed certs grant access even when Teleport control plane is down",teleport-breakglass-2025,"Documented break-glass procedure issues Teleport CA-signed certs usable against OpenSSH when Teleport is offline. Any use of break-glass user triggers sshd audit log and should prompt immediate investigation. Covers SSH; RDP/DB break-glass less formally documented."
teleport,Teleport,UC-P-009,UC-F,GAP,0,,,,"Teleport has no Endpoint Privilege Management (EPM) capability — it does not manage local-admin tokens on endpoints, enforce application-level privilege elevation (UAC-style), or provide process-level least-privilege on Windows/macOS/Linux desktops. This is outside Teleport's architectural scope. EPM requires a dedicated tool (e.g., BeyondTrust EPM, CyberArk EPM)."
teleport,Teleport,UC-P-010,UC-F,NATIVE,4,https://goteleport.com/docs/identity-security/,"Identify users with excessive standing privileges across infrastructure",teleport-identity-security-2025,"Access Graph (Teleport Identity Security, Enterprise) visualises standing privileges across SSH, Kubernetes, DB, cloud IAM. Surfaces over-privileged accounts and conflicting roles. JIT + Access Requests enforce least-privilege at session level. Right-sizing recommendations require Access Graph; not available on Community edition. [INDUSTRY-CONSENSUS] maturity 4 — visualisation strong, automated right-sizing tooling still maturing."
teleport,Teleport,UC-P-011,UC-F,NATIVE,5,https://goteleport.com/blog/third-party-access/,"Zero standing privileges and just-in-time access for all vendor sessions",teleport-vendor-access-2025,"Vendors/contractors authenticate via their own corporate SSO (Okta, Entra ID, Google, GitHub). JIT access scoped to resource, auto-expiring via cert TTL, fully recorded and audited. No shared credentials or SSH keys. Per-session MFA configurable. Strong fit for FI third-party access requirements."
teleport,Teleport,UC-P-012,UC-F,ADD-ON,3,https://goteleport.com/docs/identity-security/integrations/aws-sync/,"Scans IAM permissions, users, groups, resources and identities for visual mapping",teleport-ciem-aws-2025,"Identity Security / Access Graph syncs AWS IAM policies, users, groups, EC2, EKS, RDS, KMS. Provides entitlement visualisation and least-privilege analysis for AWS. Azure/GCP coverage less complete. Not a full CIEM platform (no remediation automation, no multi-cloud policy enforcement engine). Requires Teleport Enterprise. ADD-ON to core access platform."
teleport,Teleport,UC-P-013,UC-F,NATIVE,5,https://goteleport.com/docs/machine-workload-identity/workload-identity/introduction/,"Workload attestation eliminates bootstrapping secrets for workload credentials",teleport-workload-attestation-2025,"SPIFFE Workload API implementation: tbot attests workload identity via Linux process attributes or Kubernetes pod metadata. Issues short-lived X.509 SVIDs or JWTs — no static secret bootstrap. This is Teleport's strongest differentiated capability vs. traditional PAM. Cert TTL ~20 minutes by default."
teleport,Teleport,UC-P-014,UC-F,NATIVE,3,https://goteleport.com/docs/identity-governance/access-lists/,"Access Lists require periodic reviews; select a future next-review date",teleport-access-lists-2025,"Access Lists (Teleport Enterprise) enforce periodic membership reviews with configurable next-review date. Owners are auto-suggested as reviewers on Access Requests. Immutable audit log exports user/role/access-history for auditor evidence. Covers Teleport-managed resources only; does not certify entitlements in external systems (AD, cloud IAM) natively. [INDUSTRY-CONSENSUS] maturity 3 — functional but narrower scope than full IGA recertification."
teleport,Teleport,UC-P-015,UC-N,NATIVE,3,https://goteleport.com/platform/identity-security/,"Continuously analyses identity behaviour to detect privilege escalation and lateral movement",teleport-itdr-2025,"Identity Security correlates 50+ identity vulnerability types; alerts on anomalous access patterns, off-hours access, privilege escalation, lateral movement. Session-level context included in every alert. SIEM integration for export. Less mature than dedicated UEBA platforms; no custom ML model tuning exposed to customers. Requires Teleport Enterprise."
teleport,Teleport,UC-P-016,UC-N,NATIVE,4,https://goteleport.com/blog/how-to-detect-compromised-identities-with-teleport/,"Certificate generation counter detects potentially stolen renewable certificates",teleport-cert-theft-2025,"tbot certificate-generation counter: if renewed cert counter mismatches Auth Service counter, renewal fails and bot user is auto-locked. Ephemeral cert model structurally limits credential-theft blast radius to one session. Identity Security flags insecure SSH keys and anomalous auth patterns. Inherently strong because static creds are eliminated — stolen cert is TTL-limited."
teleport,Teleport,UC-P-017,UC-N,NATIVE,4,https://goteleport.com/docs/deploy-a-cluster/high-availability/,"HA cluster with Auth Service load balancer and external key-value backend",teleport-ha-2025,"Documented HA deployment: Proxy Service and Auth Service each behind load balancers; external backend (DynamoDB, etcd, CockroachDB) for cluster state and audit storage. Break-glass SSH works even when Teleport control plane is offline. Disaster recovery docs cover EKS, GKE, AKS, and on-prem. Teleport Cloud (SaaS) provides managed HA. RPO depends on backend backup frequency."
