uc_id,current_state,confidence,evidence_q_ids,evidence_redacted,gap_notes,sensitivity_tag,citation_keys
UC-F-001,GAP,HIGH,Q-E.00#1;Q-F.02;Q-F.04,Plaintext-secrets-in-repos finding from 2019 red team remains open; dominant XYZ gap with strongest lived-experience evidence,Enforce pre-merge push-protection across all repos plus historical sweep with rotation SLA,[INTERNAL],gitguardian-sots-2024;github-push-protection-2024
UC-F-002,GAP,HIGH,Q-E.00#1;Q-F.02,Historical secret-scanning not consistent across the estate per lived-experience observations,Quarterly full-history scans plus continuous CI integration with rotation tracking,[INTERNAL],gitguardian-sots-2024
UC-F-003,PARTIAL,HIGH,Q-D.06;Q-C.01,JIT short-lived creds for AWS only via Vault IAM/EC2 auth; Azure and GCP not covered,Enable Azure auth method on Vault and federate GCP workload identity through Vault,[INTERNAL],github-oidc-2024;aws-iam-oidc-2024
UC-F-004,GAP,HIGH,Q-D.03;Q-J.01;Q-K,No PKI/SPIRE/TLS-cert auth method enabled; SPIFFE workload identity not in operational use; ZT workload identity poorly understood,FI 27 demystification + SPIFFE/SPIRE pilot on K8s + Vault PKI engine activation,[INTERNAL],spiffe-spec-2023
UC-F-005,PARTIAL,HIGH,Q-C.02;Q-D.06,Vault database secrets engine enabled but adoption is effectively zero — classic shelf-ware,Onboard targeted DB estate (Oracle/MSSQL/Postgres) into dynamic engine with usage SLA,[INTERNAL],
UC-F-006,PARTIAL,MEDIUM,Q-D.06;Q-G.01,Static KV secret rotation cadence unknown; manual processes dominate non-AWS workloads,Define rotation SLA per secret class and instrument MTTR metric for v1.0,[INTERNAL],
UC-F-007,PARTIAL,HIGH,Q-G.06;Q-D.06,SSL team uses Vault as static-secret backend via ServiceNow+AppRole for cert generation; lifecycle owned outside Vault; revocation status unclear,Move to ACME-driven automation with Venafi/Keyfactor or Vault PKI for full lifecycle,[INTERNAL],
UC-F-008,GAP,MEDIUM,Q-G.06;Q-D.06,Cert rotation not automated through Vault — SSL team manages out-of-band; email-driven delivery is a 2025-vintage pattern,Automate rotation + integrate with workload deploy pipelines,[INTERNAL],
UC-F-009,PENDING,LOW,Q-G.06,Cert revocation workflow at SSL team not confirmed,Confirm revocation workflow with SSL team and assess automation feasibility,[INTERNAL],
UC-F-010,PARTIAL,MEDIUM,Q-D.03;Q-C.04,DevOps/supply-chain cluster managed via Vault but inconsistent team adoption; visibility on machine identities limited,Mandate Vault-backed pipeline secret patterns across CI/CD platforms,[INTERNAL],
UC-F-011,PENDING,LOW,Q-C.04,Container image-pull credential governance not explicitly confirmed,Audit registry pull credential governance across OpenShift/AWS/GCP edge clusters,[INTERNAL],
UC-F-012,PENDING,LOW,,Webhook secret governance not addressed in Task 0,Inventory webhook secrets across CI/CD and event-bus platforms,[INTERNAL],
UC-F-013,PARTIAL,HIGH,Q-D.06;Q-I.03,AD service-account rotation owned by CyberArk PAM (entrenched after Vault attempt rolled back); coverage assumed substantial,Confirm CyberArk PAM coverage breadth and gMSA dependency mapping,[INTERNAL],
UC-F-014,PENDING,LOW,Q-I.03,Non-AD UNIX/Linux service-account governance status unclear; flagged as F-02 red-team finding potentially still open,Audit UNIX/Linux SA governance scope of CyberArk PAM vs out-of-platform,[INTERNAL],
UC-F-015,PENDING,LOW,,Privileged-access session brokering (SSH bastions/jump hosts) not explicitly confirmed,Confirm PSM/PSMP deployment scope with CyberArk PAM owners,[INTERNAL],
UC-F-016,PARTIAL,HIGH,Q-D.04,HSM-sealed Vault migrated from SafeNet Luna to Fortanix recently; vault-internal seal-wrap likely in place,Confirm Fortanix DSM seal-wrap configuration and DR HSM operator runbooks,[INTERNAL],
UC-F-017,PARTIAL,MEDIUM,Q-D.04,Fortanix CCM supports TEE attestation but XYZ adoption for production secret release not confirmed,Pilot TEE attestation-gated secret release for high-sensitivity workloads,[INTERNAL],
UC-F-018,GAP,MEDIUM,Q-J.01;Q-K,AI agent identity governance not in operational scope; AI/MCP-related NHI inventory absent,Adopt AI-agent identity governance (Oasis AAM / Aembit / Clutch) tied to NHI inventory program,[INTERNAL],
UC-F-019,PARTIAL,MEDIUM,Q-D.04,Fortanix DSM PQC roadmap exists but XYZ PQC inventory and migration plan not confirmed,Initiate PQC crypto inventory using Fortanix PQC Central; align to ASD PQC guidance,[INTERNAL],asd-pqc-guidance-2024
UC-F-020,PENDING,LOW,Q-B.02;Q-C.05,Mainframe NHI governance pending confirmation; tier-1 footprint implies RACF/Top Secret/ACF2 in scope,Inventory mainframe service IDs and assess CyberArk Conjur/PAM coverage,[INTERNAL],
UC-F-021,PARTIAL,MEDIUM,Q-D.06,Vault SSH engine OFF; SSH access governance external to Vault — likely static keys + PSM,Enable Vault SSH CA for ephemeral access; phase out static SSH keys,[INTERNAL],
UC-F-022,PENDING,LOW,,RPA bot identity governance not addressed in Task 0,Audit UiPath/Blue Prism/Automation Anywhere identity governance vs CyberArk PAM,[INTERNAL],
UC-F-023,PENDING,LOW,,Network device admin credential governance not addressed; likely CyberArk PAM owns this lane,Confirm network device credential rotation cadence with CyberArk PAM owners,[INTERNAL],
UC-F-024,PENDING,LOW,Q-B.02,Open Banking AU / CDR partner token governance not addressed; tier-1 implies CDR exposure,Inventory CDR consent tokens and accreditation; align with FAPI 2.0 patterns,[INTERNAL],
UC-F-025,PENDING,LOW,,OAuth-app SaaS-grant governance not addressed,Pilot NHI-discovery tool (Astrix/Oasis/Clutch) for OAuth-app inventory,[INTERNAL],
UC-F-026,PARTIAL,HIGH,Q-D.04;Q-D.05,Vault Enterprise hardened with HSM seal; multi-region replication architecture in place (on-prem primary+DR + multi-cloud PR edges); Fortanix as crypto root,Document break-glass + recovery-key custody runbooks; validate HSM operator quorum,[INTERNAL],
UC-F-027,GAP,HIGH,Q-C.00,Orphan secrets inventory not in place; no NHI discovery layer above Vault,Deploy NHI-discovery platform (Astrix/Entro/Oasis/Clutch) with orphan SLA,[INTERNAL],
UC-N-001,GAP,HIGH,Q-C.00;Q-F.04;Q-K,Sprawl KPI dashboard not in operational use; classic shelf-ware DB engine and inconsistent CI/CD adoption mask the true count,Stand up NHI inventory layer + plaintext-secret KPI dashboard reporting weekly,[INTERNAL],gitguardian-sots-2024
UC-N-002,GAP,HIGH,Q-C.00,No NHI inventory of any kind above the vault platforms,Discovery-tier vendor with vault + cloud + SaaS + repo coverage,[INTERNAL],
