vendor_slug,vendor_name,target_id,target_type,coverage,maturity,evidence_url,evidence_quote,citation_keys,notes
cyberark-pam,CyberArk PAM,NHI-001,NHI,ADD-ON,2,https://www.cyberark.com/products/privileged-access-manager/,Modernize your PAM program and provide defense-in-depth protection throughout your IT estate in hybrid and multi-cloud environments,cyberark-pam-product-2025,CPM plug-ins rotate AWS IAM access keys and Azure SP secrets; GCP SA key rotation less documented [INDUSTRY-CONSENSUS]
cyberark-pam,CyberArk PAM,NHI-002,NHI,GAP,1,https://www.cyberark.com/products/privileged-access-manager/,Modernize your PAM program and provide defense-in-depth protection throughout your IT estate,cyberark-pam-product-2025,No native K8s JWKS auth; AAM/CCP can inject creds into pods via SDK but not SPIFFE-native
cyberark-pam,CyberArk PAM,NHI-003,NHI,PARTNER,2,https://www.cyberark.com/products/privileged-access-manager/,Modernize your PAM program and provide defense-in-depth protection throughout your IT estate,cyberark-pam-product-2025,AAM CCP SDK integrates with Jenkins/GitHub Actions via Marketplace plugin; not dynamic OIDC-native [INDUSTRY-CONSENSUS]
cyberark-pam,CyberArk PAM,NHI-004,NHI,GAP,1,https://www.cyberark.com/products/privileged-access-manager/,Modernize your PAM program and provide defense-in-depth protection throughout your IT estate,cyberark-pam-product-2025,No native container image-pull credential issuance; workaround via CCP SDK
cyberark-pam,CyberArk PAM,NHI-005,NHI,NATIVE,4,https://www.cyberark.com/products/privileged-access-manager/,Modernize your PAM program and provide defense-in-depth protection throughout your IT estate in hybrid and multi-cloud environments,cyberark-pam-product-2025,CPM natively rotates Oracle/MSSQL/Sybase/DB2/PostgreSQL/MySQL privileged accounts; PSM brokers DB sessions
cyberark-pam,CyberArk PAM,NHI-006,NHI,ADD-ON,2,https://www.cyberark.com/products/privileged-access-manager/,Modernize your PAM program and provide defense-in-depth protection throughout your IT estate,cyberark-pam-product-2025,CyberArk Certificate Manager (CCM) module handles X.509 lifecycle; not SPIFFE-native [INDUSTRY-CONSENSUS]
cyberark-pam,CyberArk PAM,NHI-007,NHI,ADD-ON,2,https://www.cyberark.com/products/privileged-access-manager/,Modernize your PAM program and provide defense-in-depth protection throughout your IT estate,cyberark-pam-product-2025,AAM/CCP vaults SaaS API keys; rotation via CPM custom plug-ins [INDUSTRY-CONSENSUS]
cyberark-pam,CyberArk PAM,NHI-008,NHI,ADD-ON,2,https://www.cyberark.com/products/privileged-access-manager/,Modernize your PAM program and provide defense-in-depth protection throughout your IT estate,cyberark-pam-product-2025,SSH private keys vaulted and rotated via CPM SSH plug-in; PAT rotation requires custom plug-in [INDUSTRY-CONSENSUS]
cyberark-pam,CyberArk PAM,NHI-009,NHI,PARTNER,2,https://www.cyberark.com/products/privileged-access-manager/,Modernize your PAM program and provide defense-in-depth protection throughout your IT estate,cyberark-pam-product-2025,CCP SDK integrates with Ansible and Terraform (community-supported provider) [INDUSTRY-CONSENSUS]
cyberark-pam,CyberArk PAM,NHI-010,NHI,ADD-ON,2,https://www.cyberark.com/products/privileged-access-manager/,Modernize your PAM program and provide defense-in-depth protection throughout your IT estate,cyberark-pam-product-2025,AAM CCP delivers agent credentials without hardcoding; no auto-rotation of SaaS monitoring keys natively [INDUSTRY-CONSENSUS]
