vendor_slug,vendor_name,target_id,target_type,coverage,maturity,evidence_url,evidence_quote,citation_keys,notes
britive,Britive,UC-P-001,UC-F,NATIVE,2,https://www.britive.com/platform/,"Safeguard sensitive data with Britive's Secrets Manager. Store, manage, and access credentials securely with temporary, auto-expiring permissions, preventing unauthorized access and reducing the risk of data breaches.",britive-platform-2026,"PASS-2 re-encode PARTIAL->NATIVE/2. Britive Secrets Manager stores/manages credentials with temporary auto-expiring access — but the model is ephemeral JIT, NOT a classic password vault with scheduled check-out/check-in rotation of in-scope privileged accounts across AD/Unix/DB/network. No first-party evidence of automated password rotation or full privileged-account onboarding. Maturity 2: vaulting present for vaulted/static credentials, but rotation-on-schedule and estate-wide onboarding not evidenced. All Britive evidence is marketing-tier (britive.com); docs.britive.com admin-doc unconfirmed. [HONEST-GAP for classic vault semantics]"
britive,Britive,UC-P-002,UC-F,NATIVE,2,https://www.britive.com/platform/access-broker,"Manage privileged access for all identities across public cloud, private cloud and hybrid environments, on-prem servers, databases, VMs, and applications through a single platform.",britive-access-broker-2026,"PASS-2 re-encode PARTIAL->NATIVE/2 with corrected quote (PASS-1 quotes drifted). Britive is explicitly agent-less and proxy-less; Access Broker brokers JIT access to servers/DBs/K8s/on-prem but markets NO credential-injection isolation proxy that withholds the target secret from the operator endpoint, and the page contains no explicit session-isolation claim. Maturity 2 — brokered access yes, classic isolation-proxy with credential injection not evidenced. [HONEST-GAP for session-proxy isolation]"
britive,Britive,UC-P-003,UC-F,NATIVE,1,https://www.britive.com/use-cases/cloud-pam,"Privileged Session Monitoring and Recording",britive-cloud-pam-usecase-2026,"PASS-2 re-encode PARTIAL->NATIVE/1 (marketing header only — weakest landing). Britive markets a 'Privileged Session Monitoring and Recording' use case, but first-party pages expose only the heading with no substantive description of keystroke/command capture, tamper-evidence, retention, or high-risk-command flagging. Maturity 1 — capability named by vendor but undocumented at depth; treat as marketing-tier until admin-doc confirms scope. [UNVERIFIED depth — marketing header only]"
britive,Britive,UC-P-004,UC-F,NATIVE,5,https://www.britive.com/platform/just-in-time-access,"permissions are dynamically minted only at the exact moment of execution",britive-jit-2026,"Flagship capability (PASS-2 quote corrected — PASS-1 splice replaced with verbatim sentence). Permissions dynamically minted only at the exact moment of execution and automatically revoked once the task completes; self-service automated access-request workflows with approvals; multi-cloud (AWS, Azure, GCP, Kubernetes). Patented JIT/ZSP model — market-leading for cloud-native JIT. Marketing+product-page sourced; admin-doc (docs.britive.com) not separately fetched."
britive,Britive,UC-P-005,UC-F,NATIVE,1,https://www.britive.com/use-cases,"Account Discovery & Drift Detection",britive-usecases-2026,"PASS-2 re-encode PARTIAL->NATIVE/1 (marketing header only). Britive lists 'Account Discovery & Drift Detection' as a use case but first-party pages give only the heading without describing recurring multi-source enumeration (AD/Unix/cloud/DB/network/SaaS) or auto-flagging of newly found accounts. Likely cloud-identity scoped, not classic on-prem privileged/local-admin enumeration. Maturity 1 pending admin-doc. [UNVERIFIED depth — marketing header only]"
britive,Britive,UC-P-006,UC-F,NATIVE,4,https://www.britive.com/platform/just-in-time-access,"permissions are dynamically minted only at the exact moment of execution",britive-jit-2026,"Britive markets dedicated NHI / automations / AI-agent and IaC use cases; A2A/workload access obtains dynamic ephemeral privileges at runtime rather than holding hard-coded secrets. Strong fit for runtime credential brokering. Maturity 4 — broad NHI coverage evidenced via marketing; per-app scoping detail not separately confirmed in admin-doc."
britive,Britive,UC-P-007,UC-F,GAP,0,,,,"No first-party evidence that Britive enforces or provides MFA / phishing-resistant factors at its own elevation point. As an agent-less cloud-native broker, Britive relies on the customer's IdP/SSO (Okta, Entra, etc.) for authentication and MFA rather than enforcing FIDO2 itself. Graded GAP — MFA is an upstream-IdP responsibility, not a Britive-native control. [HONEST-GAP]"
britive,Britive,UC-P-008,UC-F,GAP,0,,,,"No first-party evidence of a dedicated break-glass / emergency-access capability (sealed accounts, dual-control checkout, alert-on-use, auto post-use rotation). Britive's ZSP model reduces standing accounts generally but does not document a controlled break-glass path. Graded GAP. [HONEST-GAP]"
britive,Britive,UC-P-009,UC-F,GAP,0,,,,"Britive has no Endpoint Privilege Management. It does not remove local-admin tokens, apply per-application UAC-style elevation, or enforce process-level least-privilege on desktops. Outside the architectural scope of a cloud-native CPAM. EPM requires a dedicated tool (e.g., BeyondTrust EPM, CyberArk EPM). [HONEST-GAP — architectural]"
britive,Britive,UC-P-010,UC-F,NATIVE,4,https://www.britive.com/platform/,"Eliminate the risks associated with standing privileges. Ephemeral, just-in-time access ensures that access is granted temporarily and expires when no longer needed, enforcing Zero Standing Privileges by default.",britive-platform-2026,"ZSP-by-default structurally enforces least privilege at session level; combined with CIEM-style cross-cloud entitlement analysis (see UC-P-012) for right-sizing. Maturity 4 — strong right-sizing posture via JIT; automated unused-entitlement removal tooling not separately admin-doc-confirmed."
