vendor_slug,vendor_name,target_id,target_type,coverage,maturity,evidence_url,evidence_quote,citation_keys,notes
clutch-security,Clutch Security,NHI-001,NHI,NATIVE,3,https://www.clutch.security/,Discovers cloud IAM roles and service accounts across AWS/Azure/GCP via API integrations,clutch-homepage-2025,Cloud IAM principal discovery via Identity Lineage® Graph
clutch-security,Clutch Security,NHI-002,NHI,NATIVE,2,https://www.clutch.security/integrations,Kubernetes listed as integration source for identity discovery,clutch-integrations-2025,K8s ServiceAccount inventory; rotation/brokering requires vault partner
clutch-security,Clutch Security,NHI-003,NHI,NATIVE,2,https://www.clutch.security/integrations,CI/CD platforms (Jenkins CircleCI Azure DevOps) in discovery source list; PATs/pipeline secrets scanned,clutch-integrations-2025,Discovery and scanning; OIDC issuance requires CI platform
clutch-security,Clutch Security,NHI-004,NHI,ADD-ON,1,https://www.clutch.security/,Image-pull credentials surfaced via repo/registry scanning as part of secret scan,clutch-homepage-2025,No dedicated image-pull credential lifecycle; surfaced via scanning
clutch-security,Clutch Security,NHI-005,NHI,NATIVE,2,https://www.clutch.security/integrations,Snowflake and Databricks in integration list; database credentials surfaced via vault augmentation,clutch-integrations-2025,Discovery and hygiene; dynamic creds require vault (e.g. HashiCorp Vault)
clutch-security,Clutch Security,NHI-006,NHI,GAP,0,https://www.clutch.security/platform,No certificate lifecycle management or PKI/mTLS features found in public docs,clutch-platform-2025,No TLS/mTLS workload identity or SPIFFE/SVID support found
clutch-security,Clutch Security,NHI-007,NHI,NATIVE,3,https://www.clutch.security/,SaaS OAuth app discovery and API key inventory — Salesforce Workday SAP Oracle 100+ SaaS,clutch-homepage-2025,Core use case; lifecycle tracking and risk scoring native
clutch-security,Clutch Security,NHI-008,NHI,NATIVE,3,https://www.clutch.security/integrations,GitHub/GitLab/Bitbucket discovery; contextual secret scanning in repos; VSCode extension,clutch-integrations-2025,Strong coverage; includes historical scanning and blast-radius context
clutch-security,Clutch Security,NHI-009,NHI,ADD-ON,2,https://www.clutch.security/integrations,Terraform listed as integration; IaC secrets surfaced via code scanning,clutch-integrations-2025,Discovery only; injection at apply-time requires vault
clutch-security,Clutch Security,NHI-010,NHI,NATIVE,2,https://www.clutch.security/integrations,Datadog Splunk in integration list; observability agent API keys in discovery scope,clutch-integrations-2025,Agent key lifecycle tracking; rotation requires vault partner
clutch-security,Clutch Security,NHI-011,NHI,GAP,0,https://www.clutch.security/integrations,No Kafka/RabbitMQ/Service Bus integration found,clutch-integrations-2025,Message broker identity out of scope
clutch-security,Clutch Security,NHI-012,NHI,ADD-ON,1,https://www.clutch.security/integrations,Windows listed as infrastructure integration; AD service account inventory not explicitly documented,clutch-integrations-2025,Partial — Windows integration implies AD discovery; gMSA migration not found
clutch-security,Clutch Security,NHI-013,NHI,GAP,0,https://www.clutch.security/platform,No API gateway credential management or mTLS key inventory found,clutch-platform-2025,API gateway upstream identity out of scope
clutch-security,Clutch Security,NHI-014,NHI,NATIVE,2,https://www.clutch.security/platform,RPA listed as a discovery source category on the platform page,clutch-platform-2025,RPA bot identity discovered; vault integration for per-session creds requires vault partner
clutch-security,Clutch Security,NHI-015,NHI,GAP,0,https://www.clutch.security/platform,No code-signing or Sigstore features found,clutch-platform-2025,Code-signing identity out of scope
clutch-security,Clutch Security,NHI-016,NHI,GAP,0,https://www.clutch.security/platform,No SLSA/in-toto provenance features declared,clutch-platform-2025,Build provenance identity out of scope
clutch-security,Clutch Security,NHI-017,NHI,GAP,0,https://www.clutch.security/platform,No Istio/Linkerd/Consul control-plane identity management found,clutch-platform-2025,Service mesh control-plane identity out of scope
clutch-security,Clutch Security,NHI-018,NHI,GAP,0,https://www.clutch.security/platform,No TEE/enclave attestation features declared,clutch-platform-2025,Confidential-computing attestation identity out of scope
clutch-security,Clutch Security,NHI-019,NHI,NATIVE,3,https://www.clutch.security/platform/agentic-ai-governance,Agentic AI Governance: discovery (sanctioned + shadow AI) guardrails risk scoring threat detection,clutch-agentic-ai-2025,Shadow AI/MCP discovery GA Aug 2025; Claude/Copilot/Cursor MCP detection
clutch-security,Clutch Security,NHI-020,NHI,GAP,0,https://www.clutch.security/platform,No model registry or ML pipeline identity features found,clutch-platform-2025,Model artifact/registry identity out of scope
clutch-security,Clutch Security,NHI-021,NHI,GAP,0,https://www.clutch.security/platform,No IoT/OT/ATM device certificate or PSK management features found,clutch-platform-2025,IoT/OT device identity out of scope
clutch-security,Clutch Security,NHI-022,NHI,GAP,0,https://www.clutch.security/platform,No RACF/ACF2/IBM-i integration or mainframe credential management found,clutch-platform-2025,Mainframe identity out of scope
clutch-security,Clutch Security,NHI-023,NHI,GAP,0,https://www.clutch.security/platform,No KMS/TDE key-management features declared,clutch-platform-2025,Database encryption key identity out of scope
clutch-security,Clutch Security,NHI-024,NHI,GAP,0,https://www.clutch.security/platform,No HSM/KMS operator or quorum identity management found,clutch-platform-2025,HSM/KMS operator identity out of scope
clutch-security,Clutch Security,NHI-025,NHI,GAP,0,https://www.clutch.security/platform,No CA operator or PKI admin identity management found,clutch-platform-2025,CA operator identity out of scope
clutch-security,Clutch Security,NHI-026,NHI,ADD-ON,1,https://www.clutch.security/platform,Backup agent credentials likely surfaced via secret scanning/vault augmentation,clutch-platform-2025,No dedicated backup-agent de-privilege workflow; surfaced via scanning
clutch-security,Clutch Security,NHI-027,NHI,ADD-ON,1,https://www.clutch.security/integrations,OAuth client secrets discoverable via SaaS and code scanning; no OBO-specific workflow,clutch-integrations-2025,BFF/OBO token-holder surfaced via scanning only
clutch-security,Clutch Security,NHI-028,NHI,GAP,0,https://www.clutch.security/platform,No FAPI 2.0/CDR/Open Banking partner certificate lifecycle management found,clutch-platform-2025,Federated B2B/Open Banking identity out of scope — APRA CDR gap
clutch-security,Clutch Security,NHI-029,NHI,NATIVE,2,https://www.clutch.security/,Workforce Attribution use case maps human-to-NHI; Identity Lineage® identifies shared-account patterns,clutch-homepage-2025,Service-account-as-human surfaced; cleanup via hygiene automation
clutch-security,Clutch Security,NHI-030,NHI,NATIVE,3,https://www.clutch.security/,OAuth app discovery across M365/Google Workspace/Salesforce/Slack/GitHub in discovery scope,clutch-homepage-2025,Shadow integration use case addressed; stale token detection
clutch-security,Clutch Security,NHI-031,NHI,ADD-ON,1,https://www.clutch.security/platform,Webhook signing secrets surfaced via contextual scanning,clutch-platform-2025,Webhook identity surfaced via scanning only; no replay-protection feature
clutch-security,Clutch Security,NHI-032,NHI,GAP,0,https://www.clutch.security/integrations,No TACACS+/RADIUS/network-device credential management found,clutch-integrations-2025,Network device identity out of scope
clutch-security,Clutch Security,NHI-033,NHI,GAP,0,https://www.clutch.security/platform,No branch peripheral/ATM credential management declared,clutch-platform-2025,Branch peripheral identity out of scope
clutch-security,Clutch Security,NHI-034,NHI,GAP,0,https://www.clutch.security/platform,No PQC or hybrid-cert features declared,clutch-platform-2025,Post-quantum identity out of scope
clutch-security,Clutch Security,NHI-035,NHI,ADD-ON,2,https://www.clutch.security/,Vault Augmentation surfaces missing secrets copied credentials vault coverage gaps,clutch-homepage-2025,Vault-internal posture visibility; does not govern root tokens or replication identities
clutch-security,Clutch Security,NHI-036,NHI,NATIVE,3,https://www.clutch.security/principles,Clutch explicitly advocates ephemeral credentials as core ZT philosophy; lifecycle features support transition,clutch-principles-2025,Named in taxonomy as exemplar vendor for this NHI class
clutch-security,Clutch Security,NHI-037,NHI,NATIVE,3,https://www.clutch.security/,Identity Hygiene Automation: clean up stale and orphaned identities. Owner attestation and dormancy detection,clutch-homepage-2025,Core use case; orphan cleanup pipeline with owner attribution
clutch-security,Clutch Security,UC-F-001,UC-F,NATIVE,3,https://www.clutch.security/integrations,Contextual Secret Scanning in repos with blast-radius context; VSCode extension for workspace scanning,clutch-integrations-2025,Pre-commit hooks require partner (GitGuardian/Gitleaks); Clutch provides discovery layer
clutch-security,Clutch Security,UC-F-002,UC-F,NATIVE,3,https://www.clutch.security/,Continuous and historical sweep with contextual remediation; Vault Augmentation surfaces secrets outside vaults,clutch-homepage-2025,History sweep + contextual blast-radius evidence
clutch-security,Clutch Security,UC-F-003,UC-F,ADD-ON,2,https://www.clutch.security/principles,Clutch discovers and inventories OIDC-federated pipelines; advocates ephemeral; does not issue OIDC tokens itself,clutch-principles-2025,Discovery and posture only; OIDC issuance requires CI/cloud platform
clutch-security,Clutch Security,UC-F-004,UC-F,ADD-ON,1,https://www.clutch.security/principles,Clutch advocates and tracks ephemeral NHIs but does not operate a SPIFFE workload API,clutch-principles-2025,Posture and observability only; SPIFFE brokering requires SPIRE/Aembit partner
clutch-security,Clutch Security,UC-F-005,UC-F,GAP,0,https://www.clutch.security/platform,Clutch does not broker database credentials; no dynamic-secret engine found,clutch-platform-2025,PARTNER with HashiCorp Vault/CyberArk for dynamic DB creds
clutch-security,Clutch Security,UC-F-006,UC-F,GAP,0,https://www.clutch.security/principles,Clutch explicitly does NOT position rotation as core feature — anti-rotation philosophy,clutch-principles-2025,By design absent; rotation requires vault partner
clutch-security,Clutch Security,UC-F-007,UC-F,ADD-ON,2,https://www.clutch.security/,AWS Key Lockdown OSS tool for revoking exposed AWS access keys; SOAR/SIEM integration for response,clutch-homepage-2025,Revocation via OSS tool + SOAR; not a universal revocation API
clutch-security,Clutch Security,UC-F-008,UC-F,GAP,0,https://www.clutch.security/platform,No K8s CSI driver secret-store integration or etcd encryption capability found,clutch-platform-2025,PARTNER with HashiCorp Vault Agent Injector or K8s CSI Driver
clutch-security,Clutch Security,UC-F-009,UC-F,GAP,0,https://www.clutch.security/platform,No per-workload image-pull credential issuance feature found,clutch-platform-2025,PARTNER with ECR/ACR/GAR token issuance
clutch-security,Clutch Security,UC-F-010,UC-F,GAP,0,https://www.clutch.security/integrations,Clutch does not inject secrets at apply-time; Terraform integration is discovery-only,clutch-integrations-2025,PARTNER with HashiCorp Vault Terraform provider
clutch-security,Clutch Security,UC-F-011,UC-F,ADD-ON,2,https://www.clutch.security/integrations,Datadog/Splunk agent credentials in discovery scope; lifecycle hygiene flagged; rotation requires vault partner,clutch-integrations-2025,Discovery and hygiene tracking; rotation requires vault
clutch-security,Clutch Security,UC-F-012,UC-F,GAP,0,https://www.clutch.security/integrations,No Kafka/Service Bus/RabbitMQ integration found,clutch-integrations-2025,Message-broker identity hardening out of scope
clutch-security,Clutch Security,UC-F-013,UC-F,ADD-ON,1,https://www.clutch.security/integrations,Windows/AD integration listed; AD service account inventory possible; gMSA migration not found,clutch-integrations-2025,AD inventory partial; gMSA migration orchestration requires Microsoft tooling
clutch-security,Clutch Security,UC-F-014,UC-F,GAP,0,https://www.clutch.security/platform,No API gateway identity lifecycle or mTLS certificate management found,clutch-platform-2025,API gateway upstream identity out of scope
clutch-security,Clutch Security,UC-F-015,UC-F,NATIVE,2,https://www.clutch.security/platform,RPA listed as discovery source; bot identity mapping via Identity Lineage®,clutch-platform-2025,Bot identity discovery and lifecycle; vault integration for per-session creds requires vault
clutch-security,Clutch Security,UC-F-016,UC-F,GAP,0,https://www.clutch.security/platform,No code-signing or Sigstore integration found,clutch-platform-2025,Keyless code-signing out of scope
clutch-security,Clutch Security,UC-F-017,UC-F,GAP,0,https://www.clutch.security/platform,No TEE/enclave attestation features declared,clutch-platform-2025,TEE attestation out of scope
clutch-security,Clutch Security,UC-F-018,UC-F,NATIVE,3,https://www.clutch.security/platform/agentic-ai-governance,Agentic AI Governance: agent credential mapping guardrails on tool permissions shadow AI/MCP discovery,clutch-agentic-ai-2025;clutch-shadow-ai-2025,Claude/Copilot/Cursor MCP detection; GA Aug 2025
clutch-security,Clutch Security,UC-F-019,UC-F,GAP,0,https://www.clutch.security/platform,No IoT/OT/ATM device enrolment or certificate lifecycle found,clutch-platform-2025,IoT/OT device enrolment out of scope
clutch-security,Clutch Security,UC-F-020,UC-F,GAP,0,https://www.clutch.security/platform,No mainframe/RACF integration or credential rotation pipeline found,clutch-platform-2025,Mainframe credential rotation out of scope
clutch-security,Clutch Security,UC-F-021,UC-F,ADD-ON,1,https://www.clutch.security/platform,Backup agent credentials surfaced via secret scanning; no dedicated de-privilege or vault workflow,clutch-platform-2025,Discovery only; de-privilege requires vault partner
clutch-security,Clutch Security,UC-F-022,UC-F,ADD-ON,1,https://www.clutch.security/platform,Webhook signing secrets surfaced via contextual scanning; no verification middleware or replay-protection,clutch-platform-2025,Scanning only; verification requires application-layer controls
clutch-security,Clutch Security,UC-F-023,UC-F,GAP,0,https://www.clutch.security/integrations,No TACACS+/RADIUS/network-device integration found,clutch-integrations-2025,Network device credential modernisation out of scope
clutch-security,Clutch Security,UC-F-024,UC-F,GAP,0,https://www.clutch.security/platform,No CDR/FAPI 2.0 partner certificate lifecycle found,clutch-platform-2025,Open-Banking/FAPI 2.0 identity out of scope — AU CDR gap
clutch-security,Clutch Security,UC-F-025,UC-F,NATIVE,3,https://www.clutch.security/,OAuth app discovery and risk scoring across M365/Google Workspace/Salesforce/GitHub/Slack,clutch-homepage-2025,Core use case; stale-token detection declared
clutch-security,Clutch Security,UC-F-026,UC-F,ADD-ON,2,https://www.clutch.security/,Vault Augmentation: surfaces missing secrets copied credentials gaps in vault coverage,clutch-homepage-2025,Vault posture visibility; does not manage root tokens or replication identities
clutch-security,Clutch Security,UC-F-027,UC-F,NATIVE,3,https://www.clutch.security/,Identity Hygiene Automation explicitly addresses stale/orphaned NHIs; owner attestation and dormancy detection,clutch-homepage-2025,Core use case; NHI cleanup pipeline with owner attribution
clutch-security,Clutch Security,UC-N-001,UC-N,NATIVE,3,https://www.clutch.security/platform,Full inventory and risk scoring within minutes; contextual findings dashboard with remediation prioritisation,clutch-platform-2025,Real-time dashboard; KPI freshness subject to integration polling cadence
clutch-security,Clutch Security,UC-N-002,UC-N,NATIVE,3,https://www.clutch.security/,Identity Lineage® maps every NHI to human owner; lifecycle ownership tracking; workforce attribution,clutch-homepage-2025,Owner attestation native; GRC export not explicitly documented
clutch-security,Clutch Security,UC-N-003,UC-N,ADD-ON,2,https://www.clutch.security/platform,Clutch tracks secret age and hygiene KPIs; rotation-specific KPIs depend on vault partner integrations,clutch-platform-2025,Rotation freshness requires vault partner telemetry for full coverage
clutch-security,Clutch Security,UC-N-004,UC-N,ADD-ON,1,https://www.clutch.security/,SOC 2 + ISO 27001 certified; no APRA CPS 234 mapping or one-click evidence pack found publicly,clutch-homepage-2025,No AU regulatory evidence pack; manual export likely required
clutch-security,Clutch Security,UC-N-005,UC-N,ADD-ON,1,https://www.clutch.security/principles,ZT-for-NHIs is the product narrative; no explicit E8/NIST CSF scorecard feature found,clutch-principles-2025,ZT narrative alignment; no formal E8 maturity scorecard published
clutch-security,Clutch Security,UC-N-006,UC-N,NATIVE,2,https://www.clutch.security/,SaaS OAuth app risk scoring; supply-chain secret exposure via repo scanning,clutch-homepage-2025,Risk scoring for SaaS integrations; no formal vendor-risk register feature
clutch-security,Clutch Security,UC-N-007,UC-N,GAP,0,https://www.clutch.security/platform,No AU data residency region IRAP certification or APRA CPS 230 data-flow documentation found,clutch-platform-2025,Material blocker for APRA-regulated production deployment; SaaS control plane region undisclosed
clutch-security,Clutch Security,UC-N-008,UC-N,ADD-ON,1,https://www.clutch.security/,NHI Masterclass and Agentic AI Masterclass training offered; no LMS integration or training-KPI feature,clutch-homepage-2025,Training content available; completion KPI tracking not found
clutch-security,Clutch Security,UC-N-009,UC-N,ADD-ON,1,https://www.clutch.security/platform,Risk-scoring and remediation context provided; no GRC exception register integration found,clutch-platform-2025,Exception governance requires GRC partner integration
clutch-security,Clutch Security,UC-N-010,UC-N,GAP,0,https://www.clutch.security/platform,No HSM/KMS quorum or break-glass identity governance found,clutch-platform-2025,Break-glass/quorum operator governance out of scope
