vendor,vendor_slug,area,fit,justification,evidence_url,citation_keys,evidence_quote
SailPoint Identity Security Cloud,sailpoint-isc,JML,NATIVE,"Lifecycle states drive access changes per identity profile (pre-hire/active/leave/terminated/archived); vendor docs: ""Lifecycle states describe a user's status in the organization, which you can use to drive access changes for your users.""",https://documentation.sailpoint.com/saas/help/provisioning/lifecycle.html,sailpoint-isc-lifecycle,"Lifecycle states describe a user's status in the organization, which you can use to drive access changes for your users."
SailPoint Identity Security Cloud,sailpoint-isc,Certification,NATIVE,"Certification campaigns review entitlement, access-profile and role data with revocation through connectors; vendor docs: ""Certifications may include entitlement, access profile, and role data.""",https://documentation.sailpoint.com/saas/help/certs/understanding_certifications.html,sailpoint-isc-certifications,"Certifications may include entitlement, access profile, and role data."
SailPoint Identity Security Cloud,sailpoint-isc,SoD,NATIVE,"First-party SoD service builds conflicting-access policy lists and surfaces violations across governance data; vendor docs: ""Create Separation of Duties policies to build lists of conflicting access.""",https://documentation.sailpoint.com/saas/help/sod/index.html,sailpoint-isc-sod;sailpoint-isc-sod-policies,"Create Separation of Duties policies to build lists of conflicting access. Identities in your org with access in one list aren't allowed to have access within the other list."
SailPoint Identity Security Cloud,sailpoint-isc,Role/Request,NATIVE,"Roles obtained via access request can be approved or revoked and the role model governs assignment; vendor docs: ""Roles obtained through an access request can be approved or revoked.""",https://documentation.sailpoint.com/saas/help/certs/understanding_certifications.html,sailpoint-isc-cert-roles-request,"Roles obtained through an access request can be approved or revoked. Roles assigned to users through automated assignment criteria can only be acknowledged since the role model controls the role assignment."
Saviynt Enterprise Identity Cloud,saviynt-eic,JML,NATIVE,"Automates the complete identity lifecycle from onboarding access assignment to departure revocation; vendor copy: ""Automate the complete identity lifecycle, from rapidly assigning access during onboarding to automatically revoking it upon departure."" (marketing-grade source — docs portal not server-renderable; capability presence per vendor, not an efficacy benchmark)",https://saviynt.com/products/identity-governance-and-administration,saviynt-eic-lifecycle,"Automate the complete identity lifecycle, from rapidly assigning access during onboarding to automatically revoking it upon departure."
Saviynt Enterprise Identity Cloud,saviynt-eic,Certification,NATIVE,"AI-assisted certification campaigns covering accounts, entitlements and enterprise/app roles; vendor copy on the IGA product page. (marketing-grade source — capability presence per vendor, not an efficacy benchmark)",https://saviynt.com/products/identity-governance-and-administration,saviynt-eic-certification,"Use AI-powered recommendations and automation to streamline access requests, simplify certification campaigns, and ensure continuous compliance while reducing the total cost of ownership."
Saviynt Enterprise Identity Cloud,saviynt-eic,SoD,NATIVE,"First-party preventive and detective SoD across the application ecosystem; vendor copy: ""Detect, prevent, and remediate segregation-of-duties (SoD) conflicts across your entire application ecosystem."" (marketing-grade source — capability presence per vendor, not an efficacy benchmark)",https://saviynt.com/solutions/segregation-of-duties,saviynt-eic-sod;saviynt-eic-sod-controls,"Detect, prevent, and remediate segregation-of-duties (SoD) conflicts across your entire application ecosystem with intelligent, automated controls."
Saviynt Enterprise Identity Cloud,saviynt-eic,Role/Request,NATIVE,"Self-service access-request management with SoD evaluated at the point of request; vendor copy: ""Block conflicting access at the point of request with intelligent workflows."" (marketing-grade source — capability presence per vendor, not an efficacy benchmark)",https://saviynt.com/products/identity-governance-and-administration,saviynt-eic-request;saviynt-eic-sod-request-point,"Block conflicting access at the point of request with intelligent workflows that evaluate policies, prevent violations, and guide approvers with clear risk insights."
Microsoft Entra ID Governance,microsoft-entra-idg,JML,NATIVE,"Lifecycle Workflows automate Joiner/Mover/Leaver tasks across the three lifecycle phases; vendor docs describe LCW J/M/L automation. Licensing caveat: requires Entra ID Governance (premium), not base Entra ID.",https://learn.microsoft.com/en-us/entra/id-governance/what-are-lifecycle-workflows,entra-idg-lifecycle-workflows,"Lifecycle workflows (LCW) are identity governance capabilities that enable organizations to manage Microsoft Entra users across the three phases of a user's lifecycle with an organization"
Microsoft Entra ID Governance,microsoft-entra-idg,Certification,NATIVE,"Access reviews recur (weekly/monthly/quarterly/annually) over groups, apps and role assignments; vendor docs: access can be ""reviewed regularly to make sure only the right people have continued access.""",https://learn.microsoft.com/en-us/entra/id-governance/access-reviews-overview,entra-idg-access-reviews,"Access reviews in Microsoft Entra ID, part of Microsoft Entra, enable organizations to efficiently manage group memberships, access to enterprise applications, and role assignments. User access can be reviewed regularly to make sure only the right people have continued access."
Microsoft Entra ID Governance,microsoft-entra-idg,SoD,PARTIAL,"SoD exists only as access-package incompatibility (block a request based on existing group/package membership), not a general cross-app toxic-combination engine; vendor docs constrain it to Entra access packages and groups. Will not satisfy fine-grained cross-application / ERP-grade SoX/ERP SoD without a dedicated AAG/GRC capability.",https://learn.microsoft.com/en-us/entra/id-governance/entitlement-management-access-package-incompatible,entra-idg-sod-access-package,"With the separation of duties settings on an access package, you can configure that a user who is a member of a security group or who already has an assignment to one access package can't request another access package."
Microsoft Entra ID Governance,microsoft-entra-idg,Role/Request,NATIVE,"Entitlement management automates access-request workflows, assignments, reviews and expiration via access packages; vendor docs describe access-request workflow automation at scale.",https://learn.microsoft.com/en-us/entra/id-governance/entitlement-management-overview,entra-idg-entitlement-management,"Entitlement management is an identity governance feature that enables organizations to manage identity and access lifecycle at scale, by automating access request workflows, access assignments, reviews, and expiration."
Okta Identity Governance,okta-oig,JML,NATIVE,"Built on Lifecycle Management plus Workflows; auto-provisions new hires to birthright apps and automates lifecycle tasks; vendor docs: ""Automatically provision new employees to birthright apps based on their user profile attributes.""",https://help.okta.com/en-us/content/topics/identity-governance/iga.htm,okta-oig-lifecycle,"Lifecycle Management helps you manage users, groups (and group owners), apps, rules, assignments, and other attributes associated with these."
Okta Identity Governance,okta-oig,Certification,NATIVE,"Access certifications confirm users still need access, enriched with usage context; vendor docs: ""Make access certification more meaningful with the contextual information, such as sign-in frequency...""",https://help.okta.com/en-us/content/topics/identity-governance/iga-overview.htm,okta-oig-certification,"Make access certification more meaningful with the contextual information, such as sign-in frequency, a resource's last accessed date, and more."
Okta Identity Governance,okta-oig,SoD,PARTIAL,"First-party SoD exists (so not pure ADD-ON) but vendor docs constrain it to entitlement combinations on apps with the Governance Engine enabled, enforced through Access Requests / Certifications rather than a standalone cross-app engine; realistic enterprise verdict trends toward ADD-ON where ERP-grade fine-grained SoD is in scope. Quote uses an en-dash: ""a two-pronged approach to manage conflicting entitlement assignments – preventative and remediative.""",https://help.okta.com/oie/en-us/content/topics/identity-governance/sd/separation-of-duties.htm,okta-oig-sod;okta-oig-sod-approach,"With SOD rules, you can adopt a two-pronged approach to manage conflicting entitlement assignments – preventative and remediative. Use Access Requests and Access Certifications to control which combinations of entitlements users are allowed to possess."
Okta Identity Governance,okta-oig,Role/Request,NATIVE,"Self-service access requests evaluate who receives access and approval flows protect sensitive resources; vendor docs: ""Okta Identity Governance uses automated, self-service requests to evaluate who receives access to resources.""",https://help.okta.com/en-us/content/topics/identity-governance/iga-overview.htm,okta-oig-request,"Okta Identity Governance uses automated, self-service requests to evaluate who receives access to resources. Approval flows provide security for your most sensitive data and tools."
Omada Identity,omada,JML,NATIVE,"First-party joiner-mover-leaver lifecycle drives onboard/change/offboard provisioning from authoritative sources; vendor docs: ""The processes under the Identity Lifecycle Management process area are known as the joiner-mover-leaver processes.""",https://omadaidentity.com/products/functionality/lifecycle-management/,omada-lifecycle-management,The processes under the Identity Lifecycle Management process area are known as the joiner-mover-leaver processes.
Omada Identity,omada,Certification,NATIVE,"Scheduled certification campaigns periodically re-validate access, policies, roles and master data; vendor docs: ""Certification campaigns (also known as review, attestation, and recertification) are used to periodically verify that access rights, policies, role definitions and Master Data in the system are valid.""",https://documentation.omadaidentity.com/docs/identityprocess/governance/,omada-certification-campaigns,"Certification campaigns (also known as review, attestation, and recertification) are used to periodically verify that access rights, policies, role definitions and Master Data in the system are valid."
Omada Identity,omada,SoD,NATIVE,"First-party SoD module defines toxic-combination policies and detects violations, with violation approval requiring a justification and a compensating control; vendor docs: ""The Segregation of Duties (SoD) module is used to define policies for toxic combinations of access rights.""",https://documentation.omadaidentity.com/productwalkthrough/IGA-scenarios/policy-and-role-management/,omada-sod-module;omada-sod-violation,The Segregation of Duties (SoD) module is used to define policies for toxic combinations of access rights.
Omada Identity,omada,Role/Request,NATIVE,"Role model assigns birthright/organizational/functional roles, with self-service access request layered on top and SoD policies checked at request time; vendor docs: ""Special entitlements and roles can also be added using the self-service access request process.""",https://documentation.omadaidentity.com/productwalkthrough/IGA-scenarios/policy-and-role-management/,omada-role-management;omada-access-request,Special entitlements and roles can also be added using the self-service access request process.
ConductorOne,conductorone,JML,PARTIAL,"Newer ILM module automates joiner/mover/leaver and birthright provisioning off HRIS, but lifecycle is a recent addition built on its access-control core rather than a mature first-party JML engine — graded PARTIAL honestly; vendor copy: ""When roles and attributes change, access changes. Automatically revoke unneeded access and provision new entitlements in response to transfers, promotions, and leave.""",https://www.c1.ai/solutions/identity-lifecycle-management/,conductorone-ilm,"When roles and attributes change, access changes. Automatically revoke unneeded access and provision new entitlements in response to transfers, promotions, and leave."
ConductorOne,conductorone,Certification,NATIVE,"Access Reviews is a core first-party product: scopes campaigns by app/role/department/risk, auto-routes reviewers, executes revocations and provisions changes in real time; vendor copy: ""Approved changes provision automatically. Revocations execute in real time.""",https://www.c1.ai/products/access-reviews/,conductorone-access-reviews,Approved changes provision automatically. Revocations execute in real time.
ConductorOne,conductorone,SoD,PARTIAL,"First-party SoD exists as the Access Conflicts policy (detect-and-notify), framed as a platform extension and entitlement-set toxic-combination detection — not an ERP-grade fine-grained SoX engine; trends ADD-ON where deep ERP SoD is in scope; vendor copy: ""C1 automatically and continuously tracks, detects, and notifies users of SoD policy violations.""",https://www.c1.ai/news/press-release/conductorone-extends-next-gen-iga-platform-with-separation-of-duties-policy-automation/,conductorone-sod-access-conflicts,"C1 automatically and continuously tracks, detects, and notifies users of SoD policy violations."
ConductorOne,conductorone,Role/Request,NATIVE,"Self-service access requests with policy-driven approval, JIT and time-bound access are the platform's flagship capability; vendor copy: ""Replace standing privileged access with automated just-in-time (JIT) access to any app or permission.""",https://www.c1.ai/products/access-requests/,conductorone-access-requests;conductorone-jit,Replace standing privileged access with automated just-in-time (JIT) access to any app or permission.
