framework_slug,framework_role,control_code,control_short_title,uc_ids,nhi_ids,maturity_level,evidence_url,evidence_quote,citation_keys,evidence_item_ids,quote_type
asd-ism,BACK-MAP,ISM-1173,Multi-factor authentication — privileged users,UC-P-007,PID-001;PID-007;PID-010;PID-013;PID-014;PID-015;PID-016,N/A,https://www.cyber.gov.au/resources-business-and-government/essential-cybersecurity/ism/cyber-security-guidelines/guidelines-system-hardening,Multi-factor authentication is used to authenticate all privileged users and any other positions of trust,asd-ism-2024;asd-ism-ia-2025,,verbatim
asd-ism,BACK-MAP,ISM-1247,Hardening server application configurations,UC-P-004;UC-P-010;UC-P-012;UC-P-014,PID-001;PID-003;PID-007;PID-010;PID-014;PID-019;PID-004;PID-011;PID-020;PID-005;PID-015;PID-016,N/A,https://www.cyber.gov.au/resources-business-and-government/essential-cybersecurity/ism/cyber-security-guidelines/guidelines-system-hardening,"Unneeded user accounts, components, services and functionality of server applications are disabled or removed",asd-ism-2024;asd-ism-system-hardening-2025,,verbatim
asd-ism,BACK-MAP,ISM-1304,Default user accounts and credentials for network/OT devices,UC-P-001;UC-P-002;UC-P-003;UC-P-004;UC-P-005;UC-P-008;UC-P-009;UC-P-010;UC-P-011;UC-P-012;UC-P-015;UC-P-016,PID-001;PID-002;PID-003;PID-004;PID-005;PID-006;PID-008;PID-009;PID-012;PID-016;PID-015;PID-018;PID-014;PID-007;PID-010;PID-019;PID-013;PID-017;PID-011;PID-020,N/A,https://www.cyber.gov.au/resources-business-and-government/essential-cybersecurity/ism/cyber-security-guidelines/guidelines-communications-infrastructure,"Default user accounts or credentials for network devices, including for any pre-configured user accounts, are changed, disabled or removed",asd-ism-2024;asd-ism-comms-2025,EV-PAM-CRED-ELIM-REGISTER,verbatim
asd-ism,BACK-MAP,ISM-1405,Centralised event logging facility,UC-P-003;UC-P-015;UC-P-016;UC-P-019,PID-001;PID-003;PID-004;PID-008;PID-009;PID-014;PID-015;PID-018;PID-007;PID-013;PID-016;PID-002;PID-012;PID-021,N/A,https://www.cyber.gov.au/resources-business-and-government/essential-cybersecurity/ism/cyber-security-guidelines/guidelines-cyber-security-incidents,A centralised event logging facility is implemented,asd-ism-2024;asd-ism-incidents-2025,EV-PAM-CENTRAL-SESSION-LOG;EV-PAM-HIGHRISK-CMD-FLAGGING,verbatim
asd-ism,BACK-MAP,ISM-1504,Multi-factor authentication — online services,UC-P-007,PID-001;PID-007;PID-010;PID-013;PID-014;PID-015;PID-016,N/A,https://www.cyber.gov.au/resources-business-and-government/essential-cybersecurity/ism/cyber-security-guidelines/guidelines-system-hardening,"Multi-factor authentication is used to authenticate users to their organisation's online services that process, store or communicate their organisation's sensitive data",asd-ism-2024;asd-ism-ia-2025,,verbatim
asd-ism,BACK-MAP,ISM-1619,Setting/resetting credentials for service accounts (gMSA),UC-P-001;UC-P-006;UC-P-012;UC-P-013,PID-001;PID-002;PID-003;PID-004;PID-005;PID-006;PID-008;PID-009;PID-012;PID-016;PID-011;PID-007;PID-019;PID-020,N/A,https://www.cyber.gov.au/resources-business-and-government/essential-cybersecurity/ism/cyber-security-guidelines/guidelines-system-hardening,Service accounts are created as group Managed Service Accounts,acsc-e8-ism-mapping-2023;asd-ism-ia-2025,EV-PAM-SVCACCT-MANAGED;EV-PAM-VAULT-ROTATION-POLICY;EV-PAM-ROTATION-FAILURE-ALERT,verbatim
asd-ism,BACK-MAP,ISM-1898,Secure Admin Workstations for administrative activities,UC-P-018,PID-001;PID-003;PID-008;PID-009;PID-016,N/A,https://www.cyber.gov.au/resources-business-and-government/essential-cybersecurity/ism/cyber-security-guidelines/guidelines-system-management,Secure Admin Workstations are used in the performance of administrative activities.,asd-ism-2024;asd-ism-sysmgmt-2025,EV-PAM-SAW-INVENTORY,verbatim
asd-ism,BACK-MAP,ISM-1380,Separate privileged and unprivileged operating environments,UC-P-018,PID-001;PID-003;PID-008;PID-009;PID-016,N/A,https://www.cyber.gov.au/resources-business-and-government/essential-cybersecurity/ism/cyber-security-guidelines/guidelines-system-management,Privileged users use separate privileged and unprivileged operating environments.,asd-ism-2024;asd-ism-sysmgmt-2025,EV-PAM-SAW-INVENTORY,verbatim
asd-ism,BACK-MAP,ISM-1175,Privileged accounts prevented from internet/email/web access,UC-P-018,PID-001;PID-003;PID-008;PID-009;PID-016,N/A,https://www.cyber.gov.au/resources-business-and-government/essential-cybersecurity/ism/cyber-security-guidelines/guidelines-personnel-security,"Privileged user accounts (excluding those explicitly authorised to access online services) are prevented from accessing the internet, email and web services.",asd-ism-2024;asd-ism-personnel-2025,EV-PAM-SAW-ACCESS-BLOCK,verbatim
essential-8,PRIMARY-LENS,E8-MFA-ML2,Multi-factor authentication — privileged users + workload mTLS analogue,UC-P-007,PID-001;PID-007;PID-010;PID-013;PID-014;PID-015;PID-016,ML2,https://www.cyber.gov.au/business-government/asds-cyber-security-frameworks/essential-eight/essential-eight-maturity-model,Multi-factor authentication is used to authenticate privileged users of systems.,acsc-e8-2023,,verbatim
essential-8,PRIMARY-LENS,E8-RAP-BREAKGLASS,Restrict admin privileges — break-glass account management,UC-P-008,PID-001;PID-007;PID-013;PID-016,ML3,https://www.cyber.gov.au/business-government/asds-cyber-security-frameworks/essential-eight/essential-eight-maturity-model-changes,"Credentials for break glass accounts are long, unique, unpredictable and managed.",acsc-e8-changes-nov2023,,verbatim
essential-8,PRIMARY-LENS,E8-RAP-LOG,Restrict admin privileges — central event logging,UC-P-003;UC-P-015;UC-P-016;UC-P-019,PID-001;PID-003;PID-004;PID-008;PID-009;PID-014;PID-015;PID-018;PID-007;PID-013;PID-016;PID-002;PID-012;PID-021,ML2,https://www.cyber.gov.au/business-government/asds-cyber-security-frameworks/essential-eight/essential-eight-maturity-model,Privileged access events are centrally logged and protected from unauthorised modification and deletion.,acsc-e8-2023,EV-PAM-LOG-TAMPER-EVIDENT,verbatim
essential-8,PRIMARY-LENS,E8-RAP-ML1,Restrict admin privileges — least-privilege baseline,UC-P-005,PID-001;PID-002;PID-003;PID-005;PID-007;PID-008;PID-010;PID-012;PID-015,ML1,https://www.cyber.gov.au/business-government/asds-cyber-security-frameworks/essential-eight/essential-eight-maturity-model,Requests for privileged access to systems and applications are validated when first requested.,acsc-e8-2023;acsc-e8-mm-nov2023,,verbatim
essential-8,PRIMARY-LENS,E8-RAP-ML2,Restrict admin privileges — separation + JIT,UC-P-001;UC-P-002;UC-P-009;UC-P-010;UC-P-011;UC-P-012;UC-P-014;UC-P-018,PID-001;PID-002;PID-003;PID-004;PID-005;PID-006;PID-008;PID-009;PID-012;PID-016;PID-015;PID-018;PID-014;PID-007;PID-019;PID-017;PID-011;PID-020;PID-010,ML2,https://www.cyber.gov.au/business-government/asds-cyber-security-frameworks/essential-eight/essential-eight-maturity-model,"Privileged accounts (excluding privileged service accounts) are prevented from accessing the internet, email and web services.",acsc-e8-2023;acsc-e8-mm-nov2023,EV-PAM-PRIV-SEPARATION;EV-PAM-JIT-GRANTS,verbatim
essential-8,PRIMARY-LENS,E8-RAP-ML3,Restrict admin privileges — Secure Admin Workstations + just-in-time,UC-P-004;UC-P-018;UC-P-020,PID-001;PID-003;PID-007;PID-010;PID-014;PID-019;PID-008;PID-009;PID-016;PID-021,ML3,https://www.cyber.gov.au/business-government/asds-cyber-security-frameworks/essential-eight/essential-eight-maturity-model-changes,Secure Admin Workstations are used in the performance of administrative activities.,acsc-e8-2023;acsc-e8-changes-nov2023,EV-PAM-SAW-INVENTORY,verbatim
essential-8,PRIMARY-LENS,E8-RAP-SVC,Restrict admin privileges — service-account credential hygiene,UC-P-006;UC-P-013,PID-005;PID-006;PID-011;PID-016;PID-019;PID-020,ML2,https://www.cyber.gov.au/business-government/asds-cyber-security-frameworks/essential-eight/essential-eight-maturity-model-changes,"Credentials for local administrator accounts and service accounts are long, unique, unpredictable and managed.",acsc-e8-changes-nov2023,,verbatim
essential-8,PRIMARY-LENS,E8-RB-ML2,Regular backups — backup-administrator separation,UC-P-017,PID-013;PID-016;PID-017,ML2,https://www.cyber.gov.au/business-government/asds-cyber-security-frameworks/essential-eight/essential-eight-maturity-model,Unprivileged accounts cannot access backups belonging to other accounts; only backup administrators can modify backup sets.,acsc-e8-2023,,verbatim
apra-cps-234,BACK-MAP,CPS234-§15,Information-security capability commensurate with threats,UC-P-006;UC-P-013,PID-005;PID-006;PID-011;PID-016;PID-019;PID-020,Paragraph-15,https://www.apra.gov.au/sites/default/files/cps_234_july_2019_for_public_release.pdf,Maintain an information security capability commensurate with the size and extent of threats to its information assets.,apra-cps-234-2019,,verbatim
apra-cps-234,BACK-MAP,CPS234-§16,Assess third-party information-security capability,UC-P-011,PID-008;PID-009;PID-015;PID-017,Paragraph-16,https://www.apra.gov.au/sites/default/files/cps_234_july_2019_for_public_release.pdf,The APRA-regulated entity must assess the information security capability of that party.,apra-cps-234-2019,,verbatim
