vendor_slug,vendor_name,target_id,target_type,coverage,maturity,evidence_url,evidence_quote,citation_keys,notes
1password-secrets-automation,1Password Secrets Automation,NHI-001,NHI,ADD-ON,2,https://developer.1password.com/docs/service-accounts,"Service accounts can't access your built-in Personal, Private, or Employee vault.",1password-sa-docs-2024,CLI/SDK injects static cloud API keys; no native OIDC-based JIT credential issuance
1password-secrets-automation,1Password Secrets Automation,NHI-002,NHI,NATIVE,3,https://developer.1password.com/docs/k8s,"Kubernetes Operator integrates Kubernetes Secrets with 1Password with one or more Connect servers or service accounts.",1password-k8s-docs-2024,Operator creates K8s Secrets + auto-restarts; Injector does mutating-webhook env-var injection
1password-secrets-automation,1Password Secrets Automation,NHI-003,NHI,NATIVE,3,https://developer.1password.com/docs/cli/secret-references,"Use op run to pass secrets as environment variables into a process at runtime.",1password-cli-docs-2024;1password-secret-refs-2024,op:// references and op run inject secrets into CI/CD pipelines without persisting plaintext
1password-secrets-automation,1Password Secrets Automation,NHI-004,NHI,ADD-ON,2,https://developer.1password.com/docs/k8s/k8s-operator,"Create Kubernetes Secrets from 1Password items and load them into Kubernetes deployments.",1password-k8s-op-docs-2024,Pull-secret values stored as KV items and injected; no per-workload issuance engine
1password-secrets-automation,1Password Secrets Automation,NHI-005,NHI,ADD-ON,1,https://developer.1password.com/docs/service-accounts,"Use a service account if you want a token-based authentication method that isn't associated with an individual account.",1password-sa-docs-2024,Static DB creds stored; no dynamic DB secrets engine with TTL leases
1password-secrets-automation,1Password Secrets Automation,NHI-006,NHI,GAP,0,https://developer.1password.com/docs/secrets-automation,,1password-sa-docs-2024,No PKI/CA engine; no cert issuance or TLS lifecycle management documented
1password-secrets-automation,1Password Secrets Automation,NHI-007,NHI,NATIVE,3,https://developer.1password.com/docs/cli/secret-references,"Configuration files that use secret references instead of plaintext secrets can be safely checked into Git.",1password-secret-refs-2024;1password-cli-docs-2024,Core use case; API keys stored in vaults and injected via CLI/SDK/Connect
1password-secrets-automation,1Password Secrets Automation,NHI-008,NHI,NATIVE,3,https://developer.1password.com/docs/ssh,"1Password SSH agent integration and PAT storage with op:// references in CI pipelines.",1password-ssh-docs-2024,Native SSH agent + PAT storage; full op:// support in CI
1password-secrets-automation,1Password Secrets Automation,NHI-009,NHI,NATIVE,3,https://developer.1password.com/docs/terraform,"Use the 1Password Terraform provider to manage 1Password items and inject secrets at apply-time.",1password-tf-docs-2024,Terraform provider + Ansible collection inject secrets without persisting in state files
1password-secrets-automation,1Password Secrets Automation,NHI-010,NHI,ADD-ON,2,https://developer.1password.com/docs/cli/get-started,"Use 1Password CLI to inject secrets as environment variables at runtime.",1password-cli-getstarted-2024,Monitoring creds stored as static secrets and injected via CLI; no dedicated SIEM path
