vendor_slug,vendor_name,target_id,target_type,coverage,maturity,evidence_url,evidence_quote,citation_keys,notes
astrix-security,Astrix Security,NHI-001,NHI,NATIVE,4,https://astrix.security/product/discover-non-human-identities/,"Automatically discover every service account, token, secret and AI Agent across SaaS, cloud, on-prem and secret managers",astrix-nhi-discover-2026,AWS/Azure/GCP IAM roles discovered and risk-scored; managed identities in scope
astrix-security,Astrix Security,NHI-002,NHI,NATIVE,3,https://astrix.security/product/,"Service accounts and machine credentials across Kubernetes",astrix-nhi-platform-2026,K8s listed as connector; projected SA tokens discoverable; no CSI driver
astrix-security,Astrix Security,NHI-003,NHI,NATIVE,3,https://astrix.security/product/discover-non-human-identities/,"correlates data across cloud, SaaS, on-prem, databases, Vaults, CI/CD, and AI platforms",astrix-nhi-discover-2026,"GitHub PATs, secrets, OAuth apps in CI scope; no OIDC token issuance"
astrix-security,Astrix Security,NHI-004,NHI,ADD-ON,2,https://astrix.security/product/,Secrets across vault systems and cloud registry service accounts,astrix-nhi-platform-2026,Image-pull creds discoverable via cloud-registry service-account inventory; not brokered
astrix-security,Astrix Security,NHI-005,NHI,NATIVE,3,https://astrix.security/product/discover-non-human-identities/,"Automatically discover every service account, token, secret and AI Agent across SaaS, cloud",astrix-nhi-discover-2026,Snowflake and Databricks integrations; DB service accounts inventoried
astrix-security,Astrix Security,NHI-006,NHI,GAP,0,,,,"No X.509/SPIFFE/mTLS certificate lifecycle found; purely NHI-discovery focus"
astrix-security,Astrix Security,NHI-007,NHI,NATIVE,4,https://astrix.security/use-cases/third-party-risk/,"20% of vendors behind marketplace apps are untrustworthy",astrix-third-party-risk-2026,Core differentiator: SaaS-to-SaaS OAuth apps; API keys; vendor risk scoring; stale token revocation
astrix-security,Astrix Security,NHI-008,NHI,NATIVE,4,https://astrix.security/product/discover-non-human-identities/,"OAuth apps, API keys, tokens, webhooks, service accounts, IAM roles, service principals, secrets, managed service accounts, managed identities, and storage accounts",astrix-nhi-discover-2026,GitHub PATs and deploy keys in-scope; supply-chain attack blog published
astrix-security,Astrix Security,NHI-009,NHI,ADD-ON,2,https://astrix.security/use-cases/secret-management/,Identify unvaulted secrets and move them to centralized vaults,astrix-secret-management-2026,Secrets in cloud env discovered; no explicit Terraform/Ansible agent identity path
astrix-security,Astrix Security,NHI-010,NHI,ADD-ON,2,https://astrix.security/product/,Secrets across vault systems and cloud environments,astrix-nhi-platform-2026,Observability agent API keys discoverable via cloud integration; no dedicated path
