vendor_slug,vendor_name,target_id,target_type,coverage,maturity,evidence_url,evidence_quote,citation_keys,notes
netwrix-privilege-secure,Netwrix Privilege Secure,UC-P-001,UC-F,NATIVE,3,https://www.netwrix.com/privilege_secure_for_access_management.html,"Netwrix supports vault integration for PAM with a flexible Bring Your Own Vault approach.",netwrix-ps-accessmgmt-2025,"PASS-2 re-encode PARTIAL->NATIVE/3. ZSP-first design, not vault-first. For accounts that must persist it rotates the credential on schedule/post-checkout/event-driven and disables the account when idle; otherwise it eliminates the standing credential entirely via ephemeral Activity Tokens. Native broker optional + BYOV. Maturity 3 because full-estate vaulting/rotation is not the primary model (vault is integrate-or-broker), unlike a vault-centric L1 suite."
netwrix-privilege-secure,Netwrix Privilege Secure,UC-P-002,UC-F,NATIVE,4,https://docs.netwrix.com/docs/privilegesecure/25_12/gettingstarted,"connection policies include details on how to access the proxy, how long sessions last and whether users can extend them",netwrix-ps-docs-2512,"Sessions brokered through a proxy/Remote Access Gateway with credential injection; VPN-less browser-based access; target secret not exposed to operator endpoint. Ephemeral account created per session and destroyed at end."
netwrix-privilege-secure,Netwrix Privilege Secure,UC-P-003,UC-F,NATIVE,4,https://www.netwrix.com/privilege_secure_for_access_management.html,"With privileged session recording, every administrator action is logged with searchable video playback.",netwrix-ps-accessmgmt-2025,"Strong native session recording: searchable logs + video playback, real-time monitoring with instant intervention and audit trails. Keystroke/command capture documented for vendor sessions too."
netwrix-privilege-secure,Netwrix Privilege Secure,UC-P-004,UC-F,NATIVE,5,https://www.netwrix.com/privilege_secure.html,"Unlike other band-aid solutions that simply vault your privileged credentials, Netwrix Privilege Secure removes your lateral movement attack surface by orchestrating privilege just-in-time when you need it and removing privilege when not in use.",netwrix-ps-product-2025,"Flagship strength (Remediant heritage). Ephemeral Activity Token accounts created only when approved and destroyed at session end; standing domain-admin eliminated. True ZSP model, not time-bound membership on a standing account."
netwrix-privilege-secure,Netwrix Privilege Secure,UC-P-005,UC-F,NATIVE,5,https://www.netwrix.com/privilege_secure_for_discovery.html,"Scan thousands of endpoints in minutes without agents to uncover every privileged account.",netwrix-ps-discovery-2025,"Agentless continuous discovery across on-prem AD, local machines, cloud identities (AWS/Azure/GCP), service accounts and machine identities; real-time visibility into standing admin rights. Core strength."
netwrix-privilege-secure,Netwrix Privilege Secure,UC-P-006,UC-F,GAP,0,,,,"PASS-2 REFUTED -> GAP, citation dropped. The PASS-1 cited quote ('Integrate PAM for access management with your existing tools or use Netwrix as the broker.') does NOT appear on the cited page; the closest verbatim ('Integrate with existing tools using our Bring Your Own Vault approach to avoid rip and replace.') supports vault-integration, NOT a dedicated A2A/application credential broker. Netwrix does not market a dedicated A2A/DevOps secrets-broker product line comparable to CyberArk Conjur / BeyondTrust DevOps Secrets Safe. A2A stays GAP."
netwrix-privilege-secure,Netwrix Privilege Secure,UC-P-007,UC-F,NATIVE,4,https://docs.netwrix.com/docs/privilegesecure/25_12/gettingstarted,"Privilege Secure requires a multi-factor authentication (MFA) solution (Authenticator, DUO, Symantec VIP, etc.)",netwrix-ps-docs-2512,"MFA enforced at the access/elevation point; VPN-less browser access verified with MFA. Integrates external MFA providers (Duo, Symantec VIP, authenticator apps). Phishing-resistant FIDO2 not explicitly documented as native."
netwrix-privilege-secure,Netwrix Privilege Secure,UC-P-008,UC-F,NATIVE,2,https://www.netwrix.com/privilege_secure.html,"Create access only when approved, remove it immediately after use, and shrink your attack surface with Zero Standing Privilege",netwrix-ps-product-2025,"PASS-2 re-encode PARTIAL->NATIVE/2. Approval-gated JIT grants provide an emergency-access path, but no dedicated sealed/dual-control break-glass design with alert-on-use + auto post-use rotation is documented as a first-class feature. Maturity 2. [GAP-LEANING: no break-glass product page found]"
netwrix-privilege-secure,Netwrix Privilege Secure,UC-P-009,UC-F,ADD-ON,3,https://netwrix.com/en/products/privilege-secure/endpoint-privilege-manager-solution/,"Give users rights only for approved apps, installers, and processes. Block malware and unauthorized software by default.",netwrix-epm-2025,"Endpoint Privilege Manager (formerly Least Privilege Manager; sits under the Endpoint Policy Manager docs tree) removes local-admin rights on Windows/macOS with per-app elevation and allowlisting. Separate module from the Privilege Secure JIT/session core -> ADD-ON. No native Linux endpoint privilege agent documented."
netwrix-privilege-secure,Netwrix Privilege Secure,UC-P-010,UC-F,NATIVE,4,https://netwrix.com/en/solutions/continuous-discovery-and-cleanup/,"Create policies that trigger de-provisioning of unused accounts, removal of inactive rights, or review of orphaned privileged identities.",netwrix-ps-discovery-cleanup-2025,"Continuous-cleanup model enforces least privilege by removing standing/inactive rights; ZSP inherently right-sizes (zero baseline + JIT grant). Entitlement-usage analytics lighter than CIEM-grade right-sizing tools -> 4 not 5."
