framework_slug,framework_role,control_code,control_short_title,uc_ids,nhi_ids,maturity_level,evidence_url,evidence_quote,citation_keys,quote_type
essential-8,PRIMARY-LENS,E8-RAP-ML1,Restrict admin privileges — least-privilege baseline,UC-F-003;UC-F-005;UC-F-013;UC-F-021;UC-N-002;UC-N-009;UC-N-010,NHI-001;NHI-005;NHI-012;NHI-024;NHI-026;NHI-029;NHI-035,ML1,https://www.cyber.gov.au/business-government/asds-cyber-security-frameworks/essential-eight/essential-eight-maturity-model,"Requests for privileged access to systems, applications and data repositories are validated when first requested.",acsc-e8-2023;acsc-e8-mm-nov2023,verbatim
essential-8,PRIMARY-LENS,E8-RAP-ML2,Restrict admin privileges — separation + JIT,UC-F-003;UC-F-005;UC-F-006;UC-F-007;UC-F-013;UC-F-015;UC-F-020;UC-F-021;UC-F-026;UC-N-002;UC-N-009;UC-N-010,NHI-001;NHI-005;NHI-012;NHI-014;NHI-022;NHI-024;NHI-026;NHI-029;NHI-035,ML2,https://www.cyber.gov.au/business-government/asds-cyber-security-frameworks/essential-eight/essential-eight-maturity-model,"Privileged user accounts (excluding those explicitly authorised to access online services) are prevented from accessing the internet, email and web services.",acsc-e8-2023;acsc-e8-mm-nov2023,verbatim
essential-8,PRIMARY-LENS,E8-RAP-ML3,Restrict admin privileges — Secure Admin Workstations + just-in-time,UC-F-003;UC-F-007;UC-F-016;UC-F-020;UC-F-021;UC-F-026;UC-F-027;UC-N-009;UC-N-010;UC-N-011,NHI-001;NHI-012;NHI-022;NHI-024;NHI-025;NHI-026;NHI-035;NHI-037,ML3,https://www.cyber.gov.au/business-government/asds-cyber-security-frameworks/essential-eight/essential-eight-maturity-model-changes,"Secure Admin Workstations are used in the performance of administrative activities.",acsc-e8-2023;acsc-e8-changes-nov2023,verbatim
essential-8,PRIMARY-LENS,E8-RAP-SVC,Restrict admin privileges — service-account credential hygiene,UC-F-006;UC-F-013;UC-F-020;UC-F-023;UC-F-026;UC-F-027;UC-N-002;UC-N-003;UC-N-009,NHI-001;NHI-005;NHI-007;NHI-012;NHI-022;NHI-026;NHI-029;NHI-032;NHI-035;NHI-037,ML2,https://www.cyber.gov.au/business-government/asds-cyber-security-frameworks/essential-eight/essential-eight-maturity-model,"Credentials for break glass accounts, local administrator accounts and service accounts are long, unique, unpredictable and managed.",acsc-e8-2023,verbatim
essential-8,PRIMARY-LENS,E8-RAP-BREAKGLASS,Restrict admin privileges — break-glass account management,UC-F-007;UC-F-026;UC-N-009;UC-N-010,NHI-024;NHI-025;NHI-035;NHI-026,ML3,https://www.cyber.gov.au/business-government/asds-cyber-security-frameworks/essential-eight/essential-eight-maturity-model,"Credentials for break glass accounts, local administrator accounts and service accounts are long, unique, unpredictable and managed.",acsc-e8-2023,verbatim
essential-8,PRIMARY-LENS,E8-RAP-LOG,Restrict admin privileges — central event logging,UC-N-001;UC-N-011;UC-N-017;UC-F-007;UC-N-019,NHI-001;NHI-024;NHI-035;NHI-037,ML2,https://www.cyber.gov.au/business-government/asds-cyber-security-frameworks/essential-eight/essential-eight-maturity-model,"Privileged access events are centrally logged.",acsc-e8-2023,verbatim
essential-8,PRIMARY-LENS,E8-MFA-ML1,Multi-factor authentication — internet-facing & online services,UC-F-003;UC-F-015;UC-F-024;UC-F-025,NHI-003;NHI-007;NHI-014;NHI-028;NHI-030,ML1,https://www.cyber.gov.au/business-government/asds-cyber-security-frameworks/essential-eight/essential-eight-maturity-model,"Multi-factor authentication is used to authenticate users to their organisation's online services that process, store or communicate their organisation's sensitive data.",acsc-e8-2023,verbatim
essential-8,PRIMARY-LENS,E8-MFA-ML2,Multi-factor authentication — privileged users + workload mTLS analogue,UC-F-003;UC-F-004;UC-F-006;UC-F-013;UC-F-014;UC-F-015;UC-F-024;UC-F-026,NHI-001;NHI-006;NHI-012;NHI-013;NHI-024;NHI-028;NHI-029;NHI-036,ML2,https://www.cyber.gov.au/business-government/asds-cyber-security-frameworks/essential-eight/essential-eight-maturity-model,"Multi-factor authentication is used to authenticate privileged users of systems.",acsc-e8-2023,verbatim
essential-8,PRIMARY-LENS,E8-MFA-ML3,Multi-factor authentication — phishing-resistant for high-value access,UC-F-004;UC-F-007;UC-F-017;UC-F-018;UC-F-024;UC-F-026;UC-N-010,NHI-006;NHI-018;NHI-019;NHI-024;NHI-028;NHI-035;NHI-036,ML3,https://www.cyber.gov.au/business-government/asds-cyber-security-frameworks/essential-eight/essential-eight-maturity-model,"Multi-factor authentication used for authenticating users of systems is phishing-resistant.",acsc-e8-2023,verbatim
essential-8,PRIMARY-LENS,E8-MFA-WORKLOAD,Multi-factor authentication — machine-to-machine analogue (mTLS + attestation),UC-F-003;UC-F-004;UC-F-014;UC-F-017;UC-F-018;UC-F-019;UC-F-024;UC-F-026;UC-F-028,NHI-002;NHI-006;NHI-017;NHI-018;NHI-021;NHI-028;NHI-036;NHI-019,ML2,https://www.cyber.gov.au/business-government/asds-cyber-security-frameworks/essential-eight/essential-eight-maturity-model,"Multi-factor authentication uses either: something users have and something users know, or something users have that is unlocked by something users know or are.",acsc-e8-2023,verbatim
