vendor_slug,vendor_name,target_id,target_type,coverage,maturity,evidence_url,evidence_quote,citation_keys,notes
hashicorp-vault-enterprise,HashiCorp Vault Enterprise,NHI-001,NHI,NATIVE,4,https://developer.hashicorp.com/vault/docs/auth,"Auth methods: AWS IAM, Azure, GCP auth + dynamic creds engines provide full cloud IAM coverage",hashicorp-vault-auth-2024,Covers AWS IAM + EC2 auth; Azure managed identity; GCP IAM — all GA
hashicorp-vault-enterprise,HashiCorp Vault Enterprise,NHI-002,NHI,NATIVE,4,https://developer.hashicorp.com/vault/docs/auth/kubernetes,"The kubernetes auth method can be used to authenticate with Vault using a Kubernetes Service Account Token",hashicorp-vault-k8s-2024,Agent Injector + CSI driver + K8s auth — full K8s lifecycle coverage
hashicorp-vault-enterprise,HashiCorp Vault Enterprise,NHI-003,NHI,NATIVE,4,https://developer.hashicorp.com/vault/docs/auth/jwt,"JWT/OIDC auth supports GitHub Actions OIDC, GitLab OIDC, Azure DevOps OIDC federation",hashicorp-vault-jwt-2024,CI/CD OIDC federation to Vault is GA and well-documented
hashicorp-vault-enterprise,HashiCorp Vault Enterprise,NHI-004,NHI,ADD-ON,2,https://developer.hashicorp.com/vault/docs/platform/k8s/injector,"The injector renders Vault secrets to a shared memory volume, allowing containers to access secrets",hashicorp-vault-agent-injector-2024,KV v2 + Agent Injector can deliver registry creds; no native ECR/ACR dynamic engine
hashicorp-vault-enterprise,HashiCorp Vault Enterprise,NHI-005,NHI,NATIVE,4,https://developer.hashicorp.com/vault/docs/secrets/databases,"All databases support dynamic roles and static roles. All plugins except MongoDB Atlas support rotating root credentials",hashicorp-vault-db-2024,"13+ DB plugins: Oracle, MSSQL, PostgreSQL, MySQL, Snowflake, MongoDB, Cassandra, Redis, Elasticsearch, Redshift"
hashicorp-vault-enterprise,HashiCorp Vault Enterprise,NHI-006,NHI,NATIVE,4,https://developer.hashicorp.com/vault/docs/secrets/pki,"The PKI secrets engine generates dynamic X.509 certificates enabling services to obtain certificates without manual processes",hashicorp-vault-pki-2024,Full PKI + ACME + SPIFFE SVIDs (ENT) + TLS cert auth
hashicorp-vault-enterprise,HashiCorp Vault Enterprise,NHI-007,NHI,NATIVE,3,https://developer.hashicorp.com/vault/docs/secrets/kv,"Deleted versions can be undeleted. To permanently remove a version's data, use the vault kv destroy command",hashicorp-vault-kv-2024,KV v2 versioned storage + scheduled rotation; no native SaaS-specific dynamic engines
hashicorp-vault-enterprise,HashiCorp Vault Enterprise,NHI-008,NHI,NATIVE,3,https://developer.hashicorp.com/vault/docs/secrets/ssh,"SSH secrets engine supports Signed SSH Certificates and One-time SSH Passwords for authentication",hashicorp-vault-ssh-2024,KV v2 + SSH CA signing; no native GitHub PAT dynamic engine
hashicorp-vault-enterprise,HashiCorp Vault Enterprise,NHI-009,NHI,NATIVE,4,https://developer.hashicorp.com/vault/docs/auth/approle,"The approle auth method allows machines or apps to authenticate with Vault-defined roles for automated workflows",hashicorp-vault-approle-2024,AppRole + Terraform Vault Provider + HCP Terraform integration — industry-leading IaC coverage
hashicorp-vault-enterprise,HashiCorp Vault Enterprise,NHI-010,NHI,NATIVE,3,https://developer.hashicorp.com/vault/docs/secrets/kv,"KV v2 supports configurable version retention, check-and-set, and soft-delete for credential management",hashicorp-vault-kv-2024,KV v2 + rotation policies cover monitoring agent creds; no native Datadog/Splunk dynamic engines
