vendor_slug,vendor_name,target_id,target_type,coverage,maturity,evidence_url,evidence_quote,citation_keys,notes
aembit,Aembit,NHI-001,NHI,NATIVE,4,https://docs.aembit.io/trust-and-credential-providers/,AWS STS / Azure Entra WIF / GCP WIF trust providers and credential issuance natively documented,aembit-trust-providers-2024;aembit-credential-providers-2024,Core attestation target; all major cloud IAM principals supported
aembit,Aembit,NHI-002,NHI,NATIVE,4,https://docs.aembit.io/user-guide/access-policies/trust-providers/kubernetes-service-account-trust-provider,Supports attestation of Client Workloads in a Kubernetes environment — EKS AKS GKE self-hosted,aembit-trust-providers-2024,Namespace/pod/service-account match rules; OIDC endpoint token validation
aembit,Aembit,NHI-003,NHI,NATIVE,3,https://docs.aembit.io/trust-and-credential-providers/,GitHub Actions OIDC and GitLab Job OIDC trust providers documented,aembit-trust-providers-2024,CI/CD workload attestation via OIDC; Terraform Cloud token also supported
aembit,Aembit,NHI-004,NHI,GAP,0,https://docs.aembit.io,,aembit-arch-2024,No container image-pull credential management documented
aembit,Aembit,NHI-005,NHI,NATIVE,3,https://aembit.io/case-study/snowflake-uses-aembit-to-secure-workload-access/,Aembit now handles the credentials required to access the Server Workload eliminating the need to manage them,aembit-snowflake-case-study-2024,PostgreSQL MySQL Snowflake Redis documented; JIT credential injection via Edge proxy
aembit,Aembit,NHI-006,NHI,NATIVE,3,https://docs.aembit.io/user-guide/access-policies/credential-providers/oauth-authorization-code,X.509-SVID and JWT-SVID credential providers documented as dedicated types with dynamic claims,aembit-credential-providers-2024,mTLS identity via X.509-SVID issuance; integrates with SPIRE-based deployments
aembit,Aembit,NHI-007,NHI,NATIVE,3,https://docs.aembit.io/user-guide/access-policies/credential-providers/oauth-authorization-code,OAuth 2.0 client credentials and Authorization Code credential providers; Atlassian GitLab Slack Google Workspace PagerDuty,aembit-credential-providers-2024,SaaS API key and OAuth client brokering; static API key replaced by JIT issuance
aembit,Aembit,NHI-008,NHI,ADD-ON,2,https://docs.aembit.io/user-guide/access-policies/credential-providers/oauth-authorization-code,GitLab account managed credential provider available,aembit-credential-providers-2024,GitLab managed only; GitHub PAT management not documented; SSH key management out of scope
aembit,Aembit,NHI-009,NHI,NATIVE,3,https://docs.aembit.io/trust-and-credential-providers/,Terraform Cloud Identity Token trust provider; Terraform provider for policy-as-code available,aembit-trust-providers-2024,IaC apply-time credential injection; Ansible/Pulumi not specifically documented
aembit,Aembit,NHI-010,NHI,GAP,0,https://docs.aembit.io,,aembit-arch-2024,No observability-agent-specific credential rotation; API key type available generically
aembit,Aembit,NHI-011,NHI,GAP,1,https://docs.aembit.io,,aembit-arch-2024,No Kafka/RabbitMQ/Service Bus integration documented; generic HTTP possible
aembit,Aembit,NHI-012,NHI,ADD-ON,2,https://aembit.io/blog/introducing-comprehensive-workload-identity-and-access-management-across-microsoft-environments/,Kerberos trust provider: cryptographically verify the identity of your Windows workloads joined to your domain,aembit-ms-environments-2025,Attests Windows/AD workloads; does not manage AD account passwords or gMSA lifecycle
aembit,Aembit,NHI-013,NHI,ADD-ON,2,https://docs.aembit.io/user-guide/access-policies/credential-providers/oauth-authorization-code,JWT and OAuth credential injection into HTTP(S) calls,aembit-credential-providers-2024,Generic JWT/OAuth upstream injection; no dedicated API-gateway connector
aembit,Aembit,NHI-014,NHI,GAP,0,https://docs.aembit.io,,aembit-arch-2024,No UiPath/Blue Prism/Automation Anywhere integration documented
aembit,Aembit,NHI-015,NHI,GAP,0,https://docs.aembit.io,,,Not in product scope
aembit,Aembit,NHI-016,NHI,GAP,0,https://docs.aembit.io,,,Not in product scope
aembit,Aembit,NHI-017,NHI,ADD-ON,2,https://aembit.io/blog/everyone-wants-spiffe-almost-no-one-can-afford-to-build-it-right/,We integrate with existing SPIRE implementations,aembit-spiffe-2025,Issues X.509-SVIDs; layers alongside SPIRE; does not manage SPIRE control-plane keys directly
aembit,Aembit,NHI-018,NHI,GAP,0,https://docs.aembit.io,,,No TEE/enclave attestation integration documented
