Summary,Work Item Type,Description,Priority,Labels,UC-ID,Domain,Regulatory-Driver,State
[GAP] Mover access recalculation on transfer,Task,"Transfers add new-role birthright access but prior-role entitlements are rarely revoked, so privilege creep accumulates across role changes with no manager reaffirmation step.",Highest,iga gap apra-cps-234 iso-27001-2022 nist-800-53r5,UC-I-002,iga,CPS234-§21; A.5.18; AC-2,GAP
[PARTIAL] Timely leaver de-provisioning within SLA,Task,Leaver de-provisioning runs on a nightly batch from the HR source so the same-day disablement expectation (ASD ISM-0430) is not consistently met for contractors and federated SaaS targets.,Highest,iga partial apra-cps-234 asd-ism nist-800-53r5,UC-I-003,iga,CPS234-§21; ISM-0430; AC-2,PARTIAL
[PARTIAL] Periodic access certification campaigns,Task,"Annual certification campaigns run on schedule and most items are decisioned, but no-decision items currently default to retain rather than revoke and revocation actioning often slips past SLA.",Highest,iga partial apra-cps-234 asd-ism iso-27001-2022,UC-I-005,iga,CPS234-§21; ISM-0407; A.5.18,PARTIAL
[PARTIAL] High-risk / privileged access certification sign-off,Task,"Privileged entitlements are flagged within the general campaign but lack a separate shorter cadence and a consistent named-owner sign-off, so the highest-impact access is not validated more often than ordinary access.",Highest,iga partial asd-ism iso-27001-2022 nist-800-53r5,UC-I-006,iga,ISM-0407; A.5.18; AC-6(7),PARTIAL
[GAP] Preventive SoD checks at access-request time,Task,"Access requests are not evaluated against the SoD ruleset before provisioning, so toxic combinations are only discovered later during detective scans rather than blocked at the source.",Highest,iga gap apra-cps-234 nist-800-53r5 sox,UC-I-008,iga,CPS234-§21; AC-5; PL 107-204 §103,GAP
[PARTIAL] SoD policy register & violation-management process,Task,"A versioned SoD ruleset with named owners exists for the SOX-relevant scope, but the violation-management workflow and time-bound exception re-attestation are only partly documented and applied.",Highest,iga partial apra-cps-234 nist-800-53r5 sox,UC-I-009,iga,CPS234-§14; AC-5; PL 107-204 §103,PARTIAL
[PARTIAL] Requestor-approver separation / self-approval prevention,Task,"The workflow blocks the trivial requester-equals-approver case, but delegation re-routing is not checked against the requester and application administrators can still edit their own entitlements in admin consoles without detection or alerting; no periodic self-approval audit report is produced.",Highest,iga partial apra-cps-234 nist-800-53r5 sox,UC-I-015,iga,CPS234-§14; AC-5; PL 107-204 §404(a),PARTIAL
[GAP] Agent registration & ownership,Task,No agent registry exists; autonomous agents run under shared or over-privileged service accounts with no declared owner or purpose.,Highest,iga gap apra-cps-234 nist-800-53r5 owasp-llm,UC-I-017,iga,CPS234-§14; AC-2; LLM06:2025,GAP
[PARTIAL] Agent entitlement certification / continuous attestation,Task,"Some agent tool-scopes are reviewed during periodic access certification, but there is no continuous attestation and effective agent authority is not resolvable end-to-end.",Highest,iga partial nist-800-53r5 owasp-llm,UC-I-018,iga,AC-6; LLM06:2025,PARTIAL
[GAP] Orphan / dormant account detection,Task,Account-to-owner reconciliation is performed only on a few critical systems; dormant accounts beyond the inactivity threshold are not systematically detected or disabled estate-wide.,High,iga gap apra-cps-234 asd-ism iso-27001-2022,UC-I-004,iga,CPS234-§21; ISM-1404; A.5.18,GAP
[GAP] Micro- / event-driven recertification on change,Task,There is no event-driven micro-certification; risk-relevant changes such as transfers or new privileged grants wait for the next scheduled campaign to be re-validated.,High,iga gap apra-cps-234 iso-27001-2022 nist-800-53r5,UC-I-007,iga,CPS234-§27; A.5.18; AC-2j,GAP
[PARTIAL] Detective SoD scanning + mitigating-control tracking,Task,"Detective SoD scans run on the SOX-critical ERP and core banking systems, but coverage of cross-system toxic pairs and a complete mitigating-control register across the wider estate is still incomplete.",High,iga partial apra-cps-234 nist-800-53r5 sox,UC-I-010,iga,CPS234-§21; AC-5; PL 107-204 §103,PARTIAL
[GAP] Least-privilege entitlement right-sizing,Task,"There is no periodic least-privilege right-sizing report driven by usage telemetry; standing excess access is added far more readily than it is removed, with no measured reduction trend.",High,iga gap apra-cpg-234 iso-27001-2022 nist-800-53r5,UC-I-013,iga,CPG234-Att-A; A.5.18; AC-6,GAP
[PARTIAL] Request-time re-approval & time-bound access expiry,Task,"The request workflow supports time-bound access and some contractor grants carry an expiry, but high-risk entitlements default to perpetual and renewals are waved through without a fresh owner approval, so expiry-driven re-validation is not yet a working control.",High,iga partial apra-cps-234 asd-ism nist-800-53r5,UC-I-014,iga,CPS234-§21; ISM-1647; AC-2(3),PARTIAL
[GAP] Unstructured-data / data-access entitlement governance,Task,"Access governance covers applications only; file shares, SharePoint sites and cloud buckets have no owner inventory, sharing links and org-wide grants proliferate unreviewed, and there is no open-access scanning or repository-owner certification.",High,iga gap apra-cpg-234 nist-800-53r5 iso-27001-2022,UC-I-016,iga,CPG234-Att-A; AC-3; A.5.15,GAP
[GAP] Agent deprovisioning / orphan-agent detection,Task,Decommissioned agents and their consent grants are not systematically detected; orphan-agent population is unmeasured.,High,iga gap apra-cps-234 nist-800-53r5 owasp-llm,UC-I-019,iga,CPS234-§21; AC-2; LLM06:2025,GAP
