Summary,Work Item Type,Description,Priority,Labels,UC-ID,Domain,Regulatory-Driver,State
[GAP] Prevent plaintext secrets in source repos,Task,Enforce pre-merge push-protection across all repos plus historical sweep with rotation SLA,Highest,secrets gap apra-cpg-234 apra-cps-234 asd-ism,UC-F-001,secrets,CPG234-Att-D; CPS234-§21; ISM-0401,GAP
[GAP] Detect and remediate secrets in history,Task,Quarterly full-history scans plus continuous CI integration with rotation tracking,Highest,secrets gap apra-cpg-234 apra-cps-234 asd-ism,UC-F-002,secrets,CPG234-Att-D; CPS234-§21(a); ISM-0401,GAP
[PARTIAL] JIT short-lived cloud credentials via OIDC,Task,Enable Azure auth method on Vault and federate GCP workload identity through Vault,Highest,secrets partial apra-cps-234 asd-ism cisa-ztmm-v2,UC-F-003,secrets,CPS234-§21; ISM-1437; ZT-Pillar-Identity,PARTIAL
[PARTIAL] Dynamic database credentials via broker leases,Task,Onboard targeted DB estate (Oracle/MSSQL/Postgres) into dynamic engine with usage SLA,Highest,secrets partial apra-cps-234 asd-ism cisa-ztmm-v2,UC-F-005,secrets,CPS234-§15; ISM-0457; ZT-Pillar-Data,PARTIAL
[PARTIAL] Automated rotation of long-lived static secrets,Task,Define rotation SLA per secret class and instrument MTTR metric for v1.0,Highest,secrets partial apra-cpg-234 apra-cps-234 asd-ism,UC-F-006,secrets,CPG234-Att-C; CPS234-§15; ISM-1256,PARTIAL
[PARTIAL] Immediate revocation on identity compromise,Task,Move to ACME-driven automation with Venafi/Keyfactor or Vault PKI for full lifecycle,Highest,secrets partial apra-cps-234 asd-ism cisa-ztmm-v2,UC-F-007,secrets,CPS234-§15; ISM-0043; ZT-Pillar-Automation-Orchestration,PARTIAL
[PARTIAL] Backup/DR agent identity de-privileging,Task,Enable Vault SSH CA for ephemeral access; phase out static SSH keys,Highest,secrets partial apra-cps-234 asd-ism cisa-ztmm-v2,UC-F-021,secrets,CPS234-§21; ISM-1173; ZT-Pillar-Automation-Orchestration,PARTIAL
[PARTIAL] Vault-internal identity hardening,Task,Document break-glass + recovery-key custody runbooks; validate HSM operator quorum,Highest,secrets partial apra-cps-230 apra-cps-234 asd-ism,UC-F-026,secrets,CPS230-§25; CPS234-§15; ISM-0457,PARTIAL
[GAP] Agent credential issuance via broker,Task,Adopt a per-session agent credential broker (Aembit / Oasis AAM / native workload broker) tied to the agent registry,Highest,secrets gap apra-cps-234 asd-ism cisa-ztmm-v2,UC-F-028,secrets,CPS234-§21; ISM-1619; ZT-Pillar-Workload-Runtime,GAP
[PARTIAL] Agent credential rotation & revocation,Task,Extend automated rotation and immediate revocation to agent identities; track agent rotation/revocation coverage as a KPI,Highest,secrets partial apra-cps-234 asd-ism owasp-llm,UC-F-029,secrets,CPS234-§21; ISM-1405; LLM06:2025,PARTIAL
[GAP] Real-time secret-sprawl KPI dashboard,Task,Stand up NHI inventory layer + plaintext-secret KPI dashboard reporting weekly,Highest,secrets gap apra-cps-234 asd-ism cisa-ztmm-v2,UC-N-001,secrets,CPS234-§17; ISM-1405; ZT-Pillar-Visibility-Analytics,GAP
[GAP] NHI inventory and ownership attestation,Task,Discovery-tier vendor with vault + cloud + SaaS + repo coverage,Highest,secrets gap apra-cpg-234 apra-cps-234 asd-ism,UC-N-002,secrets,CPG234-Att-C; CPS234-§14; ISM-0363,GAP
[GAP] Workload-attested ephemeral identity (SPIFFE),Task,FI 27 demystification + SPIFFE/SPIRE pilot on K8s + Vault PKI engine activation,High,secrets gap apra-cps-234 asd-ism cisa-ztmm-v2,UC-F-004,secrets,CPS234-§15; ISM-0469; ZT-Pillar-Identity,GAP
[GAP] K8s secret consumption without on-disk plaintext,Task,Automate rotation + integrate with workload deploy pipelines,High,secrets gap apra-cps-234 asd-ism cisa-ztmm-v2,UC-F-008,secrets,CPS234-§21; ISM-0469; ZT-Pillar-Data,GAP
[PARTIAL] IaC apply-time secret injection,Task,Mandate Vault-backed pipeline secret patterns across CI/CD platforms,High,secrets partial apra-cpg-234 apra-cps-234 asd-ism,UC-F-010,secrets,CPG234-Att-D; CPS234-§21; ISM-1619,PARTIAL
[PARTIAL] gMSA / Kerberos modernisation,Task,Confirm CyberArk PAM coverage breadth and gMSA dependency mapping,High,secrets partial apra-cpg-234 apra-cps-234 asd-ism,UC-F-013,secrets,CPG234-Att-C; CPS234-§21(c); ISM-1619,PARTIAL
[PARTIAL] Keyless code- and artifact-signing,Task,Confirm Fortanix DSM seal-wrap configuration and DR HSM operator runbooks,High,secrets partial apra-cpg-234 apra-cps-234 asd-ism,UC-F-016,secrets,CPG234-Att-E; CPS234-§21; ISM-0457,PARTIAL
[GAP] AI-agent tool-credential brokering,Task,Adopt AI-agent identity governance (Oasis AAM / Aembit / Clutch) tied to NHI inventory program,High,secrets gap apra-cps-234 asd-ism cisa-ztmm-v2,UC-F-018,secrets,CPS234-§21; ISM-1405; ZT-Pillar-Identity-Federation,GAP
[GAP] Orphaned/dormant NHI cleanup pipeline,Task,Deploy NHI-discovery platform (Astrix/Entro/Oasis/Clutch) with orphan SLA,High,secrets gap apra-cps-234 asd-ism cisa-ztmm-v2,UC-F-027,secrets,CPS234-§17; ISM-0363; ZT-Pillar-Automation-Orchestration,GAP
[GAP] Agent secret-scope confinement,Task,Introduce per-task scope confinement and over-broad-scope detection for agent credentials,High,secrets gap apra-cps-234 cisa-ztmm-v2 owasp-llm,UC-F-030,secrets,CPS234-§21; ZT-Pillar-Workload-Runtime; LLM06:2025,GAP
[GAP] E8 / ZT control-area scorecard,Task,Quarterly orphan sweep + deprovisioning SLA with NHI-discovery tooling,High,secrets gap apra-cps-230 apra-cps-234 asd-ism,UC-N-005,secrets,CPS230-§25; CPS234-§13; ISM-0039,GAP
[PARTIAL] Vendor / SaaS supply-chain risk attestation,Task,Formalise vendor-risk review covering licensing model + roadmap continuity for each platform,High,secrets partial apra-cps-230 apra-cps-234 asd-ism,UC-N-006,secrets,CPS230-§15; CPS234-§16; ISM-0421,PARTIAL
[PARTIAL] Exception register and risk-acceptance governance,Task,Confirm PAM lifecycle KPIs with platform owners,High,secrets partial apra-cps-234 asd-ism cisa-ztmm-v2,UC-N-009,secrets,CPS234-§14; ISM-0027; ZT-Pillar-Governance,PARTIAL
[PARTIAL] Break-glass and quorum-operator governance,Task,Document break-glass procedure with quorum approval and exercise quarterly,High,secrets partial apra-cpg-234 apra-cps-234 asd-ism,UC-N-010,secrets,CPG234-Att-E; CPS234-§21(d); ISM-0457,PARTIAL
