nhi_id,bucket,short_name,description,typical_secrets,lifecycle,governance_maturity,sources_likely,citation_keys,npe_conformance
NHI-001,COMMON,Cloud IAM principal,"Workload-bound principal in AWS IAM, Azure managed identity, or GCP service account used by compute resources to call cloud APIs","STS tokens; managed-identity tokens; metadata-server tokens; SA JSON keys (legacy)",SHORT-LIVED,MEDIUM,Y,aws-iam-roles-2024;azure-managed-identity-2024;gcp-sa-2024,CONFORMANT
NHI-002,COMMON,Kubernetes ServiceAccount,"Pod-bound identity issued by the K8s API server, projected as a short-lived JWT via TokenRequest API","Projected SA tokens (audience-bound JWTs); legacy long-lived SA tokens",SHORT-LIVED,MEDIUM,Y,k8s-sa-tokens-2024;k8s-tokenrequest-2024,CONFORMANT
NHI-003,COMMON,CI/CD pipeline identity,"GitHub Actions, GitLab CI, Azure DevOps, Jenkins, CircleCI job identity; increasingly OIDC-federated to cloud IAM","OIDC ID tokens; repo/org secrets; deploy keys; PATs",EPHEMERAL,LOW,Y,github-oidc-2024;gitlab-oidc-2024,CONFORMANT
NHI-004,COMMON,Container image-pull credential,"Registry credential used by orchestrators and build tools to pull container images","OAuth2 tokens; docker-config JSON; robot accounts",SHORT-LIVED,MEDIUM,Y,docker-registry-token-2024;harbor-robot-2024,CONFORMANT
NHI-005,COMMON,Database service account,"Application-to-database principal (RDBMS, NoSQL, warehouse) for reads and writes","Username/password; client certs; IAM-DB tokens (RDS IAM, Cloud SQL IAM)",LONG-LIVED,LOW,Y,aws-rds-iam-auth-2024;snowflake-key-pair-2024,CONFORMANT
NHI-006,COMMON,Application TLS / mTLS workload identity,"X.509 identity for a web/API workload (server TLS) or mTLS workload-to-workload identity (e.g., SPIFFE/SPIRE)","X.509 certificates + private keys; SPIFFE SVIDs (X.509-SVID, JWT-SVID)",SHORT-LIVED,MEDIUM,Y,spiffe-spec-2023;istio-mtls-2024,CONFORMANT
NHI-007,COMMON,Third-party SaaS API key / OAuth client,"OAuth client credential or static API key used to call an external SaaS (Salesforce, Workday, ServiceNow, Slack, Datadog)","OAuth client_id+secret; refresh tokens; static API keys; webhook signing secrets",LONG-LIVED,LOW,Y,oauth2-rfc6749-2012;astrix-nhi-report-2024,CONFORMANT
NHI-008,COMMON,Git platform credential,"Source-control identity (PAT, SSH key, deploy key, GitHub App) used by humans, bots and pipelines","Personal Access Tokens; fine-grained tokens; SSH keys; deploy keys; GitHub App installation tokens",LONG-LIVED,LOW,Y,gitguardian-sots-2024;github-fine-grained-2023,CONFORMANT
NHI-009,COMMON,IaC / config-management agent,"Ansible AAP, Puppet, Chef, Terraform Cloud/Enterprise, Pulumi agents on build farms and ephemeral runners","Tower/AAP creds; Vault AppRoles; TFC team tokens; dynamic cloud creds",SHORT-LIVED,MEDIUM,Y,hashicorp-tfc-2024;ansible-aap-2024,CONFORMANT
NHI-010,COMMON,Monitoring / observability agent,"Datadog, Splunk forwarders, Dynatrace OneAgent, Prometheus exporters, Elastic Beats, New Relic agents on hosts and containers","API keys; ingest tokens; mTLS certs",LONG-LIVED,LOW,Y,datadog-agent-keys-2024;splunk-hec-token-2024,CONFORMANT
