vendor_slug,vendor_name,target_id,target_type,coverage,maturity,evidence_url,evidence_quote,citation_keys,notes
one-identity-safeguard,One Identity,UC-P-001,UC-F,NATIVE,4,https://www.oneidentity.com/products/one-identity-safeguard-for-privileged-passwords/,"Enterprise Password Vault for secure and efficient workforce password management",oneidentity-spp-product-2025,"SPP (Safeguard for Privileged Passwords) is a hardened appliance-based vault; automated credential rotation supported; personal vaults also available. Covers passwords and SSH keys."
one-identity-safeguard,One Identity,UC-P-002,UC-F,NATIVE,4,https://www.oneidentity.com/products/one-identity-safeguard-for-privileged-sessions/,"control, monitor and record privileged sessions of administrators, remote vendors",oneidentity-sps-product-2025,"SPS (Safeguard for Privileged Sessions) acts as a transparent session proxy supporting RDP, SSH, Telnet, HTTPS, ICA, VNC. Credentials not exposed to end user during proxied sessions."
one-identity-safeguard,One Identity,UC-P-003,UC-F,NATIVE,5,https://www.oneidentity.com/products/one-identity-safeguard-for-privileged-sessions/,"all session activity is captured, indexed and stored for tamper-proof data trails",oneidentity-sps-product-2025,"Full session recording with OCR-indexed content; searchable audit trails; tamper-proof storage; session replay. Consistently cited as a market-leading capability."
one-identity-safeguard,One Identity,UC-P-004,UC-F,NATIVE,3,https://www.oneidentity.com/community/news/b/press-releases/posts/safeguard-press-announcement,"LDAP Privilege Elevation and Demotion support Just-In-Time (JIT) access",oneidentity-safeguard-80-lts-2024,"JIT via SPP access request workflows (time-bound credential checkout) plus LDAP privilege elevation/demotion in 8.0 LTS. Full ZSP also requires Active Roles for AD group membership automation — note that component is ADD-ON/separate product."
one-identity-safeguard,One Identity,UC-P-005,UC-F,NATIVE,4,https://www.oneidentity.com/products/one-identity-safeguard-for-privileged-passwords/,"Discovery: Automatically find privileged accounts on your network; supports host, directory and network discovery",oneidentity-spp-product-2025,"Native discovery across host, directory, and network targets. Covers both privileged and local-admin accounts. Feeds accounts directly into SPP vault."
one-identity-safeguard,One Identity,UC-P-006,UC-F,NATIVE,4,https://support.oneidentity.com/technical-documents/one-identity-safeguard-for-privileged-passwords/7.4.1/administration-guide/92,"third-party application to retrieve a credential from the Safeguard for Privileged Passwords vault",oneidentity-spp-a2a-admin-guide-2024,"Native A2A service: apps retrieve credentials via certificate + API key without user workflow; replaces hard-coded passwords in scripts/automation. IP restrictions supported."
one-identity-safeguard,One Identity,UC-P-007,UC-F,NATIVE,4,https://support.oneidentity.com/technical-documents/one-identity-safeguard-for-privileged-sessions/7.2/duo-multi-factor-authentication---tutorial,"configuring authentication whitelists and blacklists to selectively require multi-factor authentication",oneidentity-sps-mfa-duo-2024,"SPS integrates natively with Duo, Okta, RSA, inWebo, Starling 2FA, and others for MFA at privileged session initiation. SPP access request workflows also enforce MFA via One Identity Starling."
one-identity-safeguard,One Identity,UC-P-008,UC-F,NATIVE,4,https://www.oneidentity.com/products/one-identity-safeguard-for-privileged-passwords/,"Workflow Engine: Create your own workflows with time restrictions, multiple approvers, emergency access",oneidentity-spp-product-2025,"Emergency access policy configured in SPP; break-glass workflows bypass normal approvers, require justification, and generate audited alerts. MFA whitelists in SPS allow bypassing MFA for pre-designated break-glass accounts."
one-identity-safeguard,One Identity,UC-P-009,UC-F,ADD-ON,3,https://www.oneidentity.com/products/safeguard-privilege-manager-for-windows/,"Remove local admin rights and give users with elevated execution privileges",oneidentity-spmfw-product-2025,"Safeguard Privilege Manager for Windows is a separate licensed product for EPM on Windows; policy-based elevation, application control, digital certificate verification. Unix/Linux/macOS coverage handled via Safeguard for Sudo and Authentication Services — additional add-ons, not Safeguard core."
one-identity-safeguard,One Identity,UC-P-010,UC-F,ADD-ON,3,https://www.oneidentity.com/solutions/privileged-access-governance/,"providing a centralized platform with a 360 degree view of all user accounts and activities",oneidentity-pag-solution-2025,"Entitlement right-sizing requires One Identity Manager (IGA) + Safeguard integration via Privileged Access Governance (PAG) module. Standalone Safeguard provides access request policy-based controls but lacks unused-entitlement analytics without OIM. [INDUSTRY-CONSENSUS: most PAM vendors rely on IGA integration for full right-sizing]"
