uc_id,archetype_id,params,notes
UC-I-001,A2,"target_pattern=automated birthright / role-based joiner provisioning from the authoritative HR source;nhi_population=workforce joiners (permanent and contractor);legacy_pattern=manual ticket-based account creation and copy-a-colleague grants;threshold=the agreed coverage threshold of joiner birthright access",Automated joiner / birthright provisioning
UC-I-002,A7,"process=the mover access-recalculation process triggered by an authoritative HR change event, with prior-role access removal and manager reaffirmation of retained access",Mover access recalculation on transfer
UC-I-003,A2,"target_pattern=automated de-provisioning within the documented leaver SLA on the termination event;nhi_population=workforce leavers (resignation, dismissal, contract / secondment end);legacy_pattern=manual and delayed account disablement;threshold=the agreed coverage threshold of leaver events",Timely leaver de-provisioning within SLA
UC-I-004,A5,"nhi_population=accounts across in-scope systems reconciled to a valid owner and recent activity;threshold=95%;cadence=defined reconciliation cadence;system=the access-governance remediation queue",Orphan / dormant account detection
UC-I-005,A5,"nhi_population=in-scope workforce entitlements (application roles, group memberships, fine-grained entitlements);threshold=95%;cadence=risk-tiered certification cycle (quarterly high-risk, at least annual broad);system=the IGA certification module and audit evidence store",Periodic access certification campaigns
UC-I-006,A8,"artifact=a high-risk / privileged access certification sign-off;cadence=shorter privileged certification cycle (quarterly or more frequent);scope=privileged and high-risk entitlements (admin roles, toxic / SoD-sensitive combinations, crown-jewel and financially-material access, standing break-glass);sla=the agreed campaign-close / sign-off window",High-risk / privileged access certification sign-off
UC-I-007,A5,"nhi_population=the entitlements impacted by a triggering event (mover / transfer, privileged or high-risk grant, role redefinition, detected SoD violation);threshold=the impacted-entitlement set;cadence=event trigger with a short micro-certification turnaround SLA;system=the IGA certification module reconciled with periodic campaigns",Micro- / event-driven recertification on change
UC-I-008,A1,"control=preventive segregation-of-duties evaluation of the requester's current plus requested entitlements at access-request time;nhi_population=all access-granting events / provisioning transactions;scope=all provisioning channels (self-service, birthright / automated, manager grants, break-glass) and cross-system toxic pairs",Preventive SoD checks at access-request time
UC-I-009,A7,"process=the segregation-of-duties policy register and violation-management process (versioned ruleset with named rule owners, triage, time-bound exceptions with mitigating controls, and review cadence)",SoD policy register & violation-management process
UC-I-010,A3,"capability=detective SoD scanning of existing access against the active ruleset with mitigating-control tracking;nhi_population=the full in-scope entitlement population (all users x all entitlements across covered systems);config_target=recurring cross-system scans, every residual conflict risk-rated with a documented owned disposition, and findings feeding ruleset and prevention refinement",Detective SoD scanning + mitigating-control tracking
UC-I-011,A3,"capability=role mining and RBAC baselining of current entitlement assignments into owner-approved candidate roles;nhi_population=workforce identities and their entitlement assignments across in-scope critical systems;config_target=an authoritative owner-approved role model distinguishing business and technical roles, a measured coverage metric, and a defined re-mining cadence",Role mining & RBAC baseline
UC-I-012,A7,"process=the self-service access-request and approval workflow (request catalogue tied to the role model, enforced approval path, recorded approver / decision / justification, request-time SoD checks for SOX-relevant items, and time-bound access)",Self-service access request & approval workflow
UC-I-013,A2,"target_pattern=right-sized least-privilege entitlements driven by usage telemetry, role-model deviation and ownership review;nhi_population=in-scope workforce identities and the entitlements they hold;legacy_pattern=accumulated over-provisioned and standing excess access from role changes;threshold=the bulk of identified excess entitlements with a tracked reduction trend",Least-privilege entitlement right-sizing
UC-I-014,A1,"control=request-time re-approval with time-bound expiry — high-risk access granted with an expiry, removed automatically at lapse and re-validated as a fresh owned decision on every re-request;nhi_population=high-risk, SoD-relevant and contractor entitlement grants;scope=all provisioning channels of the access-request workflow (self-service, manager, renewal / re-request), with post-event reviews of already-held access remaining UC-I-007's scope",Request-time re-approval & time-bound access expiry
UC-I-015,A1,"control=requestor-approver separation enforced in the access-request workflow — no identity can approve, modify or fulfil its own access request;nhi_population=all access requests and direct entitlement edits across in-scope systems;scope=every approval chain including delegation and out-of-office routing, admin-console self-edits of the editor's own entitlements, and break-glass self-grants",Requestor-approver separation / self-approval prevention
UC-I-016,A5,"nhi_population=unstructured-data repositories (file shares, SharePoint / OneDrive / Teams sites, cloud object-storage buckets) reconciled to a named business owner and a data classification, and the identities holding effective access to them;threshold=95%;cadence=risk-tiered owner certification aligned to data classification;system=the IGA certification module and data-access remediation queue",Unstructured-data / data-access entitlement governance
