domain,uc_id,short_title,reviewer_id,reviewer_role,reviewer_state,reviewer_confidence,instrument_state,instrument_confidence,divergence_rationale
secrets,UC-F-001,Prevent plaintext secrets in source repos,,,,,,,
secrets,UC-F-013,gMSA / Kerberos modernisation,,,,,,,
secrets,UC-F-026,Vault-internal identity hardening,,,,,,,
secrets,UC-N-008,Engineer training and secure-coding adoption KPI,,,,,,,
secrets,UC-N-020,Mainframe/legacy posture transparency,,,,,,,
pam,UC-P-001,Privileged credential vaulting & rotation,,,,,,,
pam,UC-P-006,Application-to-application credential brokering,,,,,,,
pam,UC-P-011,Privileged remote / third-party vendor access,,,,,,,
pam,UC-P-016,Privileged credential-theft detection,,,,,,,
pam,UC-P-021,Agentic privileged-behaviour detection,,,,,,,
iga,UC-I-001,Automated joiner / birthright provisioning,,,,,,,
iga,UC-I-005,Periodic access certification campaigns,,,,,,,
iga,UC-I-010,Detective SoD scanning + mitigating-control tracking,,,,,,,
iga,UC-I-015,Requestor-approver separation / self-approval prevention,,,,,,,
iga,UC-I-019,Agent deprovisioning / orphan-agent detection,,,,,,,
