nhi_id,bucket,short_name,description,typical_secrets,lifecycle,governance_maturity,sources_likely,citation_keys,npe_conformance
IGID-001,COMMON,Workforce joiner,"A newly hired employee whose identity is created and provisioned with birthright access at onboarding; the governance risk is the correctness and timeliness of the initial entitlement grant — over-provisioning at the joiner stage seeds later least-privilege drift.","Birthright bundle (email, directory, VPN, collaboration suite, baseline business apps); department/role-based entitlements requested via the access-request workflow",JOINER,MED,Y,nist-sp-800-53-ac2;iso-27001-a5-18;apra-cps234-para21,HUMAN-IDENTITY
IGID-002,COMMON,Workforce mover,"An existing identity changing role, team, manager, location or employment type; the governance risk is access accretion / privilege creep where movers accumulate prior-role entitlements that are never removed — the single most common audit finding.","Old-role plus new-role entitlements concurrently (the defect); should be net of removed prior-role access",MOVER,LOW,Y,nist-sp-800-53-ac6;nist-sp-800-53-ac2;iso-27001-a5-18,HUMAN-IDENTITY
IGID-003,COMMON,Workforce leaver,"A departing employee (resignation, termination, end of contract); governance risk is timely complete de-provisioning across all systems, especially federated SaaS and standing tokens that survive directory disable.","All access from the active lifecycle pending revocation; residual risk in SaaS sessions, OAuth refresh tokens and cached credentials",LEAVER,MED,Y,nist-sp-800-53-ac2;iso-27001-a5-18;apra-cps234-para21,HUMAN-IDENTITY
IGID-004,COMMON,Contractor / third-party,"Non-employee workforce — contractors, consultants, outsourced run teams, partner/vendor staff with internal access; governance risk is sponsorship and time-bounding, as these identities lack an HR feed and default to no automatic leaver event.","Scoped project access, often privileged remote access; frequently no defined expiry",JOINER-LEAVER,LOW,Y,apra-cps234-para21;nist-sp-800-53-ac2;iso-27001-a5-18,HUMAN-IDENTITY
IGID-005,COMMON,Privileged business user,"A workforce identity holding high-impact business entitlements (not infrastructure admin, which is PAM's domain) — e.g. payments approver, bulk customer-data export, fraud-override, GL-posting, core-banking / ERP super-user; governance risk is the frequency and rigour of recertification and SoD enforcement.","Business super-user / maker-checker-override roles, bulk data access, financial transaction authority",MOVER,MED,Y,nist-sp-800-53-ac6;iso-27001-a5-18;apra-cps234-para21,HUMAN-IDENTITY
IGID-006,COMMON,Application owner,"A governance role (not an end-user access pattern): the accountable owner of an application/system who must approve access requests to it and attest its entitlement model; governance risk is ownership coverage and currency — orphaned applications with no owner cannot be governed or certified.","Approval authority over the app's entitlements; data-classification accountability; recertification-campaign respondent",STATIC,MED,Y,nist-sp-800-53-ac2;iso-27001-a5-18;apra-cps234-para21,HUMAN-IDENTITY
IGID-007,COMMON,Role owner / entitlement owner,"The governance role accountable for a business or technical RBAC role definition — its membership rules, contained entitlements and SoD constraints; governance risk is role hygiene (stale definitions, role explosion, roles silently bundling toxic combinations).","Authority to define/modify role contents and membership criteria; role-recertification respondent",STATIC,LOW-MED,Y,nist-sp-800-53-ac2;nist-sp-800-53-ac5,HUMAN-IDENTITY
IGID-008,COMMON,SoD-sensitive finance role,"A workforce identity holding entitlements that are individually legitimate but collectively toxic under SoD — e.g. vendor-master maintenance plus payment-run, or journal-entry plus journal-approval; the SOX/ICFR-critical class where the assessment must detect SoD conflicts, not just provision access.","Conflicting financial-process entitlements (P2P, O2C, R2R, treasury); mitigated by compensating controls where conflicts are accepted",MOVER,MED-HIGH,Y,nist-sp-800-53-ac5;sox-pl107-204-s404;apra-cps234-para22,HUMAN-IDENTITY
IGID-009,COMMON,Governed service account,"A non-human / functional account that IGA governs as a first-class object — with a named human owner, defined purpose, recertification and a de-provisioning trigger — rather than leaving it to PAM/secrets vaulting alone; the governance defect is ownerless, never-recertified, never-expiring service accounts.","Application-to-application access, batch/integration privileges, often standing and over-scoped",STATIC,LOW,Y,nist-sp-800-53-ac2;nist-sp-800-53-ac6;apra-cps234-para21,NPE
IGID-010,COMMON,Birthright / RBAC holder,"Any identity receiving access automatically by virtue of an attribute (department, job code, location) via birthright policy or RBAC assignment with no per-request approval; governance risk is over-broad birthright scope that grants too much by default and is rarely re-examined.","Attribute-driven default bundles; RBAC role memberships",JOINER,MED,Y,nist-sp-800-53-ac2;nist-sp-800-53-ac6;iso-27001-a5-18,HUMAN-IDENTITY
IGID-011,COMMON,Dormant / orphan account,"An account that is dormant (unused beyond a threshold) or orphan (no valid owner/identity behind it — e.g. survived a leaver, or a service account whose owning app was decommissioned); the highest-value attestation finding class and a prime lateral-movement target. Both a class and a KPI: a low population is evidence JML, service-account and consent-grant governance work.","Whatever the account last held — rarely re-reviewed, often still privileged",LEAVER,LOW,Y,nist-sp-800-53-ac2;iso-27001-a5-18,HUMAN-IDENTITY
IGID-012,EMERGING,Agentic-AI / autonomous agent,"An LLM-driven autonomous agent that calls functions/tools and acts on systems with delegated agency on behalf of a user or business process; a new governed object needing an owner, scoped recertified entitlement set, purpose, least-privilege tool access, human-in-the-loop gates on irreversible actions and a de-provisioning trigger. Dynamic permission change defeats classic point-in-time recert, so model continuous attestation as the good end-state.","Tool/extension scopes, downstream API permissions, often inherited via an over-privileged service account or an OAuth session broader than the task requires",STATIC,LOW,Y,owasp-llm06-2025;nist-sp-800-53-ac6;apra-cps234-para21,NPE
