vendor_slug,vendor_name,target_id,target_type,coverage,maturity,evidence_url,evidence_quote,citation_keys,notes
fortanix-dsm,Fortanix DSM,NHI-001,NHI,GAP,0,https://www.fortanix.com/platform/data-security-manager,,fortanix-dsm-hsm-saas-2025,Fortanix DSM is a KMS/HSM layer; cloud IAM principal brokering handled by vault platforms above it.
fortanix-dsm,Fortanix DSM,NHI-002,NHI,GAP,0,https://www.fortanix.com/platform/data-security-manager,,fortanix-dsm-hsm-saas-2025,No K8s ServiceAccount auth or CSI driver integration.
fortanix-dsm,Fortanix DSM,NHI-003,NHI,GAP,0,https://www.fortanix.com/platform/data-security-manager,,fortanix-dsm-hsm-saas-2025,No CI/CD pipeline identity management.
fortanix-dsm,Fortanix DSM,NHI-004,NHI,GAP,0,https://www.fortanix.com/platform/data-security-manager,,fortanix-dsm-hsm-saas-2025,Container image-pull credentials not in scope for an HSM/KMS platform.
fortanix-dsm,Fortanix DSM,NHI-005,NHI,GAP,0,https://www.fortanix.com/platform/data-security-manager,,fortanix-dsm-hsm-saas-2025,No dynamic database secrets engine; vault platforms handle this layer.
fortanix-dsm,Fortanix DSM,NHI-006,NHI,ADD-ON,2,https://support.fortanix.com/docs/using-fortanix-data-security-manager-with-hashicorp-vault-enterprise,DSM stores and manages private keys for TLS/mTLS workload certs via PKCS#11 and KMIP interfaces.,fortanix-vault-enterprise-2024;fortanix-cyberark-integration-2024,Requires integration with a CA (EJBCA/Keyfactor/ADCS); DSM provides HSM-backed key storage.
fortanix-dsm,Fortanix DSM,NHI-007,NHI,ADD-ON,2,https://support.fortanix.com/docs/fortanix-overview-and-definitions,"DSM allows you to securely generate, store, and use cryptographic keys, certificates, and other secrets such as passwords and API keys.",fortanix-dsm-hsm-saas-2025,Arbitrary blob/secret storage supported; no native SaaS OAuth integration or rotation workflow.
fortanix-dsm,Fortanix DSM,NHI-008,NHI,ADD-ON,1,https://support.fortanix.com/docs/fortanix-overview-and-definitions,,fortanix-dsm-hsm-saas-2025,Git credentials can be stored as opaque secrets; no native Git platform integration or PAT lifecycle management.
fortanix-dsm,Fortanix DSM,NHI-009,NHI,ADD-ON,1,https://support.fortanix.com/docs/using-fortanix-data-security-manager-with-hashicorp-vault-enterprise,,fortanix-vault-enterprise-2024,IaC agents retrieve keys indirectly via Vault+DSM PKCS#11 chain; no native Terraform/Ansible provider.
fortanix-dsm,Fortanix DSM,NHI-010,NHI,GAP,0,https://www.fortanix.com/platform/data-security-manager,,fortanix-dsm-hsm-saas-2025,Monitoring/observability agent credential management not in scope.
fortanix-dsm,Fortanix DSM,NHI-011,NHI,GAP,0,https://www.fortanix.com/platform/data-security-manager,,fortanix-dsm-hsm-saas-2025,Message broker client identity management not in scope.
fortanix-dsm,Fortanix DSM,NHI-012,NHI,GAP,0,https://www.fortanix.com/platform/data-security-manager,,fortanix-dsm-hsm-saas-2025,AD/LDAP service account management not in scope.
fortanix-dsm,Fortanix DSM,NHI-013,NHI,PARTNER,2,https://support.fortanix.com/docs/using-fortanix-data-security-manager-with-hashicorp-vault-enterprise,,fortanix-vault-enterprise-2024,API gateway mTLS private keys managed in DSM via PKCS#11; gateway consumes cert but DSM holds the key material.
fortanix-dsm,Fortanix DSM,NHI-014,NHI,GAP,0,https://www.fortanix.com/platform/data-security-manager,,fortanix-dsm-hsm-saas-2025,RPA bot credential management not in scope.
fortanix-dsm,Fortanix DSM,NHI-015,NHI,ADD-ON,2,https://www.fortanix.com/platform/data-security-manager/hardware-security-module,FIPS 140-2 Level 3 certified FX2200 Series HSMs securely store keys for code-signing use cases via PKCS#11.,fortanix-hsm-platform-2025,HSM-backed EV/Authenticode code-signing keys via PKCS#11; not keyless Sigstore.
fortanix-dsm,Fortanix DSM,NHI-016,NHI,GAP,1,https://www.fortanix.com/platform/data-security-manager,,fortanix-dsm-hsm-saas-2025,No Sigstore/Fulcio or in-toto/SLSA integration documented; keys for provenance signing could be stored but no tooling provided.
fortanix-dsm,Fortanix DSM,NHI-017,NHI,ADD-ON,2,https://support.fortanix.com/docs/using-fortanix-data-security-manager-with-hashicorp-vault-enterprise,,fortanix-vault-enterprise-2024,Service mesh CA intermediate keys (Istio/Consul) stored in DSM via PKCS#11; requires manual CA configuration.
fortanix-dsm,Fortanix DSM,NHI-018,NHI,NATIVE,4,https://www.fortanix.com/blog/securing-enterprise-applications-and-ai-pipelines-with-attestation-gated-secure-key-release,CCM verifies attestation across SGX/TDX/SEV-SNP/Nitro; DSM releases keys only after attestation validation.,fortanix-ccm-skr-2025,Industry-leading: composite CPU+GPU attestation; operational December 2025. CCM + DSM Secure Key Release (SKR).
fortanix-dsm,Fortanix DSM,NHI-019,NHI,ADD-ON,1,https://www.fortanix.com/blog/agentic-ai-with-verifiable-trust-security-sovereignty-for-ai-factories-and-enterprises,,fortanix-ccm-skr-2025,DSM Armet AI platform stores AI tool keys; CCM attests AI workloads; no native per-session credential broker.
fortanix-dsm,Fortanix DSM,NHI-020,NHI,GAP,0,https://www.fortanix.com/platform/data-security-manager,,fortanix-dsm-hsm-saas-2025,Model artifact/registry identity not in scope.
fortanix-dsm,Fortanix DSM,NHI-021,NHI,ADD-ON,1,https://docs.keyfactor.com/ejbca/latest/fortanix-data-security-manager,,fortanix-cyberark-integration-2024,PKI cert private keys for IoT devices stored in DSM via EJBCA/Keyfactor integration; no native EST/SCEP/DPS.
fortanix-dsm,Fortanix DSM,NHI-022,NHI,GAP,0,https://www.fortanix.com/platform/data-security-manager,,fortanix-dsm-hsm-saas-2025,Mainframe/RACF/IBM-i service identity management not documented.
