vendor_slug,vendor_name,target_id,target_type,coverage,maturity,evidence_url,evidence_quote,citation_keys,notes
delinea-secret-server,Delinea Secret Server,NHI-001,NHI,ADD-ON,2,https://docs.delinea.com/online-help/secret-server/discovery/index.htm,"Discovery supports AWS and Google Cloud Platform accounts automatically",delinea-ss-discovery-2025,Static rotation only; no dynamic short-lived cloud IAM creds; DSV separate product for JIT
delinea-secret-server,Delinea Secret Server,NHI-002,NHI,ADD-ON,1,https://docs.delinea.com/online-help/secret-server/api-scripting/index.htm,"REST API enables custom integration with scripting languages for automation",delinea-ss-api-2025,No native K8s CSI driver or controller; DSV has K8s sidecar injector (separate product)
delinea-secret-server,Delinea Secret Server,NHI-003,NHI,ADD-ON,2,https://docs.delinea.com/online-help/secret-server/api-scripting/index.htm,"Token-based authentication for secure access via REST API",delinea-ss-api-2025,No native OIDC federation for CI/CD pipelines; REST API pull pattern prevents embedding
delinea-secret-server,Delinea Secret Server,NHI-004,NHI,ADD-ON,1,https://delinea.com/products/secret-server/features,"AES 256 Encryption; File Attachments; Granular permission control",delinea-ss-features-2025,Generic template storage; no native container registry integration; scripted retrieval only
delinea-secret-server,Delinea Secret Server,NHI-005,NHI,NATIVE,3,https://delinea.com/products/secret-server/features,"Streamline password creation rotation and expiration with out-of-the-box templates",delinea-ss-features-2025,SQL Server / Oracle / MySQL / PostgreSQL built-in RPC; heartbeat; scheduled auto-rotation
delinea-secret-server,Delinea Secret Server,NHI-006,NHI,ADD-ON,2,https://docs.delinea.com/online-help/secret-server/admin/index.htm,"Certificate management with options for changing SQL service account passwords",delinea-ss-admin-2025,Certificate management feature available; limited lifecycle scope vs Venafi/Keyfactor
delinea-secret-server,Delinea Secret Server,NHI-007,NHI,NATIVE,2,https://delinea.com/products/secret-server/features,"AES 256 Encryption; Granular permission control; Import / Export",delinea-ss-features-2025,Generic secret template; manual rotation; no OAuth client credential engine
delinea-secret-server,Delinea Secret Server,NHI-008,NHI,NATIVE,2,https://delinea.com/products/secret-server/features,"Streamline password creation rotation and expiration with out-of-the-box templates",delinea-ss-features-2025,Storable; custom PowerShell RPC can rotate PATs/SSH keys; no native GitHub/GitLab integration
delinea-secret-server,Delinea Secret Server,NHI-009,NHI,ADD-ON,2,https://docs.delinea.com/online-help/secret-server/api-scripting/index.htm,"Operations to manage secrets and their attributes via REST API",delinea-ss-api-2025,REST API + community Ansible/Terraform modules; no official Terraform provider
delinea-secret-server,Delinea Secret Server,NHI-010,NHI,NATIVE,2,https://delinea.com/products/secret-server/features,"Streamline password creation rotation and expiration with out-of-the-box templates",delinea-ss-features-2025,Generic credential rotation; no deep SIEM/observability native integration
delinea-secret-server,Delinea Secret Server,NHI-011,NHI,NATIVE,2,https://delinea.com/products/secret-server/features,"AES 256 Encryption; out-of-the-box templates and built-in automation",delinea-ss-features-2025,Password-based credential storage + RPC for Kafka/RabbitMQ via custom changers
delinea-secret-server,Delinea Secret Server,NHI-012,NHI,NATIVE,4,https://docs.delinea.com/online-help/secret-server/discovery/index.htm,"Discovery can find Windows local admin Windows domain and Linux/Unix accounts",delinea-ss-discovery-2025,Core PAM use-case; AD discovery + rotation + dependency mapping — industry-leading for AD SAs
