vendor_slug,vendor_name,target_id,target_type,coverage,maturity,evidence_url,evidence_quote,citation_keys,notes
venafi,Venafi / CyberArk Machine Identity Security,NHI-001,NHI,GAP,0,https://www.cyberark.com/products/machine-identity-security/,Cloud IAM principal management is outside MIS scope,cyberark-mis-overview-2025,Belongs to PAM or cloud-native IAM; not in MIS product portfolio
venafi,Venafi / CyberArk Machine Identity Security,NHI-002,NHI,ADD-ON,2,https://docs.venafi.cloud/,Certificate Manager for Kubernetes issues TLS certs to K8s workloads via cert-manager,venafi-cloud-docs-2026,JWT-SVID for K8s SAs via Workload Identity Manager; direct SA token management out of scope
venafi,Venafi / CyberArk Machine Identity Security,NHI-003,NHI,ADD-ON,2,https://www.cyberark.com/products/code-sign-manager/,Integrate with the tools and processes your teams already use,cyberark-code-sign-mgr-2025,Code Sign Manager integrates with Jenkins / GitHub Actions / Azure DevOps for pipeline-initiated signing
venafi,Venafi / CyberArk Machine Identity Security,NHI-004,NHI,GAP,0,https://www.cyberark.com/products/machine-identity-security/,Container registry credential management outside MIS scope,cyberark-mis-overview-2025,Handled by Conjur or PAM
venafi,Venafi / CyberArk Machine Identity Security,NHI-005,NHI,GAP,0,https://www.cyberark.com/products/machine-identity-security/,Database dynamic credential issuance out of scope for MIS,cyberark-mis-overview-2025,Belongs to secrets vault (Conjur/PAM)
venafi,Venafi / CyberArk Machine Identity Security,NHI-006,NHI,NATIVE,4,https://www.cyberark.com/products/certificate-manager/,Certificate Manager simplifies the entire certificate lifecycle by automating discovery monitoring renewal and compliance enforcement,cyberark-cert-mgr-2025,Core product lane; 200+ machine integrations; 47-day TLS lifespan automation
venafi,Venafi / CyberArk Machine Identity Security,NHI-007,NHI,GAP,0,https://www.cyberark.com/products/machine-identity-security/,API key and OAuth client credential management outside MIS scope,cyberark-mis-overview-2025,Belongs to secrets vault
venafi,Venafi / CyberArk Machine Identity Security,NHI-008,NHI,GAP,0,https://www.cyberark.com/products/machine-identity-security/,PAT/deploy-key management not in MIS product scope,cyberark-mis-overview-2025,Belongs to PAM or secrets vault
venafi,Venafi / CyberArk Machine Identity Security,NHI-009,NHI,ADD-ON,1,https://www.cyberark.com/products/certificate-manager/,IaC pipelines can request certs from Certificate Manager via API,cyberark-cert-mgr-2025,REST/ACME API callable from Terraform/Ansible; no native IaC agent identity product
venafi,Venafi / CyberArk Machine Identity Security,NHI-010,NHI,GAP,0,https://www.cyberark.com/products/machine-identity-security/,Monitoring agent credential management not in MIS scope,cyberark-mis-overview-2025,Belongs to Conjur/PAM
venafi,Venafi / CyberArk Machine Identity Security,NHI-011,NHI,GAP,0,https://www.cyberark.com/products/machine-identity-security/,Dynamic broker-credential issuance out of scope,cyberark-mis-overview-2025,mTLS certs for brokers can be provisioned but not dynamic credentials
venafi,Venafi / CyberArk Machine Identity Security,NHI-012,NHI,GAP,0,https://www.cyberark.com/products/machine-identity-security/,AD service account management belongs to CyberArk PAM,cyberark-mis-overview-2025,Not in MIS scope
venafi,Venafi / CyberArk Machine Identity Security,NHI-013,NHI,NATIVE,3,https://docs.venafi.cloud/whatsnew/,Certificate Manager SaaS now supports integration with Akamai CDN for certificate discovery and provisioning,venafi-cloud-whatsnew-2026;cyberark-cert-mgr-2025,Machine integrations: F5 BIG-IP / Akamai / A10 Thunder ADC / Radware Alteon / Apache / Nginx
venafi,Venafi / CyberArk Machine Identity Security,NHI-014,NHI,GAP,0,https://www.cyberark.com/products/machine-identity-security/,RPA credential management belongs to PAM,cyberark-mis-overview-2025,Not in MIS scope
venafi,Venafi / CyberArk Machine Identity Security,NHI-015,NHI,NATIVE,4,https://www.cyberark.com/products/code-sign-manager/,Securely store private keys in the CyberArk vault or a connected HSM,cyberark-code-sign-mgr-2025,Code Sign Manager is purpose-built for enterprise code-signing key custody and signing-as-a-service
venafi,Venafi / CyberArk Machine Identity Security,NHI-016,NHI,ADD-ON,2,https://www.cyberark.com/products/code-sign-manager/,Avoid shift left attacks with secure code signing operations,cyberark-code-sign-mgr-2025,Signing key governance supports build provenance; SLSA-specific attestation not explicitly documented
venafi,Venafi / CyberArk Machine Identity Security,NHI-017,NHI,ADD-ON,2,https://www.cyberark.com/products/workload-identity-manager/,SPIFFE support offers robust governance and trust,cyberark-wim-2025,Workload Identity Manager issues SPIFFE SVIDs used by Istio/Linkerd/Consul control planes
venafi,Venafi / CyberArk Machine Identity Security,NHI-018,NHI,GAP,0,https://www.cyberark.com/products/machine-identity-security/,TEE attestation not in MIS product scope,cyberark-mis-overview-2025,Confidential-computing attestation out of scope
venafi,Venafi / CyberArk Machine Identity Security,NHI-019,NHI,GAP,0,https://www.cyberark.com/products/machine-identity-security/,AI agent credential brokering not in MIS scope,cyberark-mis-overview-2025,Conjur/PAM handles secrets injection for AI agents
venafi,Venafi / CyberArk Machine Identity Security,NHI-020,NHI,GAP,0,https://www.cyberark.com/products/machine-identity-security/,ML model registry identity not in MIS product scope,cyberark-mis-overview-2025,
