nhi_id,bucket,short_name,description,typical_secrets,lifecycle,governance_maturity,sources_likely,citation_keys,npe_conformance,spine_id
PID-001,COMMON,Domain / enterprise admin,"Active Directory Domain Admin, Enterprise Admin, Schema Admin and equivalent tier-0 directory roles with control over the identity fabric; the top lateral-movement target","AD passwords; Kerberos TGT/keys; NTLM hashes; smartcard PINs",STATIC,MEDIUM,Y,ms-pth-mitigation-2014;gsa-privileged-identity-playbook-2024;nist-sp-800-53-ac6,HUMAN-IDENTITY,SPN-001
PID-002,COMMON,Windows local administrator,"Built-in or named local Administrator on Windows servers and workstations; frequently shares a common password across the estate (LAPS gap)","Local SAM password hashes; LAPS-managed passwords; cached credentials",STATIC,LOW,Y,ms-pth-mitigation-2014;cisa-credential-control-2018;gartner-pam-mq-2024,HUMAN-IDENTITY,SPN-001
PID-003,COMMON,Unix/Linux root superuser,"root and uid-0 equivalents on Unix/Linux hosts; direct or via sudo/su; highest-privilege account on the platform","root password; SSH private keys; sudoers entries",STATIC,LOW,Y,nist-sp-800-53-ac6;delinea-pam-2024;gsa-privileged-identity-playbook-2024,HUMAN-IDENTITY,SPN-001
PID-004,COMMON,Database administrator (DBA),"Privileged DBA principals (Oracle SYS/SYSTEM, SQL Server sa/sysadmin, PostgreSQL superuser, MySQL root) with schema, data and audit-config control","DB passwords; wallet credentials; client certs; privileged DB roles",STATIC,LOW,Y,nist-sp-800-53-ac2;gartner-pam-mq-2024;cyberark-pam-2025,HUMAN-IDENTITY,SPN-001
PID-005,COMMON,Generic service account,"Non-human application/system service account (svc_-prefixed, daemon, batch) running services, scheduled tasks and middleware; rarely rotated, often over-privileged","Static passwords; SSH keys; API keys; Kerberos keytabs",STATIC,LOW,Y,nist-sp-800-53-ac2;cyberark-pam-2025;verizon-dbir-2024,CONFORMANT,SPN-009
PID-006,COMMON,Application-to-application (A2A) credential,"Embedded/hard-coded credential an application uses to authenticate to another application, database or middleware; the classic vaulting/brokering target","Hard-coded passwords; connection-string secrets; API keys; client certs",LONG-LIVED,LOW,Y,cyberark-pam-2025;owasp-sm-cheatsheet-2024;beyondtrust-pam-2024,CONFORMANT,SPN-009
PID-007,COMMON,Cloud privileged IAM principal,"Highly privileged cloud identity (AWS root/Administrator/OrganizationAccountAccessRole, Azure Global Admin/Owner, GCP Organization Admin) governed via CIEM","Long-lived access keys; STS/assume-role tokens; managed-identity tokens; service-account keys",LONG-LIVED,MEDIUM,Y,gartner-pam-mq-2024;nist-sp-800-207-2020;delinea-pam-2024,CONFORMANT,SPN-014
PID-008,COMMON,Network device admin,"Privileged administrator of routers, switches, firewalls, load-balancers and SD-WAN edges, often via TACACS+/RADIUS or local enable accounts","Enable/secret passwords; SSH keys; TACACS+ shared secrets; SNMPv3 creds",STATIC,LOW,Y,cisa-credential-control-2018;gsa-privileged-identity-playbook-2024;beyondtrust-pam-2024,HUMAN-IDENTITY,SPN-001
PID-009,COMMON,Hypervisor / virtualization admin,"Privileged admin of the virtualization layer (VMware vCenter/ESXi, Hyper-V, Nutanix, KVM) with control over all guest workloads and snapshots","vCenter/ESXi credentials; SSO admin passwords; host root passwords",STATIC,LOW,Y,gartner-pam-mq-2024;cisa-credential-control-2018;cyberark-pam-2025,HUMAN-IDENTITY,SPN-001
PID-010,COMMON,SaaS / console super-admin,"Tenant super-administrator of a SaaS or management console (M365 Global Admin, Okta super admin, Salesforce sys admin, ServiceNow admin, Workday security admin)","Console passwords; MFA tokens; API admin keys; SAML/OIDC admin sessions",LONG-LIVED,MEDIUM,Y,gartner-pam-mq-2024;kuppingercole-pam-lc-2024;verizon-dbir-2024,HUMAN-IDENTITY,SPN-001
