vendor_slug,vendor_name,target_id,target_type,coverage,maturity,evidence_url,evidence_quote,citation_keys,notes
delinea,Delinea,UC-P-001,UC-F,NATIVE,5,https://delinea.com/products/secret-server,"Enterprise password vault with automated rotation and encryption",delinea-secret-server-2025,"Secret Server Remote Password Changing (RPC) covers AD, service, local, and SSH accounts. AWS/Azure Secrets Manager sync added 2024."
delinea,Delinea,UC-P-002,UC-F,NATIVE,5,https://delinea.com/products/secret-server/features/privileged-session-management,"RDP and SSH sessions proxy through Secret Server vault",delinea-session-mgmt-2025,"Forced-proxy ensures no direct server access; sessions routed through vault enforcing credential injection."
delinea,Delinea,UC-P-003,UC-F,NATIVE,5,https://delinea.com/products/secret-server/features/session-recording,"Record keystrokes and video for SQL RDP SSH PuTTY sessions",delinea-session-recording-2025,"Full keystroke and screen recording with searchable playback; keystroke search for sudo commands on SSH."
delinea,Delinea,UC-P-004,UC-F,NATIVE,4,https://delinea.com/solutions/zero-standing-privilege,"Just-in-time access removes standing privilege after time limit",delinea-jit-zsp-2025,"Broker-and-remove workflow with approval, time-bound grant, and auto password rotation post-session. Delivered via Cloud Suite and Server PAM."
delinea,Delinea,UC-P-005,UC-F,NATIVE,4,https://delinea.com/resources/service-account-discovery-tool,"Discover privileged accounts on systems devices and applications",delinea-discovery-2025,"Service Account Discovery tool for Windows AD; Privilege Manager discovers machines and accounts with admin rights on endpoints."
delinea,Delinea,UC-P-006,UC-F,NATIVE,4,https://delinea.com/what-is/application-to-application-password-management-aapm,"Applications retrieve passwords dynamically via PAM APIs",delinea-aapm-2025,"AAPM and Delegated Machine Credentials (DMC) allow workloads to call vault APIs using machine OAuth2 token; removes hardcoded secrets."
delinea,Delinea,UC-P-007,UC-F,NATIVE,5,https://docs.delinea.com/online-help/delinea-platform/authentication/mfa-for-secrets.htm,"MFA enforcement on secrets via FIDO2 YubiKey mobile push",delinea-mfa-secrets-2025,"Adaptive MFA for PAM; supports Delinea Mobile App, YubiKey/FIDO2, Microsoft Authenticator. MFA enforcement at depth announced 2023."
delinea,Delinea,UC-P-008,UC-F,NATIVE,4,https://docs.delinea.com/online-help/secret-server/backup-and-disaster-recovery/break-glass/index.htm,"Unlimited Administrator mode with dual-control and audit trail",delinea-breakglass-2025,"Break-glass via Unlimited Admin mode; requires dual-person approval, triggers email alert, full audit; resilient secrets provide offline cache."
delinea,Delinea,UC-P-009,UC-F,NATIVE,5,https://delinea.com/products/privilege-manager,"Endpoint least privilege and application control for Windows macOS",delinea-privmgr-2025,"Privilege Manager removes local admin rights, elevates per-application, enforces application control. Market-leading dedicated EPM product."
delinea,Delinea,UC-P-010,UC-F,NATIVE,4,https://delinea.com/products/server-suite,"Granular least-privilege JIT elevation for Linux UNIX Windows servers",delinea-serversuite-2025,"Server Suite / Cloud Suite enforces just-enough privilege per-command on Unix/Linux; Privilege Control for Cloud Entitlements right-sizes cloud entitlements."
delinea,Delinea,UC-P-011,UC-F,NATIVE,5,https://delinea.com/products/privileged-remote-access,"Browser-based VPN-less privileged remote access for vendors contractors",delinea-pra-2025,"Dedicated Privileged Remote Access product; JIT vaulted-credential injection, session recording, MFA, approval workflow for third parties."
delinea,Delinea,UC-P-012,UC-F,NATIVE,4,https://delinea.com/products/privilege-control-for-cloud-entitlements,"Discover and right-size entitlements across AWS Azure GCP",delinea-pcce-2025,"Privilege Control for Cloud Entitlements (PCCE) — Microsoft-selected replacement for Entra Permissions Management (retired Oct 2025). Covers multi-cloud IAM."
delinea,Delinea,UC-P-013,UC-F,NATIVE,3,https://delinea.com/what-is/delegated-machine-credential,"Machine identity OAuth2 token delegates workload vault access",delinea-dmc-2025,"Delegated Machine Credentials use Cloud Suite agent footprint as machine identity; no per-workload service accounts; secretless credential brokering. Not full SPIFFE/SPIRE attestation."
delinea,Delinea,UC-P-014,UC-F,ADD-ON,3,https://delinea.com/products/identity-access-certification,"Automatically extract and correlate user and access data",delinea-fastpath-2025,"Fastpath Access Review (partner-integrated add-on): automated access certification workflows and remediation reporting. Not native to core Secret Server; requires Fastpath module."
delinea,Delinea,UC-P-015,UC-N,NATIVE,4,https://delinea.com/products/privileged-behavior-analytics,"Detect deviations with dynamic baseline behavioral indicators",delinea-pba-2025,"Privileged Behavior Analytics (PBA) + Identity Threat Protection (ITP) via Authomize acquisition; AI-driven risk scoring across privileged identities."
delinea,Delinea,UC-P-016,UC-N,NATIVE,4,https://delinea.com/products/ai-driven-auditing,"AI-driven auditing flags anomalies in privileged sessions",delinea-ai-audit-2025,"AI-Driven Auditing analyses session recordings for anomalies; ITDR correlates behaviour across users tokens service accounts; patent-backed credential-sharing detection."
delinea,Delinea,UC-P-017,UC-N,NATIVE,4,https://docs.delinea.com/online-help/secret-server/backup-and-disaster-recovery/disaster-recovery/index.htm,"Clustering resilient secrets SQL AlwaysOn for high availability",delinea-dr-2025,"Multi-node clustering, SQL AlwaysOn, RabbitMQ HA, resilient-secrets selective replication (on-prem to cloud). Cloud-hosted SaaS option removes most infra HA burden."
