ev_id,requirement,dimension,tier,example_artifact,sensitivity_tag,citation_keys
EV-IGA-JOINER-LOG,"A joiner provisioning audit log tying each joiner's grants to an HR effective-start event and a named role/birthright rule, with the manual-vs-automated grant ratio and time-to-first-access against SLA.",coverage,primary,"e.g., a provisioning audit-log export plus the versioned birthright role-policy register",[INTERNAL],nist-sp-800-53-ac2;apra-cps-234-para21
EV-IGA-LEAVER-SLA-REPORT,"A leaver de-provisioning SLA report showing per-account termination-event timestamp to disable timestamp, percentage within SLA, breach list with root cause, and coverage across SaaS and on-prem targets.",depth,primary,"e.g., a leaver SLA / de-provisioning report with the termination-to-disable distribution",[INTERNAL],asd-ism-0430;nist-sp-800-53-ac2-3
EV-IGA-ORPHAN-SCAN,"An orphan-account scan plus dormant-account (inactivity) report identifying accounts with no valid owner and accounts past the inactivity threshold (e.g. 45 days), with remediation/disable actions and approvals and scan coverage of in-scope systems.",coverage,primary,"e.g., a reconciliation scan output listing orphan and dormant accounts with disposition",[INTERNAL],nist-sp-800-53-ac2-3;asd-ism-1404
EV-IGA-CERT-COMPLETION-REPORT,"A certification campaign completion report: scope/population, item counts, percentage reviewed within window (target >=95%), decision breakdown, no-decision handling, on-time vs overdue, named reviewers and rubber-stamp/bulk-approve analytics.",depth,primary,"e.g., a per-campaign completion report with reviewer and decision analytics",[INTERNAL],nist-sp-800-53-ac2j;apra-cps-234-para27
EV-IGA-CERT-REVOCATION-LOG,"A certification revocation / remediation log: every revoke decision with decision timestamp, action timestamp, SLA met/missed, target system and closed-loop confirmation the entitlement was actually removed; privileged revocations on the tight SLA broken out.",enforcement,primary,"e.g., a closed-loop revocation log with SLA attainment per decision",[INTERNAL],nist-sp-800-53-ac2-3;nist-sp-800-53-ac6-7
EV-IGA-CERT-ATTESTATION-EXPORT,"A reviewer attestation export: per-item attestation records with reviewer identity, accountable owner, decision, justification, timestamp and (for privileged) named sign-off, retained tamper-evidently.",governance,follow-up,"e.g., an immutable per-item attestation export including last-reviewed dates",[INTERNAL],asd-ism-0407;sox-icfr-13a15f
EV-IGA-SOD-RULESET,"A versioned SoD ruleset / policy register where each rule has a business rationale, named owner, risk rating and the conflicting functions/entitlements it covers, with review dates demonstrating a living register.",governance,primary,"e.g., a version-controlled SoD ruleset export with owners and review history",[INTERNAL],nist-sp-800-53-ac5;apra-cps-234-para14
EV-IGA-SOD-VIOLATION-REGISTER,"A SoD violation register recording per conflict the rule, affected identity, affected systems, risk rating, disposition, documented mitigating control, owner and next-review/expiry, traceable across scan cycles.",depth,primary,"e.g., a violation register with documented specific mitigating controls and bounded exceptions",[INTERNAL],nist-sp-800-53-ac5;apra-cps-234-para27
EV-IGA-SOD-BLOCK-LOG,"A request-time SoD block log: access requests that triggered an SoD rule, the decision (blocked/overridden), the named approver, justification and timestamp, across all provisioning channels including birthright and break-glass.",scope,primary,"e.g., a request-time block/override log covering all provisioning channels",[INTERNAL],nist-sp-800-53-ac5;sox-pl107-204-authorizations
EV-IGA-ROLE-MODEL,"A role model document: role catalogue with role name, owner, contained entitlements, eligible population and business justification; business-vs-technical role mapping; and a coverage metric (percentage of users/entitlements explained by an approved role).",coverage,primary,"e.g., an owner-approved role model document plus a role-mining coverage metric",[INTERNAL],nist-sp-800-53-ac6;apra-cpg-234-least-privilege
