uc_id,archetype_id,params,notes
UC-P-001,A4,"credential_type=privileged account passwords, keys and A2A credentials;nhi_population=in-scope privileged accounts;sla=rotation on schedule and on check-in/release",Privileged credential vaulting & rotation
UC-P-002,A1,"control=privileged session brokering through an isolation proxy;nhi_population=privileged sessions to in-scope targets;scope=all in-scope privileged targets",Privileged session isolation / proxy
UC-P-003,A3,"capability=privileged session recording with searchable command metadata;nhi_population=privileged sessions to in-scope targets;config_target=tamper-evident retention with high-risk-command flagging",Privileged session recording & audit
UC-P-004,A2,"target_pattern=just-in-time, time-bound privileged elevation (zero standing privilege);nhi_population=in-scope privileged accounts and roles;legacy_pattern=always-on standing privileged role membership;threshold=the bulk of standing privileged roles",Just-in-time elevation / zero standing privilege
UC-P-005,A5,"nhi_population=privileged and local-admin accounts across the estate;threshold=95%;cadence=recurring discovery sweep;system=the PAM onboarding and governance inventory",Privileged & local-admin account discovery
UC-P-006,A2,"target_pattern=runtime credential retrieval from a broker;nhi_population=in-scope applications and their A2A credentials;legacy_pattern=hard-coded credentials in application code and config;threshold=the bulk of in-scope applications",Application-to-application credential brokering
UC-P-007,A1,"control=phishing-resistant MFA at the privileged elevation and proxy point;nhi_population=all in-scope privileged access;scope=all privileged access paths, with FIDO2 for tier-0",MFA for privileged access
UC-P-008,A7,"process=the break-glass emergency privileged-access checkout process;cadence=on every use and a periodic review",Break-glass / emergency access
UC-P-009,A1,"control=per-application privilege elevation with standing local-admin removed;nhi_population=in-scope endpoints and their users;scope=all in-scope endpoints",Endpoint privilege management (EPM)
UC-P-010,A2,"target_pattern=right-sized least-privilege entitlements;nhi_population=in-scope privileged accounts and their entitlements;legacy_pattern=over-provisioned standing privileged entitlements;threshold=the bulk of identified excess entitlements",Least-privilege / entitlement right-sizing
UC-P-011,A1,"control=brokered and recorded third-party privileged access through the PAM proxy;nhi_population=vendor and remote privileged sessions;scope=all third-party and vendor privileged access",Privileged remote / third-party vendor access
UC-P-012,A3,"capability=cloud privileged entitlement analysis (CIEM);nhi_population=privileged human and workload cloud identities;config_target=over-permissioned entitlements detected and remediated with effective-permission drift monitoring across AWS, Azure and GCP",Cloud entitlement management (CIEM) for privileged cloud identities
UC-P-013,A2,"target_pattern=attestation-based short-lived workload tokens;nhi_population=in-scope privileged workloads;legacy_pattern=stored standing workload secrets;threshold=the bulk of in-scope privileged workloads",Secretless privileged workload attestation
UC-P-014,A5,"nhi_population=in-scope privileged accounts and grants;threshold=95%;cadence=recertification cycle;system=the access-governance audit evidence store",Privileged-account certification / recertification
UC-P-015,A3,"capability=privileged-access behavioral threat analytics (UEBA);nhi_population=privileged sessions and credential use;config_target=anomalies alerted to the SOC in near real time and mapped to investigation runbooks",Privileged-access threat analytics
UC-P-016,A3,"capability=privileged credential-theft detection covering pass-the-hash, Kerberoasting, DCSync and token theft;nhi_population=in-scope privileged accounts;config_target=detections correlated to affected accounts and triggering response playbooks",Privileged credential-theft detection
UC-P-017,A8,"artifact=a PAM resilience, failover and backup test attestation;cadence=DR-test cycle;scope=the PAM platform, vault and break-glass emergency-access paths;sla=the agreed post-test reporting window",Privileged-access resilience & operational continuity
UC-P-018,A1,"control=privileged administration permitted only from dedicated hardened Secure Admin Workstations, with non-SAW access to tier-0 targets blocked at the proxy / conditional-access layer;nhi_population=tier-0 and in-scope privileged sessions and the administrators behind them;scope=all tier-0 administrative paths including directory, virtualization, network devices and the PAM platform itself",Secure admin workstations (SAW/PAW) for tier-0 isolation
UC-P-019,A2,"target_pattern=brokered, recorded agent privileged sessions with no standing agent credential;nhi_population=autonomous/agentic privileged operators (PID-021);legacy_pattern=agents using standing privileged service accounts or unbrokered access;threshold=all agent privileged access paths",Agent privileged-session brokering
UC-P-020,A2,"target_pattern=just-in-time, time-boxed, purpose-bound agent privilege (zero standing privilege);nhi_population=autonomous/agentic privileged operators (PID-021);legacy_pattern=agents holding standing administrative rights between tasks;threshold=the bulk of agent privilege grants",Agent JIT elevation / zero standing privilege
UC-P-021,A3,"capability=behavioural detection of anomalous agent privileged sessions (off-purpose tool use, scope inflation, abnormal velocity);nhi_population=agent privileged sessions (PID-021);config_target=deviations alerted to the SOC in near real time, attributed to the agent and owner, and mapped to a containment runbook",Agentic privileged-behaviour detection
