vendor_slug,vendor_name,target_id,target_type,coverage,maturity,evidence_url,evidence_quote,citation_keys,notes
doppler,Doppler,NHI-001,NHI,NATIVE,3,https://docs.doppler.com/docs/aws,Doppler syncs secrets to AWS Secrets Manager and supports dynamic AWS IAM credentials with ephemeral users,doppler-docs-integrations-2025;doppler-dynamic-secrets-docs-2025,Dynamic AWS IAM (Enterprise-only); OIDC service account identities for workload auth
doppler,Doppler,NHI-002,NHI,NATIVE,3,https://docs.doppler.com/docs/kubernetes-operator-oidc,Doppler Kubernetes Operator supports OIDC authentication using short-lived tokens instead of static API tokens,doppler-k8s-oidc-docs-2025,K8s Operator OIDC requires Team/Enterprise plan and v1.7.0+; ESO provider also available
doppler,Doppler,NHI-003,NHI,NATIVE,3,https://docs.doppler.com/docs/service-account-identities,Service account identities allow CI systems to authenticate using short-lived OIDC tokens without storing long-lived API tokens,doppler-service-account-identities-2025,GitHub Actions / GitLab / CircleCI OIDC supported; Team/Enterprise plan required
doppler,Doppler,NHI-004,NHI,ADD-ON,2,https://docs.doppler.com/docs/kubernetes-operator-oidc,Doppler K8s Operator can sync secrets including image-pull credentials to Kubernetes Secrets,doppler-k8s-oidc-docs-2025,No first-class registry credential rotation; pull creds must be manually structured as Doppler secrets
doppler,Doppler,NHI-005,NHI,NATIVE,2,https://docs.doppler.com/docs/secrets-rotation,Rotation supported for AWS RDS MySQL and Postgres GCP Cloud SQL and MongoDB Atlas via two-secret strategy,doppler-rotation-docs-2025,Dynamic DB creds Enterprise-only; Oracle/MSSQL/Snowflake/Redshift not covered
doppler,Doppler,NHI-006,NHI,GAP,0,https://docs.doppler.com/docs,No PKI certificate management or SPIFFE/SPIRE integration documented,doppler-docs-integrations-2025,Fundamental architectural gap; Doppler does not issue or manage X.509 certificates
doppler,Doppler,NHI-007,NHI,NATIVE,3,https://www.doppler.com/security,Doppler centralizes all secrets including SaaS API keys with versioning access control and audit logs,doppler-security-page-2025,Core product use case; sync to GitHub/CircleCI/Vercel/etc keeps SaaS keys out of code
doppler,Doppler,NHI-008,NHI,NATIVE,2,https://docs.doppler.com/docs/github-actions,Doppler syncs secrets to GitHub Actions Secrets and supports OIDC-based service tokens for repos,doppler-github-actions-docs-2025,Sync removes hardcoded PATs from repos; no push-protection or historical secret-scanning
doppler,Doppler,NHI-009,NHI,NATIVE,2,https://docs.doppler.com/docs,Terraform Cloud Pulumi ESC Harness and Ansible integrations allow IaC runs to pull secrets at apply-time,doppler-docs-integrations-2025,No AppRole equivalent; relies on service token or OIDC identity; no state-file scanning
doppler,Doppler,NHI-010,NHI,NATIVE,2,https://docs.doppler.com/docs,Doppler stores and distributes monitoring agent API keys via environment sync to all supported platforms,doppler-docs-integrations-2025,No agent-class rotation workflow; keys distributed via env sync; no telemetry-pipeline scrubbing
doppler,Doppler,NHI-011,NHI,ADD-ON,1,https://docs.doppler.com/docs,Kafka and message-broker credentials can be stored in Doppler and distributed via CLI or sync integrations,doppler-docs-integrations-2025,[INDUSTRY-CONSENSUS] No native Kafka/RabbitMQ rotation or mTLS cert management
doppler,Doppler,NHI-012,NHI,GAP,0,https://docs.doppler.com/docs,No Active Directory or LDAP integration documented in Doppler platform,doppler-docs-integrations-2025,SaaS cloud-native platform; gMSA and Kerberos out of scope
doppler,Doppler,NHI-013,NHI,ADD-ON,1,https://docs.doppler.com/docs,API gateway upstream credentials can be stored in Doppler and injected at runtime,doppler-docs-integrations-2025,[INDUSTRY-CONSENSUS] No gateway-specific cert lifecycle or mTLS provisioning
doppler,Doppler,NHI-014,NHI,GAP,0,https://docs.doppler.com/docs,No RPA orchestrator integration; UiPath Blue Prism Automation Anywhere not supported,doppler-docs-integrations-2025,[INDUSTRY-CONSENSUS] No session-bound credential checkout for bots
doppler,Doppler,NHI-015,NHI,GAP,0,https://docs.doppler.com/docs,No code-signing certificate management or Sigstore/Fulcio integration,doppler-docs-integrations-2025,Structural gap; no PKI or signing capability in platform
doppler,Doppler,NHI-016,NHI,GAP,0,https://docs.doppler.com/docs,No SLSA in-toto or build-provenance attestation identity management,doppler-docs-integrations-2025,Out of scope for secrets-store-only platform
doppler,Doppler,NHI-017,NHI,GAP,0,https://docs.doppler.com/docs,No service mesh CA or intermediate CA management for Istio Linkerd or Consul,doppler-docs-integrations-2025,No PKI capability; mesh control-plane identity out of scope
doppler,Doppler,NHI-018,NHI,GAP,0,https://docs.doppler.com/docs,No TEE attestation-gated secret release for Nitro SGX SEV-SNP or Azure MAA,doppler-docs-integrations-2025,Confidential-computing integration not on public roadmap
doppler,Doppler,NHI-019,NHI,NATIVE,2,https://docs.doppler.com/docs/mcp,Doppler MCP Server provides AI agents scoped read-only access to secrets with per-project per-config token restrictions,doppler-mcp-docs-2025,Experimental status as of 2026; intended for dev/test; not GA for production
doppler,Doppler,NHI-020,NHI,ADD-ON,1,https://docs.doppler.com/docs,ML registry tokens and model API keys can be stored and distributed via Doppler,doppler-docs-integrations-2025,[INDUSTRY-CONSENSUS] No model-registry-specific lifecycle management
doppler,Doppler,NHI-021,NHI,GAP,0,https://docs.doppler.com/docs,No IoT device enrolment DPS EST SCEP or TPM-backed per-device certificate management,doppler-docs-integrations-2025,Cloud SaaS platform; device-scale identity out of scope
doppler,Doppler,NHI-022,NHI,GAP,0,https://docs.doppler.com/docs,No RACF ACF2 Top Secret IBM-i or ICSF integration for mainframe service identities,doppler-docs-integrations-2025,Mainframe integration structurally out of scope for SaaS-first product
doppler,Doppler,NHI-023,NHI,GAP,0,https://docs.doppler.com/docs,Doppler is a secrets store not a KMS; no TDE master key custody or database-encryption key management,doppler-docs-integrations-2025,EKM feature is BYOK for Doppler's own encryption not customer DB key management
doppler,Doppler,NHI-024,NHI,GAP,0,https://docs.doppler.com/docs/security-fact-sheet,Doppler uses GCP KMS HSM-backed keys internally but does not expose HSM operator identity governance,doppler-security-fact-sheet-2025,No quorum/MofN controls exposed to customers
doppler,Doppler,NHI-025,NHI,GAP,0,https://docs.doppler.com/docs,No private CA functionality; no ACME EST or SCEP enrolment agent roles,doppler-docs-integrations-2025,PKI CA capability entirely absent from Doppler platform
doppler,Doppler,NHI-026,NHI,GAP,0,https://docs.doppler.com/docs,No backup agent (NetBackup Commvault Veeam Rubrik Cohesity) credential integration,doppler-docs-integrations-2025,[INDUSTRY-CONSENSUS] Critical gap for ransomware resilience use case
doppler,Doppler,NHI-027,NHI,ADD-ON,1,https://docs.doppler.com/docs,OAuth confidential client secrets storable; no OBO token-exchange broker or DPoP key management,doppler-docs-integrations-2025,[INDUSTRY-CONSENSUS] BFF/OBO patterns require additional tooling
doppler,Doppler,NHI-028,NHI,GAP,0,https://docs.doppler.com/docs,No FAPI 2.0 mTLS client cert CDR or Open Banking partner identity lifecycle management,doppler-docs-integrations-2025,No PKI or regulatory-framework-aware cert management
doppler,Doppler,NHI-029,NHI,ADD-ON,1,https://docs.doppler.com/docs/service-tokens,Service tokens provide read-only config-scoped access; no PAM-style session recording or JIT elevation,doppler-service-tokens-docs-2025,Suitable for simple NHI access; not a PAM replacement for shared functional IDs
