vendor_slug,vendor_name,target_id,target_type,coverage,maturity,evidence_url,evidence_quote,citation_keys,notes
keyfactor,Keyfactor,NHI-001,NHI,GAP,0,https://www.keyfactor.com/products/command/,,keyfactor-command-2024,PKI/cert platform; no cloud IAM role/SA management
keyfactor,Keyfactor,NHI-002,NHI,ADD-ON,2,https://www.keyfactor.com/integrations/,EJBCA and Command listed alongside cert-manager integration,keyfactor-integrations-2024,EJBCA ACME + cert-manager issues TLS certs to K8s workloads; direct SA token mgmt out of scope
keyfactor,Keyfactor,NHI-003,NHI,ADD-ON,2,https://www.keyfactor.com/products/signserver-enterprise/,Easily integrate signing processes with your CI/CD tools,keyfactor-signserver-2024,SignServer CI/CD code signing + Command cert renewal in pipelines; static secrets out of scope
keyfactor,Keyfactor,NHI-004,NHI,GAP,0,https://www.keyfactor.com/products/command/,,keyfactor-command-2024,No container registry credential management
keyfactor,Keyfactor,NHI-005,NHI,GAP,0,https://www.keyfactor.com/products/command/,,keyfactor-command-2024,No dynamic database credential engine
keyfactor,Keyfactor,NHI-006,NHI,NATIVE,4,https://www.keyfactor.com/products/command/,discovers protects and automates every certificate everywhere,keyfactor-command-2024,Core platform: TLS + mTLS cert issuance lifecycle automation at enterprise scale
keyfactor,Keyfactor,NHI-007,NHI,GAP,0,https://www.keyfactor.com/products/command/,,keyfactor-command-2024,Outside PKI/cert scope
keyfactor,Keyfactor,NHI-008,NHI,GAP,0,https://www.keyfactor.com/products/command/,,keyfactor-command-2024,No git credential management
keyfactor,Keyfactor,NHI-009,NHI,ADD-ON,2,https://www.keyfactor.com/integrations/,Ansible and Terraform listed as Command + EJBCA integrations,keyfactor-integrations-2024,Ansible/Terraform integrations issue certs at apply-time; generic secret injection not in scope
keyfactor,Keyfactor,NHI-010,NHI,ADD-ON,2,https://www.keyfactor.com/products/ejbca-enterprise/,Integrate with any application or use case via support for multiple formats protocols and algorithms,keyfactor-ejbca-2024,Cert-based auth issuable to monitoring agents via EJBCA SCEP/ACME; Command tracks lifecycle
keyfactor,Keyfactor,NHI-011,NHI,ADD-ON,2,https://www.keyfactor.com/products/ejbca-enterprise/,,keyfactor-ejbca-2024,TLS/mTLS cert issuance to message broker clients; no dynamic broker credential engine
keyfactor,Keyfactor,NHI-012,NHI,ADD-ON,2,https://docs.keyfactor.com/ejbca/latest/ejbca-introduction,support for all common enrollment protocols including ACME EST CMP SCEP and Microsoft Auto-enrollment,ejbca-docs-intro-2024,EJBCA Microsoft Autoenrollment; Command discovers ADCS certs. gMSA provisioning not native
keyfactor,Keyfactor,NHI-013,NHI,NATIVE,3,https://www.keyfactor.com/integrations/,Akamai Technologies Command EJBCA SignServer,keyfactor-integrations-2024,TLS/mTLS cert lifecycle for API gateways; Akamai + F5 + Nginx integrations documented
keyfactor,Keyfactor,NHI-014,NHI,GAP,0,https://www.keyfactor.com/products/command/,,keyfactor-command-2024,No RPA bot credential management
keyfactor,Keyfactor,NHI-015,NHI,NATIVE,4,https://www.keyfactor.com/products/signserver-enterprise/,centrally generate and store signature keys,keyfactor-signserver-2024,SignServer Enterprise: centralised server-side code signing with HSM key custody + audit logs
keyfactor,Keyfactor,NHI-016,NHI,ADD-ON,2,https://www.keyfactor.com/products/signserver-enterprise/,Easily integrate signing processes with your CI/CD tools,keyfactor-signserver-2024,SignServer signs build artifacts in CI/CD; SLSA attestation metadata not natively generated
keyfactor,Keyfactor,NHI-017,NHI,ADD-ON,2,https://www.keyfactor.com/products/ejbca-enterprise/,Automate certificate enrollment via ACME SCEP EST CMP,keyfactor-ejbca-2024,EJBCA external CA for Istio/Consul Connect via ACME/REST; no native mesh control-plane agent
keyfactor,Keyfactor,NHI-018,NHI,GAP,0,https://www.keyfactor.com/products/command/,,keyfactor-command-2024,No TEE/confidential compute attestation capability
keyfactor,Keyfactor,NHI-019,NHI,GAP,0,https://www.keyfactor.com/products/command/,,keyfactor-command-2024,No AI agent identity management
keyfactor,Keyfactor,NHI-020,NHI,GAP,0,https://www.keyfactor.com/products/command/,,keyfactor-command-2024,No model registry signing capability documented
keyfactor,Keyfactor,NHI-021,NHI,NATIVE,4,https://www.keyfactor.com/products/ejbca-enterprise/,Integrate with any application or use case including IoT and DevOps tools,keyfactor-ejbca-2024,EJBCA leading IoT identity platform; EST SCEP CMP for device enrollment at millions-of-devices scale
keyfactor,Keyfactor,NHI-022,NHI,GAP,0,https://www.keyfactor.com/products/command/,,keyfactor-command-2024,No mainframe cert management stated; requires custom integration
keyfactor,Keyfactor,NHI-023,NHI,GAP,0,https://www.keyfactor.com/products/command/,,keyfactor-command-2024,Not a KMS/TDE key management platform
keyfactor,Keyfactor,NHI-024,NHI,ADD-ON,3,https://www.keyfactor.com/products/ejbca-enterprise/,Securely generate and store signing keys by leveraging your on-premises or cloud HSM,keyfactor-ejbca-2024;keyfactor-signserver-2024,EJBCA PKCS#11 HSM for CA keys; SignServer cloud + on-prem HSM; quorum break-glass not native
keyfactor,Keyfactor,NHI-025,NHI,NATIVE,4,https://docs.keyfactor.com/ejbca/latest/ejbca-introduction,EJBCA provides full capabilities for issuing certificates,ejbca-docs-intro-2024,EJBCA full CA admin/RA/audit roles; Command RBAC governs enrollment and management
keyfactor,Keyfactor,NHI-026,NHI,GAP,0,https://www.keyfactor.com/products/command/,,keyfactor-command-2024,No backup agent credential management
keyfactor,Keyfactor,NHI-027,NHI,GAP,0,https://www.keyfactor.com/products/command/,,keyfactor-command-2024,OAuth/OIDC token delegation outside PKI platform scope
keyfactor,Keyfactor,NHI-028,NHI,NATIVE,3,https://www.keyfactor.com/solutions/financial-services/,Demonstrate compliance without delay,keyfactor-finserv-2024,EJBCA issues mTLS client certs for FAPI 2.0/Open Banking; financial services track record
keyfactor,Keyfactor,NHI-029,NHI,GAP,0,https://www.keyfactor.com/products/command/,,keyfactor-command-2024,PAM/shared account management not in scope
keyfactor,Keyfactor,NHI-030,NHI,GAP,0,https://www.keyfactor.com/products/command/,,keyfactor-command-2024,No OAuth app governance capability
keyfactor,Keyfactor,NHI-031,NHI,ADD-ON,2,https://www.keyfactor.com/products/ejbca-enterprise/,,keyfactor-ejbca-2024,EJBCA can issue TLS client certs for webhook callers; no dedicated webhook signing product
keyfactor,Keyfactor,NHI-032,NHI,NATIVE,3,https://www.keyfactor.com/products/ejbca-enterprise/,Automate certificate enrollment via ACME SCEP EST CMP,keyfactor-ejbca-2024,EJBCA SCEP standard for network device cert enrollment (Cisco/Juniper); Command lifecycle mgmt
keyfactor,Keyfactor,NHI-033,NHI,ADD-ON,1,https://www.keyfactor.com/products/ejbca-enterprise/,,keyfactor-ejbca-2024,EJBCA SCEP/EST can issue certs to branch peripherals; no dedicated peripheral management
keyfactor,Keyfactor,NHI-034,NHI,NATIVE,4,https://docs.keyfactor.com/ejbca/latest/issue-composite-certificates,Learn how to configure EJBCA to issue certificates using composite keys combining classical and quantum-safe,ejbca-pqc-guide-2024,EJBCA composite cert issuance (ML-DSA + RSA/ECDSA/EdDSA) via Bouncy Castle; PQC Lab Test Drive GA
keyfactor,Keyfactor,NHI-035,NHI,GAP,0,https://www.keyfactor.com/products/command/,,keyfactor-command-2024,Not a general-purpose secrets vault; no broker identity management
keyfactor,Keyfactor,NHI-036,NHI,ADD-ON,2,https://www.keyfactor.com/products/ejbca-enterprise/,Automate certificate enrollment via ACME SCEP EST CMP,keyfactor-ejbca-2024,EJBCA can issue X.509 SVIDs (SPIFFE-compatible) via ACME/REST; no native SPIRE server/agent
keyfactor,Keyfactor,NHI-037,NHI,NATIVE,3,https://www.keyfactor.com/products/command/,discovers protects and automates every certificate everywhere,keyfactor-command-2024,Command continuous discovery finds unknown/orphaned certs; expiry tracking + policy enforcement
keyfactor,Keyfactor,UC-F-001,UC-F,GAP,0,https://www.keyfactor.com/products/command/,,keyfactor-command-2024,No secret sprawl detection in repos
keyfactor,Keyfactor,UC-F-002,UC-F,GAP,0,https://www.keyfactor.com/products/command/,,keyfactor-command-2024,No git-history scanning capability
keyfactor,Keyfactor,UC-F-003,UC-F,GAP,0,https://www.keyfactor.com/products/command/,,keyfactor-command-2024,Cloud credential brokering not in scope
keyfactor,Keyfactor,UC-F-004,UC-F,ADD-ON,2,https://www.keyfactor.com/products/ejbca-enterprise/,Automate certificate enrollment via ACME SCEP EST CMP,keyfactor-ejbca-2024,EJBCA issues X.509 SVIDs; no SPIRE server/agent integration
keyfactor,Keyfactor,UC-F-005,UC-F,GAP,0,https://www.keyfactor.com/products/command/,,keyfactor-command-2024,No dynamic database credential engine
keyfactor,Keyfactor,UC-F-006,UC-F,GAP,0,https://www.keyfactor.com/products/command/,,keyfactor-command-2024,Command rotates certs; generic static secret rotation not in scope
keyfactor,Keyfactor,UC-F-007,UC-F,NATIVE,4,https://www.keyfactor.com/products/command/,discovers protects and automates every certificate everywhere,keyfactor-command-2024,Command immediate cert revocation + CRL/OCSP propagation via EJBCA
keyfactor,Keyfactor,UC-F-008,UC-F,ADD-ON,2,https://www.keyfactor.com/integrations/,EJBCA listed alongside cert-manager Kubernetes integration,keyfactor-integrations-2024,cert-manager/ACME issues TLS certs to K8s pods; non-cert secret injection not in scope
keyfactor,Keyfactor,UC-F-009,UC-F,GAP,0,https://www.keyfactor.com/products/command/,,keyfactor-command-2024,Registry credential management not in scope
keyfactor,Keyfactor,UC-F-010,UC-F,ADD-ON,2,https://www.keyfactor.com/integrations/,Ansible and Terraform listed as Command + EJBCA integrations,keyfactor-integrations-2024,Ansible/Terraform integrations issue certs at apply-time; general secrets injection not in scope
keyfactor,Keyfactor,UC-F-011,UC-F,ADD-ON,2,https://www.keyfactor.com/products/command/,Ensure private keys are generated and stored securely with integrations to popular HSMs and key vaults,keyfactor-command-2024,Cert-based auth for observability agents; Command tracks and rotates
keyfactor,Keyfactor,UC-F-012,UC-F,ADD-ON,2,https://www.keyfactor.com/products/ejbca-enterprise/,,keyfactor-ejbca-2024,mTLS cert issuance for broker clients; no dynamic broker credential engine
keyfactor,Keyfactor,UC-F-013,UC-F,ADD-ON,2,https://docs.keyfactor.com/ejbca/latest/ejbca-introduction,support for all common enrollment protocols including Microsoft Auto-enrollment,ejbca-docs-intro-2024,EJBCA Microsoft Autoenrollment; Command discovers ADCS certs. gMSA provisioning not native
keyfactor,Keyfactor,UC-F-014,UC-F,NATIVE,3,https://www.keyfactor.com/integrations/,Akamai Technologies Command EJBCA SignServer,keyfactor-integrations-2024,Command/EJBCA automates TLS/mTLS cert lifecycle for API gateways; Akamai integration documented
keyfactor,Keyfactor,UC-F-015,UC-F,GAP,0,https://www.keyfactor.com/products/command/,,keyfactor-command-2024,RPA credential management not in scope
keyfactor,Keyfactor,UC-F-016,UC-F,NATIVE,4,https://www.keyfactor.com/products/signserver-enterprise/,Easily integrate signing processes with your CI/CD tools,keyfactor-signserver-2024,SignServer server-side code signing with HSM key custody integrated with CI/CD via API
keyfactor,Keyfactor,UC-F-017,UC-F,GAP,0,https://www.keyfactor.com/products/command/,,keyfactor-command-2024,No TEE/confidential compute attestation
keyfactor,Keyfactor,UC-F-018,UC-F,GAP,0,https://www.keyfactor.com/products/command/,,keyfactor-command-2024,No AI agent credential management
keyfactor,Keyfactor,UC-F-019,UC-F,NATIVE,4,https://www.keyfactor.com/products/ejbca-enterprise/,Integrate with any application or use case including IoT and DevOps tools,keyfactor-ejbca-2024,EJBCA EST/SCEP/CMP for IoT device enrollment at scale; industry-leading for connected devices
keyfactor,Keyfactor,UC-F-020,UC-F,GAP,0,https://www.keyfactor.com/products/command/,,keyfactor-command-2024,No mainframe credential management
keyfactor,Keyfactor,UC-F-021,UC-F,GAP,0,https://www.keyfactor.com/products/command/,,keyfactor-command-2024,Not in scope
keyfactor,Keyfactor,UC-F-022,UC-F,ADD-ON,2,https://www.keyfactor.com/products/ejbca-enterprise/,,keyfactor-ejbca-2024,TLS client certs for webhook callers via EJBCA; no dedicated webhook signing product
keyfactor,Keyfactor,UC-F-023,UC-F,NATIVE,3,https://www.keyfactor.com/products/ejbca-enterprise/,Automate certificate enrollment via ACME SCEP EST CMP,keyfactor-ejbca-2024,EJBCA SCEP standard for network device cert enrollment (Cisco/Juniper); Command lifecycle mgmt
keyfactor,Keyfactor,UC-F-024,UC-F,NATIVE,3,https://www.keyfactor.com/solutions/financial-services/,Demonstrate compliance without delay,keyfactor-finserv-2024,EJBCA issues mTLS client certs for FAPI/Open Banking; financial services track record
keyfactor,Keyfactor,UC-F-025,UC-F,GAP,0,https://www.keyfactor.com/products/command/,,keyfactor-command-2024,OAuth app governance not in scope
keyfactor,Keyfactor,UC-F-026,UC-F,GAP,0,https://www.keyfactor.com/products/command/,,keyfactor-command-2024,Not a secrets vault platform
