vendor_slug,vendor_name,target_id,target_type,coverage,maturity,evidence_url,evidence_quote,citation_keys,notes
infisical,Infisical,NHI-001,NHI,NATIVE,3,https://infisical.com/docs/documentation/platform/identities/aws-auth,"AWS Auth authenticates using the IAM role attached to the workload",infisical-aws-auth-2024;infisical-dynamic-aws-iam-2024,AWS/Azure/GCP Auth + dynamic AWS IAM secrets supported natively
infisical,Infisical,NHI-002,NHI,NATIVE,3,https://infisical.com/docs/documentation/platform/identities/kubernetes-auth,"Kubernetes Auth uses the pod's projected service account token",infisical-k8s-auth-2024;infisical-k8s-operator-2024,K8s Auth + Operator for secret injection into pods
infisical,Infisical,NHI-003,NHI,NATIVE,3,https://infisical.com/docs/documentation/platform/identities/oidc-auth,"OIDC Auth allows a machine identity to authenticate using an OIDC ID token",infisical-oidc-auth-2024,OIDC Auth supports GitHub Actions / GitLab CI / any OIDC provider
infisical,Infisical,NHI-004,NHI,ADD-ON,2,https://infisical.com/docs/documentation/getting-started/introduction,"Sync secrets to platforms like GitHub Vercel AWS and more",infisical-github-2024,Secret syncs applicable; no dedicated image-pull credential engine
infisical,Infisical,NHI-005,NHI,NATIVE,3,https://infisical.com/docs/documentation/platform/dynamic-secrets/postgresql,"Dynamic secrets for PostgreSQL generate leased database credentials",infisical-dynamic-pg-2024;infisical-rotation-pg-2024,Dynamic secrets + rotation for PostgreSQL and MySQL; Oracle also supported
infisical,Infisical,NHI-006,NHI,NATIVE,3,https://infisical.com/docs/documentation/platform/pki/overview,"Issue certificates using enrollment methods such as API ACME or EST",infisical-pki-2024,Full internal CA hierarchy; external CA (ACME/DigiCert/ADCS); EST enrollment
infisical,Infisical,NHI-007,NHI,ADD-ON,2,https://infisical.com/docs/documentation/platform/secret-rotation/overview,"Secret Rotation v2 rotate secrets at regular intervals for services",infisical-rotation-2024,Rotation v2 can rotate API key secrets; no dedicated OAuth-client rotation engine
infisical,Infisical,NHI-008,NHI,NATIVE,3,https://infisical.com/docs/cli/scanning-overview,"Scanning feature capable of identifying more than 140 different types of secret leaks",infisical-scanning-2024,CLI scanning + pre-commit hook + full git history scan; 140+ secret types
infisical,Infisical,NHI-009,NHI,NATIVE,2,https://infisical.com/docs/documentation/getting-started/introduction,"Sync secrets to platforms like Terraform Ansible and more",infisical-github-2024,Terraform provider; Ansible integration; Infisical Agent for IaC runners
infisical,Infisical,NHI-010,NHI,ADD-ON,2,https://infisical.com/pricing,"Secret Rotation available at Pro and Enterprise tiers",infisical-pricing-2024,Secrets Manager can store agent tokens; rotation v2 for API keys; no observability-specific engine
