Summary,Work Item Type,Description,Priority,Labels,UC-ID,Domain,Regulatory-Driver,State
[PARTIAL] Just-in-time elevation / zero standing privilege,Task,"JIT elevation is now in production for cloud admin and the core Windows server estate with standing membership removed there, but a meaningful share of legacy on-prem and Unix roles still carry always-on privilege pending the next rollout wave.",Highest,pam partial apra-cps-234 asd-ism essential-8,UC-P-004,pam,CPS234-§21; ISM-1247; E8-RAP-ML3,PARTIAL
[GAP] Agent privileged-session brokering,Task,"No agent-aware privileged-session brokering; autonomous agents (where present) run under standing privileged service accounts rather than brokered, recorded, short-lived sessions.",Highest,pam gap apra-cps-234 asd-ism essential-8,UC-P-019,pam,CPS234-§21; ISM-1405; E8-RAP-LOG,GAP
[PARTIAL] Agent JIT elevation / zero standing privilege,Task,"Just-in-time elevation exists for human privileged accounts but is not extended to agent identities, so agents may hold standing privilege between tasks.",Highest,pam partial apra-cps-234 essential-8 mitre-attack,UC-P-020,pam,CPS234-§21; E8-RAP-ML3; T1078,PARTIAL
[PARTIAL] Privileged & local-admin account discovery,Task,"Scheduled discovery runs across AD and the major Unix estate but cloud, DB and SaaS local-admin accounts are scanned ad hoc and newly found accounts are onboarded manually.",High,pam partial apra-cps-234 asd-ism essential-8,UC-P-005,pam,CPS234-§16; ISM-1304; E8-RAP-ML1,PARTIAL
[GAP] Application-to-application credential brokering,Task,Application-to-application credentials are still largely hard-coded in config and CI variables; only two strategic platforms fetch credentials from the broker at runtime.,High,pam gap apra-cps-234 asd-ism essential-8,UC-P-006,pam,CPS234-§15; ISM-1619; E8-RAP-SVC,GAP
[PARTIAL] Endpoint privilege management (EPM),Task,Standing local-admin has been removed from the standard SOE fleet but a sizeable population of developer and engineering workstations still retains local-admin pending an EPM rollout.,High,pam partial apra-cps-234 asd-ism essential-8,UC-P-009,pam,CPS234-§21; ISM-1304; E8-RAP-ML2,PARTIAL
[GAP] Least-privilege / entitlement right-sizing,Task,Privileged entitlements are not yet right-sized against actual usage; no periodic least-privilege baseline review exists and excess grants accumulate over time.,High,pam gap apra-cps-234 asd-ism essential-8,UC-P-010,pam,CPS234-§21; ISM-1247; E8-RAP-ML2,GAP
[GAP] Cloud entitlement management (CIEM) for privileged cloud identities,Task,There is no continuous cloud entitlement analysis across AWS/Azure/GCP; over-permissioned cloud identities are only found during periodic manual reviews.,High,pam gap apra-cps-234 asd-ism essential-8,UC-P-012,pam,CPS234-§21; ISM-1247; E8-RAP-ML2,GAP
[PARTIAL] Privileged-account certification / recertification,Task,"Privileged accounts are recertified annually as part of the broader access review, but the cadence is not risk-tiered and a meaningful share of items are bulk-approved.",High,pam partial apra-cps-234 asd-ism essential-8,UC-P-014,pam,CPS234-§16; ISM-1247; E8-RAP-ML2,PARTIAL
[PARTIAL] Secure admin workstations (SAW/PAW) for tier-0 isolation,Task,"Administrators use separate privileged accounts and sessions are brokered through the PAM proxy, but administration is performed from standard SOE workstations rather than dedicated hardened SAWs, and tier-0 logon is not yet restricted to compliant devices, so a compromised daily-driver endpoint can still host a privileged session.",High,pam partial apra-cps-234 asd-ism essential-8,UC-P-018,pam,CPS234-§21; ISM-1175; E8-RAP-ML2,PARTIAL
[GAP] Agentic privileged-behaviour detection,Task,Privileged-access threat analytics do not model agent behaviour; off-purpose or anomalous agent privileged sessions are not detected.,High,pam gap apra-cps-234 mitre-attack owasp-llm,UC-P-021,pam,CPS234-§21; T1078; LLM06:2025,GAP
[GAP] Privileged-access threat analytics,Task,Privileged session and credential-use telemetry is forwarded to the SIEM but no behavioural analytics or anomaly detection is applied to it today.,Medium,pam gap apra-cps-234 asd-ism essential-8,UC-P-015,pam,CPS234-§22; ISM-1304; E8-RAP-LOG,GAP
[PARTIAL] Privileged credential-theft detection,Task,"The SOC has detections for pass-the-hash and Kerberoasting via the EDR/SIEM, but DCSync and token-theft coverage against privileged accounts is incomplete and not fully correlated.",Medium,pam partial apra-cps-234 asd-ism essential-8,UC-P-016,pam,CPS234-§22; ISM-1304; E8-RAP-LOG,PARTIAL
