ev_id,requirement,dimension,tier,example_artifact,sensitivity_tag,citation_keys
EV-PAM-CRED-ELIM-REGISTER,"A register of in-scope privileged accounts confirming default and static shared credentials have been changed, vaulted or removed.",coverage,primary,"e.g., a vault onboarded-accounts export listing account, credential type and status",[INTERNAL],asd-ism-comms-2025;cyberark-pam-2025
EV-PAM-SVCACCT-MANAGED,"Evidence that privileged service-account credentials are managed and rotated (e.g. group Managed Service Accounts or broker-managed leases) rather than static shared passwords.",depth,primary,"e.g., a gMSA configuration or a service-account rotation report",[INTERNAL],asd-ism-ia-2025;acsc-e8-ism-mapping-2023
EV-PAM-VAULT-ROTATION-POLICY,"The credential vaulting and rotation policy showing privileged credentials are rotated on schedule and on check-in/release, commensurate with the criticality of the protected assets.",depth,primary,"e.g., the vault rotation policy document or platform configuration export",[SENSITIVE],apra-cps-234-2019;cyberark-pam-2025
EV-PAM-ROTATION-FAILURE-ALERT,Evidence that automated credential-rotation failures raise an alert to an on-call owner.,enforcement,follow-up,"e.g., a rotation-failure alert rule and a sample alert or ticket",[INTERNAL],cyberark-pam-2025
EV-PAM-NO-PLAINTEXT-SECRETS,"Evidence that no plaintext privileged credentials persist in scripts, configuration or source.",coverage,follow-up,"e.g., a secret-scan report over scripts and configuration showing no privileged plaintext secrets",[INTERNAL],owasp-sm-cheatsheet-2024;cyberark-pam-2025
EV-PAM-PRIV-SEPARATION,"Evidence that privileged accounts are separated from standard accounts and prevented from accessing the internet, email and web services.",enforcement,primary,"e.g., the privileged-account policy and an internet/email/web block ruleset with the covered-account list",[INTERNAL],acsc-e8-2023;acsc-e8-mm-nov2023
EV-PAM-JIT-GRANTS,Evidence that privileged access is granted just-in-time and time-bound rather than held as standing privilege.,coverage,follow-up,"e.g., a just-in-time elevation policy and a sample of time-bound grants with expiry",[INTERNAL],acsc-e8-mm-nov2023;gartner-pam-mq-2024
EV-PAM-CENTRAL-SESSION-LOG,Evidence that privileged sessions and access events are captured to a centralised logging facility with searchable metadata.,coverage,primary,"e.g., the centralised session-recording or log store and a searchable-index sample",[INTERNAL],asd-ism-incidents-2025;gartner-pam-mq-2024
EV-PAM-LOG-TAMPER-EVIDENT,"Evidence that privileged access logs and session recordings are protected from unauthorised modification or deletion and retained per policy.",depth,primary,"e.g., an immutable-storage/WORM configuration and the retention policy for session recordings",[INTERNAL],acsc-e8-2023;asd-ism-incidents-2025
EV-PAM-HIGHRISK-CMD-FLAGGING,Evidence that high-risk privileged commands are flagged for review within recorded sessions.,depth,follow-up,"e.g., the command-flagging ruleset and a sample flagged-session review",[INTERNAL],gartner-pam-mq-2024;cyberark-pam-2025
EV-PAM-SAW-INVENTORY,"A SAW/PAW fleet inventory mapping each tier-0 / privileged administrator to a dedicated hardened admin workstation, with hardening-baseline compliance status (application control, no standing local admin, patch state) and exceptions registered with owner and expiry.",coverage,primary,"e.g., a SAW device inventory with per-device baseline-compliance status and the tier-0 operator mapping",[INTERNAL],acsc-e8-changes-nov2023;ms-pth-mitigation-2014
EV-PAM-SAW-ACCESS-BLOCK,"Evidence that access to tier-0 targets from non-SAW devices is technically blocked (proxy or conditional-access device filter) and that privileged accounts used from SAWs are prevented from reaching internet, email and web services, with a sample blocked-attempt alert.",enforcement,follow-up,"e.g., the conditional-access / proxy device-filter rule plus a sample blocked-attempt alert",[INTERNAL],acsc-e8-mm-nov2023;gartner-pam-mq-2024
