vendor_slug,vendor_name,target_id,target_type,coverage,maturity,evidence_url,evidence_quote,citation_keys,notes
oasis-security,Oasis Security,NHI-001,NHI,NATIVE,4,https://www.oasis.security/product,Auto-discovers all Non-Human Identities across AWS IAM roles managed identities and GCP service accounts,oasis-product-2025,Cloud IAM principals are core discovery targets; agentless connectors GA
oasis-security,Oasis Security,NHI-002,NHI,ADD-ON,2,https://www.oasis.security/glossary/workload-identity,Workload identities are integrated into CI/CD pipelines to ensure only verified build jobs access sensitive secrets,oasis-glossary-2025,K8s ServiceAccount discovery via cloud IAM / Entra; no dedicated K8s connector confirmed
oasis-security,Oasis Security,NHI-003,NHI,NATIVE,3,https://www.oasis.security/blog/enhancing-github-security-with-oasis,GitHub integration detects PATs SSH keys deploy keys and OIDC-federated pipeline identities,oasis-github-2025,GitHub connector GA; OIDC-federated CI/CD identities discovered and lifecycle-managed
oasis-security,Oasis Security,NHI-004,NHI,ADD-ON,2,https://www.oasis.security/product,Discovers NHIs across IaaS SaaS PaaS and on-prem including container and image-pull credentials via cloud IAM,oasis-product-2025,Covered via ECR/ACR/GAR IAM discovery; no dedicated pull-secret connector published
oasis-security,Oasis Security,NHI-005,NHI,NATIVE,3,https://www.oasis.security/blog/new-oasis-integration-for-databricks-secures-access-to-data-and-ai,Oasis integration for Databricks secures access to data and AI via NHI lifecycle management,oasis-databricks-2025,AWS RDS users Snowflake Databricks service accounts in scope; rotation orchestrated via vault connectors
oasis-security,Oasis Security,NHI-006,NHI,PARTNER,1,https://www.oasis.security/resources/the-collaborative-approach-of-secret-managers-and-oasis,Where vaults know what's stored Oasis knows who owns it who uses it and what it can access,oasis-vault-collab-2025,Certificate lifecycle management not native; certs surfaced contextually via vault integration metadata
oasis-security,Oasis Security,NHI-007,NHI,NATIVE,4,https://www.oasis.security/product,Discovers NHIs across SaaS platforms including Salesforce GitHub OpenAI Microsoft Copilot and Glean,oasis-product-2025,API keys and OAuth tokens across major SaaS platforms are core discovery targets; scope-inflation detection
oasis-security,Oasis Security,NHI-008,NHI,NATIVE,3,https://www.oasis.security/blog/enhancing-github-security-with-oasis,Oasis GitHub integration detects PATs SSH keys deploy keys and scope-inflation in git platform credentials,oasis-github-2025,Git credential discovery GA; fine-grained PAT and deploy key lifecycle management supported
oasis-security,Oasis Security,NHI-009,NHI,ADD-ON,2,https://www.oasis.security/blog/introducing-oasis-nhi-provisioning-transforming-nhi-security-from-day-1,Supports request and approval workflows via Terraform ServiceNow or Generic API triggers for IaC-based provisioning,oasis-provisioning-2025,IaC agent NHIs discovered via cloud IAM; Terraform provisioning workflows supported
oasis-security,Oasis Security,NHI-010,NHI,ADD-ON,2,https://www.oasis.security/product,Discovers NHIs across IaaS SaaS PaaS and on-prem environments including monitoring agents,oasis-product-2025,[INDUSTRY-CONSENSUS] Monitoring agent API keys surfaced via SaaS discovery; Datadog Splunk not explicitly confirmed
oasis-security,Oasis Security,NHI-011,NHI,GAP,0,https://www.oasis.security/product,No Kafka RabbitMQ or Azure Service Bus connector found in public documentation,oasis-product-2025,Message broker client identities not in scope
oasis-security,Oasis Security,NHI-012,NHI,NATIVE,3,https://www.oasis.security/blog/oasis-security-integration-with-microsoft-active-directory,Oasis identifies service and system accounts within Active Directory including synced and unsynced non-human identities,oasis-ad-2024,GA December 2024; agentless (Entra-synced) and agent-based (on-prem) integration options
oasis-security,Oasis Security,NHI-013,NHI,ADD-ON,1,https://www.oasis.security/product,Discovers NHIs across cloud IAM and SaaS including API gateway upstream identities via IAM connectors,oasis-product-2025,API-gateway identities covered via cloud IAM discovery; no dedicated API-GW connector confirmed
oasis-security,Oasis Security,NHI-014,NHI,ADD-ON,2,https://www.oasis.security/non-human-identity-management-glossary-identity-tyeps-oasis-security,RPA credentials and bot identities are listed NHI types discovered via AD and SaaS connectors,oasis-glossary-2025,RPA in NHI glossary; discovered via AD and SaaS; no UiPath/Blue Prism direct connector found
oasis-security,Oasis Security,NHI-015,NHI,GAP,0,https://www.oasis.security/product,No code-signing identity management capability found in product documentation,oasis-product-2025,PKI/signing lifecycle not in scope for NHI discovery tier
oasis-security,Oasis Security,NHI-016,NHI,GAP,0,https://www.oasis.security/product,No SLSA or build-provenance attestation identity management capability found,oasis-product-2025,Supply-chain attestation out of scope
oasis-security,Oasis Security,NHI-017,NHI,GAP,0,https://www.oasis.security/product,No service mesh control-plane identity connector found in public documentation,oasis-product-2025,SPIFFE/SPIRE and mesh CA identities not discoverable by Oasis
oasis-security,Oasis Security,NHI-018,NHI,GAP,0,https://www.oasis.security/product,No confidential-computing or TEE attestation identity capability found,oasis-product-2025,TEE attestation identities not in scope
oasis-security,Oasis Security,NHI-019,NHI,NATIVE,4,https://www.oasis.security/agentic-access-management,Issues ephemeral per-session identities eliminating standing privileges and minimizing blast radius,oasis-aam-2025,AAM™ GA November 2025; per-session ephemeral identity intent-based access full audit chain; Claude OpenAI Cursor integrations confirmed
oasis-security,Oasis Security,NHI-020,NHI,ADD-ON,1,https://www.oasis.security/product,Discovers SaaS NHIs including AI platform integrations; model registry identity coverage partial,oasis-product-2025,[INDUSTRY-CONSENSUS] OpenAI integration listed; Hugging Face model registry not confirmed
oasis-security,Oasis Security,NHI-021,NHI,GAP,0,https://www.oasis.security/non-human-identity-management-glossary-identity-tyeps-oasis-security,Device identity defined in glossary but no IoT/OT connector or enrolment lifecycle management found,oasis-glossary-2025,Device identity in glossary only; no AWS IoT / Azure IoT DPS connector
oasis-security,Oasis Security,NHI-022,NHI,GAP,0,https://www.oasis.security/product,No RACF ACF2 or z/OS mainframe identity connector found in public documentation,oasis-product-2025,Mainframe out of scope; critical gap for XYZ core-banking NHIs
oasis-security,Oasis Security,NHI-023,NHI,GAP,0,https://www.oasis.security/non-human-identity-management-glossary-identity-tyeps-oasis-security,KMS keys listed in glossary as metadata only; TDE master key lifecycle management not a platform capability,oasis-glossary-2025,Crypto-key lifecycle management not in scope beyond metadata visibility
oasis-security,Oasis Security,NHI-024,NHI,ADD-ON,2,https://www.oasis.security/non-human-identity-management-glossary-identity-tyeps-oasis-security,Break-glass accounts supported across AWS Azure GCP and Okta with discovery and monitoring capabilities,oasis-glossary-2025,Break-glass account discovery GA; HSM/CA quorum-operator governance not addressed
oasis-security,Oasis Security,NHI-025,NHI,GAP,0,https://www.oasis.security/product,No CA operator or PKI role identity management capability found in product documentation,oasis-product-2025,PKI/CA operator identities not in scope
oasis-security,Oasis Security,NHI-026,NHI,ADD-ON,1,https://www.oasis.security/blog/oasis-security-integration-with-microsoft-active-directory,Backup service accounts discoverable via AD integration; identifies privileged accounts stale credentials and unrotated secrets,oasis-ad-2024,AD-connected backup service accounts discoverable; no Veeam/Rubrik/Commvault direct connector
oasis-security,Oasis Security,NHI-027,NHI,ADD-ON,2,https://www.oasis.security/product,Discovers OAuth tokens and confidential-client credentials across SaaS and cloud platforms,oasis-product-2025,OAuth refresh tokens and confidential-client credentials discovered via SaaS connectors; OBO flow identity coverage partial
