vendor_slug,vendor_name,target_id,target_type,coverage,maturity,evidence_url,evidence_quote,citation_keys,notes
strongdm,StrongDM,UC-P-001,UC-F,NATIVE,4,https://docs.strongdm.com/admin/secrets,"StrongDM Vault provides centralized management and rotation of credentials using a mechanism called secret engines",strongdm-vault-2025,"StrongDM Vault secret engines store passwords/certs/keys and perform time-based automated rotation for Active Directory, MSSQL, MySQL, PostgreSQL ('A secret is valid for the given amount of time set, after which it is automatically rotated'; lockable secrets rotate on unlock). Also secret-store-agnostic: integrates AWS Secrets Manager, Azure Key Vault, CyberArk Conjur/PAM, Delinea Secret Server, GCP Secret Manager, HashiCorp Vault. Maturity 4 not 5: rotation strong for AD+major DBs but narrower target breadth than a classic enterprise vault (CyberArk); Key Value engine does not rotate."
strongdm,StrongDM,UC-P-002,UC-F,NATIVE,5,https://www.strongdm.com/how-it-works,"StrongDM is a proxy that manages and audits access to databases, servers and kubernetes",strongdm-proxy-2025,"Protocol-aware proxy: 'Gateways decrypt credentials on behalf of end users, and deconstruct requests for the purposes of auditing.' Credentials are injected at the final hop and 'sensitive credentials are always inaccessible to users: they are never transferred to a client in any form.' Covers SSH/RDP/Kubernetes/databases/web apps/network devices/cloud. Market-leading session isolation for modern infra — directly comparable to Teleport UC-P-002."
strongdm,StrongDM,UC-P-003,UC-F,NATIVE,5,https://docs.strongdm.com/admin/audit/logs.md,"These log entries allow for the playback of sessions that are captured whenever an SSH, Kubernetes, or RDP session is completed",strongdm-audit-logs-2025,"Full session recording + replay for SSH/RDP/Kubernetes; 'SSH and Kubernetes sessions also log individual query entries for each command run, in addition to the replay log.' Per-resource Queries logs record commands; Activities logs record admin actions. Log Stream / Syslog export to S3, CloudWatch, Splunk, Graylog. Vendor-corroborated: 'StrongDM captures every query and keystroke.' Strong PSM."
strongdm,StrongDM,UC-P-004,UC-F,NATIVE,5,https://www.strongdm.com/solution/just-in-time-access,"On-demand access that automatically expires",strongdm-jit-2025,"JIT/ZSP core capability: 'Users request access on-demand ... while admins enforce secure, policy-based conditions'; access is 'tightly governed, temporary, and precisely aligned with your security policies.' Approval workflows via Slack/Microsoft Teams/ServiceNow/PagerDuty/Jira. Cedar-based Strong Policy Engine enforces no standing privileges continuously at runtime. Market-leading JIT/ZSP — peer to Teleport."
strongdm,StrongDM,UC-P-005,UC-F,ADD-ON,1,https://docs.strongdm.com/admin/resources/discovery,"Discovery runs from StrongDM nodes and uses cloud provider APIs to list infrastructure resources such as compute instances, databases, and container platforms",strongdm-resource-discovery-2025,"Resource discovery covers cloud INFRASTRUCTURE (AWS EC2/RDS/EKS, GCP GCE/CloudSQL/GKE, Azure VM/SQL/AKS) + Kubernetes, NOT privileged/local-admin ACCOUNT enumeration. Docs: discovery is for resources, with no mention of scanning user/admin accounts or privilege levels ('Discovered resource data in StrongDM is not authoritative'). Graded ADD-ON/1 for consistency with Teleport's cloud-resource-discovery treatment: discovers connectable resources to onboard but provides no AD-style privileged-account inventory. [JUDGMENT] coverage label — partial-adjacent, not a true account-discovery scanner."
strongdm,StrongDM,UC-P-006,UC-F,NATIVE,4,https://docs.strongdm.com/concepts/security/credentials-and-secrets-management,"sensitive credentials are always inaccessible to users: they are never transferred to a client in any form",strongdm-creds-mgmt-2025,"App/service access via leased credentials + dual-key decryption ('only when a cryptographically valid proxy instance requests decryption on behalf of a cryptographically valid user session are they unlocked'). StrongDM brokers and injects credentials so apps/users never hold the target secret; supports A2A patterns via secret stores + SDK/CLI access. Maturity 4: strong brokering, but oriented to human+infra access; not a full general-purpose A2A secrets broker like CyberArk Conjur."
strongdm,StrongDM,UC-P-007,UC-F,NATIVE,2,https://docs.strongdm.com/admin/principals/mfa,"If your organization uses an SSO integration, MFA at authentication is only possible via the SSO provider, or integrations with that provider",strongdm-mfa-2025,"PASS-2 re-encode PARTIAL->NATIVE/2 (MFA genuinely exists; phishing-resistant tier-0 caveat). StrongDM supports MFA via Duo, Okta Verify, and native TOTP, and Policy-Based Action Control can 'trigger MFA challenges either when a user attempts to connect to a resource or when actions are taken against the resource' (per-action/step-up MFA). BUT no native phishing-resistant FIDO2/WebAuthn — phishing-resistant factors must come from the SSO IdP. Maturity 2: step-up MFA present, phishing-resistant tier-0 factor delegated to IdP, not native."
strongdm,StrongDM,UC-P-008,UC-F,NATIVE,4,https://www.strongdm.com/blog/break-glass,"StrongDM also enables emergency break-glass access when necessary",strongdm-breakglass-2025,"Documented break-glass pattern: 'Create local break-glass accounts on the end resource', 'Store them in a vault (preferably one that requires at least two people to access or uses Shamir Secret Sharing)', 'Alert on access to the accounts outside of emergency situations', 'Rotate break-glass credentials after each incident.' StrongDM Vault can auto-rotate the AD/DB break-glass credential on checkout/unlock to restore baseline. Maturity 4: dual-control + alert + auto-rotate supported; some guidance is best-practice (marketing-grade blog) layered over admin-doc vault rotation."
strongdm,StrongDM,UC-P-009,UC-F,GAP,0,,,,"StrongDM has no Endpoint Privilege Management. It does not remove local-admin rights on Windows/macOS/Linux desktops, does not perform per-application UAC-style elevation, and does not do application control on endpoints. StrongDM is an access proxy for infrastructure resources, not an endpoint agent for desktop privilege. EPM requires a dedicated tool (BeyondTrust EPM, CyberArk EPM, Delinea Privilege Manager). [INDUSTRY-CONSENSUS] architectural gap, consistent with the Teleport row."
strongdm,StrongDM,UC-P-010,UC-F,GAP,0,,,,"PASS-2 re-encode PARTIAL->GAP: StrongDM enforces least-privilege at the SESSION level via JIT + Cedar policy + ZSP (no standing role membership between tasks), but it does NOT provide entitlement right-sizing analytics that mine usage to recommend removing excess standing entitlements across AD/cloud IAM (that is CIEM/IGA territory). With right-sizing analytics as the literal bar, no entitlement-mining engine -> GAP. [JUDGMENT]"
strongdm,StrongDM,UC-P-011,UC-F,NATIVE,5,https://www.strongdm.com/use-cases/vendor-access,"Securely connect vendors directly to resources with project-based access that automatically expires",strongdm-vendor-access-2025,"VPN-less, recorded, JIT third-party access: 'Control and monitor the access privileges of third-party users with just-in-time access to your organization's systems, networks, and data–without revealing credentials' and 'Record and audit privileged activity for third-party users with comprehensive logs that easily answer who did what, when.' Real-time revocation. No standing vendor credentials. Strong FI third-party fit — peer to Teleport UC-P-011."
strongdm,StrongDM,UC-P-012,UC-F,GAP,0,,,,"StrongDM is not a CIEM platform. It does not continuously analyze AWS/Azure/GCP IAM entitlements to detect over-permissioned human/workload cloud identities, compute effective permissions, or issue remediation recommendations. StrongDM's cloud touch-point is RESOURCE discovery (listing EC2/RDS/EKS to onboard) and access brokering, not entitlement analytics. StrongDM publishes only educational/definitional CIEM content (blog 'What is CIEM'), not a product capability. CIEM requires a dedicated tool (Wiz, Microsoft Defender for Cloud, CyberArk). [JUDGMENT] honest GAP."
strongdm,StrongDM,UC-P-013,UC-F,NATIVE,3,https://docs.strongdm.com/concepts/security/credentials-and-secrets-management,"access is conducted via the Leased Credential",strongdm-leased-cred-2025,"PASS-2 re-encode PARTIAL->NATIVE/3 (secretless brokering real). StrongDM nodes authenticate via workload identity federation (cloud-API auth of the gateway/relay) and brokers access via short-lived leased credentials rather than exposing standing secrets to workloads. This reduces stored standing secrets for StrongDM-mediated access. BUT StrongDM is not a SPIFFE-style workload-attestation issuer for arbitrary workloads the way Teleport Machine & Workload Identity is (no general short-lived SVID issuance to customer services). Maturity 3: secretless brokering for StrongDM-mediated paths; not a full workload-attestation identity platform."
strongdm,StrongDM,UC-P-014,UC-F,GAP,0,,,,"PASS-2 re-encode PARTIAL->GAP: StrongDM reduces the recertification burden structurally — JIT + ZSP means few standing grants persist to recertify, and full audit logs show who accessed what — BUT it has no formal periodic access-certification/attestation campaign workflow with reviewer sign-off and evidence retention (that is IGA / Teleport Access Lists territory). Audit trail noted but no recertification-campaign engine -> GAP. [JUDGMENT]"
strongdm,StrongDM,UC-P-015,UC-N,NATIVE,3,https://www.strongdm.com/blog/continuous-zero-trust-authorization,"Continuous Zero Trust Authorization is the real-time monitoring of access and operations across your infrastructure and the ability to enforce contextual access policies in real time",strongdm-cza-2025,"PASS-2 re-encode PARTIAL->NATIVE/3. Strong Policy Engine (Cedar) continuously evaluates user/device/resource/risk context at runtime and integrates device posture (CrowdStrike, SentinelOne) into authorization decisions; full session telemetry + log streaming to SIEM enables analytics. BUT StrongDM is not a dedicated privileged-session UEBA/behavioral-analytics product — anomaly detection/ML is left to the downstream SIEM. Maturity 3: rich, exportable telemetry + contextual real-time enforcement; not native behavioral analytics."
strongdm,StrongDM,UC-P-016,UC-N,NATIVE,3,https://docs.strongdm.com/concepts/security/credentials-and-secrets-management,"sensitive credentials are always inaccessible to users: they are never transferred to a client in any form",strongdm-cred-theft-2025,"PASS-2 re-encode PARTIAL->NATIVE/3 for PREVENTION. StrongDM structurally limits credential-theft blast radius: users never receive target credentials (no pass-the-hash/pass-the-ticket surface on the operator endpoint), access uses short-lived leased credentials, and all decryption events write to a 'tamper-hardened audit log that is owned by a separate AWS account.' BUT StrongDM does not natively DETECT AD attack techniques (Kerberoasting, DCSync, token theft) — that requires an AD/identity-threat-detection tool. Maturity 3: strong prevention via secretless brokering; not a credential-theft detection engine."
strongdm,StrongDM,UC-P-017,UC-N,NATIVE,4,https://www.strongdm.com/how-it-works,"The local client tunnels requests from the user's workstation to the gateway, through a single TLS 1.2-secured TCP connection",strongdm-architecture-2025,"Distributed gateway/relay architecture supports HA (multiple gateways behind load balancing); SaaS-managed control plane offloads availability to StrongDM. Break-glass design keeps emergency access to resources viable (local break-glass accounts on the end resource, vault-stored, dual-control) even outside normal flow. Maturity 4: production HA + managed SaaS resilience; RPO/DR specifics depend on customer deployment + backend. Marketing+admin-doc grade; deep DR runbook less exhaustively documented than CyberArk."
strongdm,StrongDM,UC-P-018,UC-F,GAP,0,,,,"StrongDM does not provide or manage Secure Admin Workstations / Privileged Access Workstations. It does not deliver hardened OS baselines, application control, or a dedicated tier-0 admin workstation fleet, and it cannot harden the operator endpoint. StrongDM can technically gate access at the proxy (e.g. Device Trust posture checks via CrowdStrike/SentinelOne could restrict which devices connect) but it does not deliver the SAW/PAW itself — building/inventorying hardened tier-0 workstations is out of architectural scope. SAW/PAW requires Microsoft PAW guidance + endpoint hardening/MDM tooling. [INDUSTRY-CONSENSUS] gap, consistent with the Teleport posture."
