vendor_slug,vendor_name,target_id,target_type,coverage,maturity,evidence_url,evidence_quote,citation_keys,notes
entro-security,Entro Security,NHI-001,NHI,NATIVE,4,https://entro.security/platform-non-human-identities/,"Discovery and inventory of cloud IAM NHIs across AWS Azure GCP with lineage and posture scoring.",entro-security-nhi-platform-2025,Cloud IAM service accounts and roles are core discovery targets
entro-security,Entro Security,NHI-002,NHI,NATIVE,3,https://entro.security/integrations/,"K8s Secrets vault integration listed; workload NHI inventory supported.",entro-security-integrations-2025,K8s ServiceAccount discovery via K8s Secrets integration
entro-security,Entro Security,NHI-003,NHI,NATIVE,4,https://entro.security/integrations/,"CI/CD integrations: GitHub Actions, Jenkins, CircleCI, Azure DevOps, TeamCity, Drone CI, Octopus, Travis CI.",entro-security-integrations-2025,Broadest CI/CD coverage of any NHI-discovery vendor profiled
entro-security,Entro Security,NHI-004,NHI,NATIVE,2,https://entro.security/integrations/,"Docker Hub integration; K8s Secrets integration covers imagePullSecret discovery.",entro-security-integrations-2025,Container registry credential discovery; no per-workload issuance
entro-security,Entro Security,NHI-005,NHI,NATIVE,3,https://entro.security/platform-secrets/,"Snowflake and MongoDB integrations; DB credentials discovered via secrets scanning.",entro-security-secrets-platform-2025,Discovery only; dynamic DB credential issuance requires upstream vault
entro-security,Entro Security,NHI-006,NHI,PARTNER,1,https://entro.security/integrations/,"Certificate NHI governance not a stated product focus; PKI lifecycle out of scope.",entro-security-integrations-2025,Certificate/mTLS identity requires Venafi or Keyfactor as primary tool
entro-security,Entro Security,NHI-007,NHI,NATIVE,4,https://entro.security/platform-non-human-identities/,"SaaS integrations (Salesforce, ServiceNow, Workday, Slack, Teams) cover third-party API key inventory.",entro-security-nhi-platform-2025,OAuth app and API key discovery across enterprise SaaS estate
entro-security,Entro Security,NHI-008,NHI,NATIVE,4,https://entro.security/platform-secrets/,"GitHub, GitLab, Bitbucket repos scanned; PAT and SSH key discovery with ownership attribution.",entro-security-secrets-platform-2025,Historical and continuous repo scanning; ContextIQ triage
entro-security,Entro Security,NHI-009,NHI,NATIVE,3,https://entro.security/platform-secrets/,"Terraform, Kubernetes IaC scanning; secret-in-state-file and serverless-function detection.",entro-security-secrets-platform-2025,IaC config scanning; no dynamic inject capability
entro-security,Entro Security,NHI-010,NHI,NATIVE,3,https://entro.security/integrations/,"Datadog, Splunk, Elastic integrations; observability agent credential discovery.",entro-security-integrations-2025,Agent credential inventory; posture scoring available
entro-security,Entro Security,NHI-011,NHI,ADD-ON,2,https://entro.security/integrations/,"Indirect coverage via cloud IAM (AWS SQS/SNS, Azure Service Bus) secret discovery.",entro-security-integrations-2025,No explicit message-broker NHI posture module
entro-security,Entro Security,NHI-012,NHI,NATIVE,3,https://entro.security/integrations/,"Active Directory, Hybrid Azure AD, Microsoft Entra ID integrations; svc_ account inventory.",entro-security-integrations-2025,AD service account discovery and ownership attribution
entro-security,Entro Security,NHI-013,NHI,ADD-ON,1,https://entro.security/integrations/,"API gateway identities not explicitly listed; partial via cloud IAM discovery.",entro-security-integrations-2025,No explicit API gateway upstream identity posture tooling
entro-security,Entro Security,NHI-014,NHI,ADD-ON,2,https://entro.security/platform-non-human-identities/,"RPA bot coverage via AD service account inventory and SaaS OAuth app discovery.",entro-security-nhi-platform-2025,No dedicated RPA orchestrator (UiPath/Blue Prism) integration
entro-security,Entro Security,NHI-015,NHI,GAP,0,https://entro.security/,No code-signing or certificate lifecycle capability documented publicly.,entro-security-homepage-2025,Sigstore/Fulcio/Authenticode out of scope
entro-security,Entro Security,NHI-016,NHI,GAP,0,https://entro.security/,SLSA/in-toto provenance identity not in product scope.,entro-security-homepage-2025,Build provenance attestation out of scope
entro-security,Entro Security,NHI-017,NHI,GAP,0,https://entro.security/,Service mesh control-plane identity (Istiod/Linkerd/Consul CA) not covered.,entro-security-homepage-2025,No SPIFFE/SPIRE integration; mesh CA identities out of scope
entro-security,Entro Security,NHI-018,NHI,GAP,0,https://entro.security/,TEE attestation identities (Nitro/SEV-SNP/TDX) not in product scope.,entro-security-homepage-2025,Confidential-computing attestation out of scope
entro-security,Entro Security,NHI-019,NHI,NATIVE,4,https://entro.security/platform-ai-agents/,"Dedicated AI agent pillar: discovery, lineage, NHIDR monitoring, MCP server integration, OpenAI/Claude.",entro-security-ai-agents-2025,Market-leading AI agent NHI coverage; shadow agent discovery
entro-security,Entro Security,NHI-020,NHI,ADD-ON,1,https://entro.security/integrations/,Partial coverage via SaaS/cloud credential scanning; model registry identity not explicitly listed.,entro-security-integrations-2025,MLflow/SageMaker/HuggingFace registries not listed as integrations
entro-security,Entro Security,NHI-021,NHI,GAP,0,https://entro.security/,IoT/OT device identities not in product scope; no DPS/EST/SCEP support.,entro-security-homepage-2025,ATM/branch/IoT identities out of scope
entro-security,Entro Security,NHI-022,NHI,GAP,0,https://entro.security/,RACF/ACF2/Top Secret/IBM-i identities not listed; no mainframe vault integration.,entro-security-homepage-2025,Core banking mainframe NHI out of scope — material XYZ gap
entro-security,Entro Security,NHI-023,NHI,ADD-ON,1,https://entro.security/platform-secrets/,"Snowflake/MongoDB DB credential discovery; TDE master key governance not in scope.",entro-security-secrets-platform-2025,DB encryption key identity requires dedicated KMS tooling
entro-security,Entro Security,NHI-024,NHI,GAP,0,https://entro.security/,HSM/KMS operator break-glass identities not discovered; no HSM integration.,entro-security-homepage-2025,Quorum-operator identities require PAM or HSM-native tools
entro-security,Entro Security,NHI-025,NHI,GAP,0,https://entro.security/,CA operator identities (ADCS/EJBCA/Venafi TPP) out of scope.,entro-security-homepage-2025,PKI operator governance requires Venafi or Keyfactor
entro-security,Entro Security,NHI-026,NHI,ADD-ON,1,https://entro.security/integrations/,Backup agent AD accounts covered via AD integration; no dedicated backup-agent NHI module.,entro-security-integrations-2025,NetBackup/Commvault/Veeam agent identity not explicitly listed
entro-security,Entro Security,NHI-027,NHI,NATIVE,3,https://entro.security/platform-non-human-identities/,"OAuth/OIDC confidential-client secrets discovered in vaults and repos; OBO token lineage supported.",entro-security-nhi-platform-2025,BFF/OBO identity coverage via vault + repo scanning
entro-security,Entro Security,NHI-028,NHI,ADD-ON,1,https://entro.security/integrations/,Partial via SaaS OAuth app inventory; mTLS/FAPI client certs not a primary focus.,entro-security-integrations-2025,Open Banking FAPI 2.0 cert lifecycle requires Venafi/Keyfactor
entro-security,Entro Security,NHI-029,NHI,NATIVE,3,https://entro.security/platform-non-human-identities/,"AD service account discovery; ownership attribution identifies shared accounts vs. dedicated NHIs.",entro-security-nhi-platform-2025,Shared functional ID detection via ownership-attribution AI
entro-security,Entro Security,NHI-030,NHI,NATIVE,4,https://entro.security/platform-non-human-identities/,"OAuth app inventory across M365, Google Workspace, Salesforce, Slack, GitHub Apps; risk-scored.",entro-security-nhi-platform-2025,Core NHI use case; 90% NHIs found to have excessive permissions
entro-security,Entro Security,NHI-031,NHI,NATIVE,3,https://entro.security/platform-secrets/,"Webhook signing secrets discovered via SaaS integrations (Slack, Jira) and repo scanning.",entro-security-secrets-platform-2025,Inbound webhook identity secrets in scope
entro-security,Entro Security,NHI-032,NHI,GAP,0,https://entro.security/,Network device credentials (TACACS+/SNMP/SSH) not in product scope.,entro-security-homepage-2025,NetOps device identity requires Akeyless or CyberArk
entro-security,Entro Security,NHI-033,NHI,GAP,0,https://entro.security/,Branch peripheral credentials out of scope.,entro-security-homepage-2025,ATM/printer/kiosk default-cred governance out of scope
entro-security,Entro Security,NHI-034,NHI,GAP,0,https://entro.security/,PQC hybrid-PKI identity governance not in product roadmap.,entro-security-homepage-2025,Post-quantum readiness out of scope
entro-security,Entro Security,NHI-035,NHI,ADD-ON,2,https://entro.security/platform-secrets/,"Vault posture monitoring: fetching anomalies, privilege creep detection in vaults.",entro-security-secrets-platform-2025,Vault-internal identity governance partial; root/replication tokens not directly covered
entro-security,Entro Security,NHI-036,NHI,GAP,0,https://entro.security/,SPIFFE SVID / Aembit / Clutch workload attestation broker identities not integrated.,entro-security-homepage-2025,Ephemeral workload identity out of scope
entro-security,Entro Security,NHI-037,NHI,NATIVE,4,https://entro.security/platform-non-human-identities/,"Core use case: idle/stale NHI detection, dormancy analysis, automated removal, owner attestation.",entro-security-nhi-platform-2025,Claims 90% reduction in sensitive secrets exposure via proactive flagging
entro-security,Entro Security,UC-F-001,UC-F,NATIVE,4,https://entro.security/platform-secrets/,"Repo scanning (GitHub/GitLab/Bitbucket) + ContextIQ auto-triage; PR-integrated remediation workflows.",entro-security-secrets-platform-2025,Pre-commit and continuous scanning; 1200+ secret types
entro-security,Entro Security,UC-F-002,UC-F,NATIVE,4,https://entro.security/platform-secrets/,"Historical and continuous repo sweep; ownership attribution per secret type; NHI bucket tagging.",entro-security-secrets-platform-2025,Full history sweep supported; tracks remediation to closure
entro-security,Entro Security,UC-F-003,UC-F,GAP,0,https://entro.security/,Entro does not issue credentials; no OIDC token broker capability.,entro-security-homepage-2025,Requires upstream vault (HashiCorp/AWS/Azure) for JIT issuance
entro-security,Entro Security,UC-F-004,UC-F,GAP,0,https://entro.security/,No SPIFFE/SPIRE workload identity issuance or SVID broker.,entro-security-homepage-2025,Workload attestation out of scope
entro-security,Entro Security,UC-F-005,UC-F,GAP,0,https://entro.security/,No dynamic credential issuance; discovery-only for DB secrets.,entro-security-homepage-2025,Dynamic DB creds require HashiCorp Vault or CyberArk Conjur
entro-security,Entro Security,UC-F-006,UC-F,ADD-ON,2,https://entro.security/platform-non-human-identities/,"Policy enforcement; vaulting enforcement; active rotation trigger for at-risk secrets via upstream vault API.",entro-security-nhi-platform-2025,Orchestrates rotation into upstream vaults; does not rotate directly
entro-security,Entro Security,UC-F-007,UC-F,ADD-ON,2,https://entro.security/platform-non-human-identities/,"NHIDR triggers automated remediation; revocation executed via upstream vault and SaaS APIs.",entro-security-nhi-platform-2025,80% faster remediation claim; SOAR integration via Torq/Tines
entro-security,Entro Security,UC-F-008,UC-F,ADD-ON,2,https://entro.security/integrations/,"K8s Secrets integration detects plaintext K8s secret objects; remediation guidance provided.",entro-security-integrations-2025,No CSI driver deployment; detection and guidance only
entro-security,Entro Security,UC-F-009,UC-F,ADD-ON,1,https://entro.security/integrations/,"Docker Hub integration; image-pull credential discovery; no per-workload short-lived token issuance.",entro-security-integrations-2025,Discovery only; rotation requires ECR/ACR/GAR native tooling
entro-security,Entro Security,UC-F-010,UC-F,ADD-ON,2,https://entro.security/platform-secrets/,"Terraform state file and IaC config scanning; secret-in-IaC detection and ownership attribution.",entro-security-secrets-platform-2025,No dynamic provider injection; detection and alert only
entro-security,Entro Security,UC-F-011,UC-F,ADD-ON,2,https://entro.security/integrations/,"Datadog/Splunk/Elastic agent credential discovery and posture; rotation via upstream vault.",entro-security-integrations-2025,Observability agent key inventory and rotation guidance
entro-security,Entro Security,UC-F-012,UC-F,ADD-ON,1,https://entro.security/integrations/,Partial: cloud broker (AWS SQS/SNS) credential discovery; no explicit mTLS/SASL posture tooling.,entro-security-integrations-2025,Message broker NHI hardening not a primary product use case
entro-security,Entro Security,UC-F-013,UC-F,ADD-ON,2,https://entro.security/integrations/,"AD/Hybrid Azure AD/Entra ID integration; svc_ account inventory supports gMSA migration planning.",entro-security-integrations-2025,Inventory for gMSA migration; execution via AD/Microsoft tooling
entro-security,Entro Security,UC-F-014,UC-F,GAP,0,https://entro.security/,API gateway upstream identity not explicitly covered in product scope.,entro-security-homepage-2025,Apigee/Kong/AWS APIGW identity management out of scope
entro-security,Entro Security,UC-F-015,UC-F,ADD-ON,2,https://entro.security/platform-non-human-identities/,"AD service account + SaaS OAuth discovery covers RPA bot identity inventory and posture.",entro-security-nhi-platform-2025,No UiPath/Blue Prism orchestrator vault integration
entro-security,Entro Security,UC-F-016,UC-F,GAP,0,https://entro.security/,Code-signing and Sigstore/Fulcio identity out of scope.,entro-security-homepage-2025,Keyless signing requires Sigstore or HSM-native tooling
entro-security,Entro Security,UC-F-017,UC-F,GAP,0,https://entro.security/,Confidential-computing TEE attestation gating not in product scope.,entro-security-homepage-2025,TEE attestation requires Nitro/Azure MAA native tools
entro-security,Entro Security,UC-F-018,UC-F,NATIVE,3,https://entro.security/platform-ai-agents/,"AI agent platform pillar: discovery, NHI mapping, NHIDR credential-use monitoring, MCP integration.",entro-security-ai-agents-2025,No native per-session credential broker; delegates to upstream vault
