vendor_slug,vendor_name,target_id,target_type,coverage,maturity,evidence_url,evidence_quote,citation_keys,notes
apono,Apono,UC-P-001,UC-F,GAP,0,,,,"Apono is NOT a credential vault. It creates dynamic JIT permissions in the cloud's native policy language at request time rather than storing/rotating static privileged passwords or keys. Its connector explicitly avoids holding secrets — 'The Connector does not read, cache or store any secrets, nor does Apono need an account with admin privileges to function.' (docs.apono.io). Classical vaulting / check-in-check-out / scheduled password rotation requires a dedicated vault (e.g. CyberArk, HashiCorp Vault). Note: Apono does enforce password reset / credential rotation for managed DB-user grants, but this is per-grant cleanup, not an enterprise vault — insufficient for UC-P-001."
apono,Apono,UC-P-002,UC-F,GAP,0,,,,"Apono is not a session-isolation proxy. It grants/revokes native cloud and DB entitlements just-in-time but does not broker privileged sessions through a credential-injecting isolation proxy that hides the target secret from the operator endpoint; users connect with their own tooling once access is granted. Session brokering/isolation requires a proxy-architecture PAM (e.g. CyberArk, BeyondTrust, Teleport). [INDUSTRY-CONSENSUS] gap for proxy-based isolation."
apono,Apono,UC-P-003,UC-F,NATIVE,2,https://docs.apono.io/docs/audits-and-reports/session-audit.md,"Session Audit records activity performed during privileged access sessions. When enabled, it captures text-based session activity",apono-session-audit-2025,"PASS-2 re-encode PARTIAL->NATIVE/2 — text-based session audit only, NOT full session recording. Captures SSH 'Commands, outputs, and session lifecycle events' and Kubernetes 'kubectl get, kubectl apply, kubectl delete' incl. kubectl exec; explicitly 'does not support... Session replay or video'. Database query capture not listed. No tamper-evident video playback, so falls short of UC-P-003 keystroke/command-recording-with-review expectations for SSH/k8s coverage only. Maturity 2."
apono,Apono,UC-P-004,UC-F,NATIVE,5,https://docs.apono.io/docs/getting-started/how-apono-works.md,"Three easy steps are what it takes to create Just-In-Time and Just Enough permissions",apono-jit-2025,"Core differentiator. Access Flows answer 'Who should get access? What can they gain access to? What Actions? How Long? Who must Approve?' Access 'begins and ends according to Access Flow definition' and is 'automatically revoked when no longer needed', eliminating standing privilege. Market-leading cloud-native JIT / zero-standing-privilege. Maturity 5."
apono,Apono,UC-P-005,UC-F,NATIVE,2,https://docs.apono.io/docs/getting-started/access-discovery.md,"Access Discovery helps you identify and remediate standing access",apono-access-discovery-2025,"PASS-2 re-encode PARTIAL->NATIVE/2 + evidence_url re-anchored from llms-full.txt export to the stable rendered admin-doc page. Apono discovers cloud/DB/IAM principals and standing access ('tracking whether principals are active or dormant', flagging 'overprivileged principals for targeted remediation') across its 35+ integrated cloud/DB/k8s resource types. It does NOT perform classic AD/Unix/network/local-admin privileged-account enumeration across the on-prem estate. Cloud-scoped discovery only. Maturity 2."
apono,Apono,UC-P-006,UC-F,GAP,0,,,,"Apono brokers human (and AI-agent) JIT access to cloud/DB resources; it is not an application-to-application credential broker / secrets API for hard-coded app credentials. Its connector 'does not read, cache or store any secrets'. A2A secret brokering requires a secrets manager (e.g. Conjur, HashiCorp Vault, AWS Secrets Manager). GAP."
apono,Apono,UC-P-007,UC-F,NATIVE,3,https://docs.apono.io/docs/access-flows/access-flows/what-are-access-flows.md,"Identify users who can request access, and whether MFA is required to verify identities",apono-mfa-2025,"PASS-2 re-encode PARTIAL->NATIVE/3 — request-time MFA. Apono can require MFA to verify the requester's identity at the access-request step and integrates with IdPs (Okta, Entra ID) that carry phishing-resistant factors. MFA is enforced at Apono's request/approval gate, not as a session-proxy challenge to every target, and phishing-resistant (FIDO2) enforcement depends on the upstream IdP rather than Apono natively. Functional for request-time MFA; relies on IdP for factor strength. Maturity 3."
apono,Apono,UC-P-008,UC-F,NATIVE,3,https://docs.apono.io/llms-full.txt,"Apono's Access Flows prepare for contingencies, emergency access and regular maintenance",apono-breakglass-2025,"PASS-2 re-encode PARTIAL->NATIVE/3 (keep llms-full.txt URL — quote verbatim, no rendered page located). Apono supports emergency/break-glass access via dedicated Access Flows (auto-approval or expedited approval, time-bound, fully logged). It does not provide sealed dual-control break-glass vault accounts with mandatory post-use credential rotation in the classic PAM sense; controls are JIT-grant-based. Adequate for cloud emergency access, lighter than vault break-glass. Maturity 3."
apono,Apono,UC-P-009,UC-F,GAP,0,,,,"Apono has no Endpoint Privilege Management. It does not remove local-admin rights from workstations, perform per-application elevation (UAC/sudo control), or enforce process-level least privilege on endpoints. Outside architectural scope — EPM requires a dedicated tool (BeyondTrust EPM, CyberArk EPM). GAP."
apono,Apono,UC-P-010,UC-F,NATIVE,4,https://docs.apono.io/docs/getting-started/access-discovery.md,"flagging overprivileged principals for targeted remediation",apono-least-privilege-2025,"PASS-2 evidence_url re-anchored from llms-full.txt export to the stable rendered admin-doc page. Apono enforces least privilege structurally via just-enough JIT grants (no standing privilege) and surfaces excess/dormant entitlements through Access Discovery ('tracking whether principals are active or dormant'). Right-sizing recommendations + JIT enforcement together give strong least-privilege coverage for cloud/DB/k8s. Automated remediation is recommendation-driven. Maturity 4."
apono,Apono,UC-P-011,UC-F,NATIVE,4,https://docs.apono.io/docs/getting-started/how-apono-works.md,"Request access directly in their favorite tool: Slack, Teams or CLI",apono-thirdparty-access-2025,"Apono delivers JIT, time-bound, fully-logged third-party/contractor access scoped to specific cloud/DB resources with approval workflows via Slack/Teams/CLI; access auto-expires, no standing vendor credentials. Strong for cloud vendor access. Lacks isolation-proxy session brokering/recording for vendor RDP/SSH that classic vendor-PAM offers, hence 4 not 5. Maturity 4."
apono,Apono,UC-P-012,UC-F,NATIVE,4,https://www.apono.io/cloud-privileged-access/,"Continuously detect anomalous access requests that are indicative of threatening behavior",apono-ciem-2025,"CIEM for privileged cloud identities: Apono analyses entitlements across AWS/GCP/Azure (35+ resource types), flags overprivileged/dormant principals for remediation and 'Automate context-based provisioning and deprovisioning of time-bound access privileges'. Multi-cloud entitlement analysis + JIT remediation. Not a standalone full-CIEM policy-enforcement engine across every effective-permission path, so 4 not 5. Maturity 4."
apono,Apono,UC-P-013,UC-F,NATIVE,3,https://www.apono.io/,"Apono Agent Privilege Guard applies the same just-in-time methodology to non-human identities",apono-workload-2025,"PASS-2 re-encode PARTIAL->NATIVE/3. Apono extends JIT/just-enough access to non-human and AI-agent identities (Agent Privilege Guard with Intent-Based Access Control) and provisions time-bound scoped permissions for workloads in cloud-native policy language. This is JIT entitlement grant/revoke for machine identities rather than SPIFFE-style cryptographic workload attestation issuing short-lived certs. Removes standing workload privilege but is not attestation-based secretless identity. Maturity 3."
apono,Apono,UC-P-014,UC-F,NATIVE,3,https://docs.apono.io/docs/getting-started/how-apono-works.md,"Every access request and action are fully logged",apono-access-review-2025,"Apono supports periodic access reviews/certification: full audit of who had access, why, whether used, and expiry; reviewers make certification decisions from this evidence, and reports can be created, saved, downloaded and scheduled. Because JIT means most access is ephemeral, standing-grant recertification scope is narrower than full IGA. Covers Apono-managed cloud/DB entitlements. Maturity 3."
apono,Apono,UC-P-015,UC-N,NATIVE,3,https://www.apono.io/cloud-privileged-access/,"Continuously detect anomalous access requests that are indicative of threatening behavior",apono-anomaly-2025,"Apono provides Access Threat Detection & Response (ATDR): continuous anomaly detection over privileged access requests/usage with alerting and immediate revocation. Behavioural analytics over access events; less mature than dedicated UEBA, no exposed custom ML tuning. Maturity 3."
apono,Apono,UC-P-016,UC-N,GAP,0,,,,"Apono does not detect credential-theft techniques (pass-the-hash, Kerberoasting, DCSync, token abuse). Its zero-standing-privilege / ephemeral-grant model structurally reduces credential-theft blast radius, but it provides no AD/Kerberos attack detection. Such detection requires an ITDR/EDR tool. GAP (structural mitigation noted, no detection capability)."
apono,Apono,UC-P-017,UC-N,NATIVE,2,https://docs.apono.io/docs/getting-started/how-apono-works.md,"The Connector does not read, cache or store any secrets, nor does Apono need an account with admin privileges to function",apono-resilience-2025,"PASS-2 re-encode PARTIAL->NATIVE/2. Apono is a SaaS control plane with a lightweight non-secret-holding connector; its no-stored-secrets architecture limits blast radius, but as a SaaS JIT broker an Apono/control-plane outage can block new privileged-access grants. No documented customer-operable break-glass path that issues access while the Apono control plane is offline (unlike cert-based PAMs). Availability depends on Apono SaaS SLAs. Maturity 2."
apono,Apono,UC-P-018,UC-F,GAP,0,,,,"Apono provides no Secure Admin Workstation / PAW capability. It does not provision, harden, or enforce tier-0 administration from dedicated isolated workstations, nor block non-SAW access at a device layer. Outside architectural scope — SAW/PAW requires endpoint hardening + conditional access (Microsoft PAW, dedicated tooling). GAP."
