vendor_slug,vendor_name,target_id,target_type,coverage,maturity,evidence_url,evidence_quote,citation_keys,notes
cyberark-pam,CyberArk PAM,UC-P-001,UC-F,NATIVE,4,https://www.cyberark.com/products/privileged-access-manager/,Core credential vaulting and rotation,cyberark-pam-2025,[SPIKE-ILLUSTRATIVE]
cyberark-pam,CyberArk PAM,UC-P-002,UC-F,NATIVE,4,https://www.cyberark.com/products/privileged-access-manager/,Session isolation via PSM,cyberark-pam-2025,[SPIKE-ILLUSTRATIVE]
cyberark-pam,CyberArk PAM,UC-P-003,UC-F,NATIVE,3,https://www.cyberark.com/products/privileged-access-manager/,Session recording,cyberark-pam-2025,[SPIKE-ILLUSTRATIVE]
cyberark-pam,CyberArk PAM,UC-P-004,UC-F,NATIVE,3,https://www.cyberark.com/products/privileged-access-manager/,JIT via dynamic access,cyberark-pam-2025,[SPIKE-ILLUSTRATIVE]
cyberark-pam,CyberArk PAM,UC-P-005,UC-F,NATIVE,3,https://www.cyberark.com/products/privileged-access-manager/,Account discovery,cyberark-pam-2025,[SPIKE-ILLUSTRATIVE]
cyberark-pam,CyberArk PAM,UC-P-006,UC-F,NATIVE,3,https://www.cyberark.com/products/conjur/,A2A via CCP/Conjur,cyberark-pam-2025,[SPIKE-ILLUSTRATIVE] cross-domain w/ secrets
cyberark-pam,CyberArk PAM,UC-P-007,UC-F,NATIVE,3,https://www.cyberark.com/products/privileged-access-manager/,Adaptive MFA,cyberark-pam-2025,[SPIKE-ILLUSTRATIVE]
cyberark-pam,CyberArk PAM,UC-P-008,UC-F,NATIVE,3,https://www.cyberark.com/products/privileged-access-manager/,Break-glass workflow,cyberark-pam-2025,[SPIKE-ILLUSTRATIVE]
cyberark-pam,CyberArk PAM,UC-P-009,UC-F,ADD-ON,2,https://www.cyberark.com/products/endpoint-privilege-manager/,EPM is a separate module,cyberark-pam-2025,[SPIKE-ILLUSTRATIVE]
cyberark-pam,CyberArk PAM,UC-P-010,UC-N,NATIVE,3,https://www.cyberark.com/products/privileged-access-manager/,Threat analytics,cyberark-pam-2025,[SPIKE-ILLUSTRATIVE]
cyberark-pam,CyberArk PAM,UC-P-011,UC-N,GAP,0,https://www.cyberark.com/products/privileged-access-manager/,No secretless workload attestation,cyberark-pam-2025,[SPIKE-ILLUSTRATIVE]
delinea-secret-server,Delinea,UC-P-001,UC-F,NATIVE,4,https://delinea.com/products/secret-server,Vaulting and rotation,delinea-2025,[SPIKE-ILLUSTRATIVE]
delinea-secret-server,Delinea,UC-P-002,UC-F,NATIVE,3,https://delinea.com/products/secret-server,Session proxy,delinea-2025,[SPIKE-ILLUSTRATIVE]
delinea-secret-server,Delinea,UC-P-003,UC-F,NATIVE,3,https://delinea.com/products/secret-server,Session recording,delinea-2025,[SPIKE-ILLUSTRATIVE]
delinea-secret-server,Delinea,UC-P-004,UC-F,ADD-ON,2,https://delinea.com/products/server-pam,JIT via add-on,delinea-2025,[SPIKE-ILLUSTRATIVE]
delinea-secret-server,Delinea,UC-P-005,UC-F,NATIVE,3,https://delinea.com/products/account-lifecycle-manager,Discovery,delinea-2025,[SPIKE-ILLUSTRATIVE]
delinea-secret-server,Delinea,UC-P-006,UC-F,NATIVE,3,https://delinea.com/products/secret-server,A2A SDK/API,delinea-2025,[SPIKE-ILLUSTRATIVE]
delinea-secret-server,Delinea,UC-P-007,UC-F,NATIVE,2,https://delinea.com/products/secret-server,MFA,delinea-2025,[SPIKE-ILLUSTRATIVE]
delinea-secret-server,Delinea,UC-P-008,UC-F,NATIVE,2,https://delinea.com/products/secret-server,Break-glass checkout,delinea-2025,[SPIKE-ILLUSTRATIVE]
delinea-secret-server,Delinea,UC-P-009,UC-F,ADD-ON,2,https://delinea.com/products/privilege-manager,Privilege Manager add-on,delinea-2025,[SPIKE-ILLUSTRATIVE]
delinea-secret-server,Delinea,UC-P-010,UC-N,ADD-ON,2,https://delinea.com/products/secret-server,Analytics add-on,delinea-2025,[SPIKE-ILLUSTRATIVE]
delinea-secret-server,Delinea,UC-P-011,UC-N,GAP,0,https://delinea.com/products/secret-server,No secretless workload attestation,delinea-2025,[SPIKE-ILLUSTRATIVE]
beyondtrust,BeyondTrust,UC-P-001,UC-F,NATIVE,3,https://www.beyondtrust.com/products/password-safe,Password Safe vaulting,beyondtrust-2025,[SPIKE-ILLUSTRATIVE]
