vendor_slug,vendor_name,target_id,target_type,coverage,maturity,evidence_url,evidence_quote,citation_keys,notes
akeyless,AKEYLESS Vault Platform,NHI-001,NHI,NATIVE,4,https://docs.akeyless.io/docs/aws-producer.md,"AWS IAM, Azure AD, GCP dynamic-secret producers and auth methods cover full lifecycle",akeyless-llms-index-2024,Full coverage: AWS/Azure/GCP dynamic creds + auth methods for all three hyperscalers
akeyless,AKEYLESS Vault Platform,NHI-002,NHI,NATIVE,4,https://docs.akeyless.io/docs/kubernetes-secrets-store-csi-provider.md,"Kubernetes Secrets Store Container Storage Interface (CSI) Driver",akeyless-llms-index-2024,CSI driver + Secrets Injector + External Secrets Operator + dedicated K8s SA auth
akeyless,AKEYLESS Vault Platform,NHI-003,NHI,NATIVE,3,https://docs.akeyless.io/docs/github-action.md,"GitHub Actions Plugin",akeyless-llms-index-2024,GitHub/GitLab OIDC auth + GitHub/GitLab dynamic secrets + Azure DevOps + TeamCity plugins
akeyless,AKEYLESS Vault Platform,NHI-004,NHI,NATIVE,2,https://docs.akeyless.io/docs/docker-hub-dynamic-secrets.md,"Docker Hub Dynamic Secrets",akeyless-llms-index-2024,Docker Hub dynamic + rotated; ECR/ACR/GAR via cloud dynamic secrets
akeyless,AKEYLESS Vault Platform,NHI-005,NHI,NATIVE,4,https://docs.akeyless.io/docs/agentic-runtime-authority.md,"MySQL, PostgreSQL, MSSQL, Oracle, Snowflake, HanaDB, Redshift, MongoDB, Redis, and Cassandra",akeyless-agentic-2024,10+ DB engines as dynamic-secret producers; TTL-bounded lease model
akeyless,AKEYLESS Vault Platform,NHI-006,NHI,NATIVE,3,https://docs.akeyless.io/docs/certificate-lifecycle-management.md,"Overview of Certificate Lifecycle Management",akeyless-llms-index-2024,PKI/cert lifecycle + ACME + SPIRE Upstream Authority; SSH cert issuance
akeyless,AKEYLESS Vault Platform,NHI-007,NHI,NATIVE,3,https://docs.akeyless.io/docs/rotated-secrets.md,"Rotated Secrets",akeyless-llms-index-2024,Static KV + OpenAI/Splunk rotated secrets; Universal Identity for token brokering
akeyless,AKEYLESS Vault Platform,NHI-008,NHI,NATIVE,3,https://docs.akeyless.io/docs/github-dynamic-secret.md,"GitHub Dynamic Secrets",akeyless-llms-index-2024,GitHub/GitLab dynamic secrets + OIDC auth federation; GitHub Actions plugin
akeyless,AKEYLESS Vault Platform,NHI-009,NHI,NATIVE,3,https://docs.akeyless.io/docs/dynamic-secrets.md,"Configuring HashiCorp Vault Proxy",akeyless-llms-index-2024,Terraform + Ansible + Puppet plugins; Vault-proxy compatibility for migration
akeyless,AKEYLESS Vault Platform,NHI-010,NHI,NATIVE,2,https://docs.akeyless.io/docs/splunk-rotated-secret.md,"Splunk Rotated Secret",akeyless-llms-index-2024,Splunk rotated secret; static KV for other agents; log forwarding to Datadog/Splunk/S3
