vendor_slug,vendor_name,target_id,target_type,coverage,maturity,evidence_url,evidence_quote,citation_keys,notes
azure-key-vault,Azure Key Vault,NHI-001,NHI,NATIVE,4,https://learn.microsoft.com/azure/key-vault/general/authentication,Managed identities for Azure resources is the recommended pattern to authenticate to Key Vault from Azure workloads,akv-auth-2025,System-assigned and user-assigned managed identities; Entra ID mandatory
azure-key-vault,Azure Key Vault,NHI-002,NHI,NATIVE,4,https://learn.microsoft.com/azure/aks/workload-identity-overview,Workload ID integrates with capabilities native to Kubernetes to federate with external identity providers,aks-workload-identity-2025;aks-csi-driver-2025,AKS OIDC Workload Identity + CSI Secrets Store Driver; GA
azure-key-vault,Azure Key Vault,NHI-003,NHI,NATIVE,3,https://learn.microsoft.com/azure/active-directory/workload-identities/workload-identity-federation,Configure a user-assigned managed identity to trust tokens from an external identity provider such as GitHub,akv-wif-2025,Supports GitHub Actions / GitLab / Google / any OIDC IdP; no stored secrets
azure-key-vault,Azure Key Vault,NHI-004,NHI,ADD-ON,2,https://learn.microsoft.com/azure/key-vault/general/developers-guide,Key Vault provides a secure store for secrets and can integrate with storage accounts event hubs and log analytics,akv-dev-guide-2025,ACR admin creds stored as secrets; no per-workload image-pull token issuance
azure-key-vault,Azure Key Vault,NHI-005,NHI,ADD-ON,2,https://learn.microsoft.com/azure/key-vault/secrets/tutorial-rotation,This tutorial rotates SQL Server passwords stored in Azure Key Vault by using a function triggered by Azure Event Grid,akv-rotation-2025,Static-secret rotation pattern only; no dynamic DB credential broker
azure-key-vault,Azure Key Vault,NHI-006,NHI,NATIVE,3,https://learn.microsoft.com/azure/key-vault/certificates/about-certificates,Key Vault manages and distributes digital certificates used to secure communications,akv-certs-about-2025,DigiCert/GlobalSign integrated CAs; auto-renew; mTLS cert lifecycle managed
azure-key-vault,Azure Key Vault,NHI-007,NHI,NATIVE,3,https://learn.microsoft.com/azure/key-vault/secrets/secrets-best-practices,Secrets should be stored in Key Vault and accessed using managed identities,akv-secrets-best-practices-2025,Versioned secrets; Managed Identity access; no third-party rotation broker built in
azure-key-vault,Azure Key Vault,NHI-008,NHI,NATIVE,2,https://learn.microsoft.com/azure/key-vault/secrets/secrets-best-practices,Secrets should be stored in Key Vault and accessed using managed identities,akv-secrets-best-practices-2025,PAT/SSH keys stored as secrets; rotation requires custom Event Grid + Function
azure-key-vault,Azure Key Vault,NHI-009,NHI,NATIVE,3,https://learn.microsoft.com/azure/key-vault/general/developers-guide,Retrieve Key Vault secrets in Terraform using the azurerm_key_vault_secret data source,akv-dev-guide-2025,Terraform / Ansible / Bicep / ARM integrations GA; secrets injected at apply-time
azure-key-vault,Azure Key Vault,NHI-010,NHI,NATIVE,3,https://learn.microsoft.com/azure/key-vault/general/logging,Azure Key Vault logs store activity with the identity of the caller,akv-logging-2025,Azure Monitor agents use Managed Identity; third-party agent creds stored in KV
